G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sun, Apr 20, 2014",9:30p ET,,Box Score,,Portland Trail Blazers,L,OT,120,122,0,1,L 1,
2,"Wed, Apr 23, 2014",9:30p ET,,Box Score,,Portland Trail Blazers,L,,105,112,0,2,L 2,
3,"Fri, Apr 25, 2014",10:30p ET,,Box Score,@,Portland Trail Blazers,W,OT,121,116,1,2,W 1,
4,"Sun, Apr 27, 2014",9:30p ET,,Box Score,@,Portland Trail Blazers,L,OT,120,123,1,3,L 1,
5,"Wed, Apr 30, 2014",9:30p ET,,Box Score,,Portland Trail Blazers,W,,108,98,2,3,W 1,
6,"Fri, May 2, 2014",10:30p ET,,Box Score,@,Portland Trail Blazers,L,,98,99,2,4,L 1,
