scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2011-01-09 18:05:55,KC,7,BAL,30,BAL
2011-01-09 21:40:54,PHI,16,GB,21,GB
2011-01-15 21:35:45,PIT,31,BAL,24,PIT
2011-01-16 01:15:52,ATL,21,GB,48,GB
2011-01-16 18:05:34,CHI,35,SEA,24,CHI
2011-01-16 21:41:10,NE,21,NYJ,28,NYJ
2011-01-23 20:06:00,CHI,14,GB,21,GB
2011-01-23 23:41:49,PIT,24,NYJ,19,PIT
2011-02-06 23:34:08,GB,31,PIT,25,GB
2012-01-07 21:37:15,HOU,31,CIN,10,HOU
2012-01-08 01:09:19,NO,45,DET,28,NO
2012-01-08 18:06:22,NYG,24,ATL,2,NYG
2012-01-08 21:40:42,DEN,29,PIT,23,DEN
2012-01-14 21:35:36,SF,36,NO,32,SF
2012-01-15 01:16:26,NE,45,DEN,10,NE
2012-01-15 18:05:30,BAL,20,HOU,13,BAL
2012-01-15 21:41:07,GB,20,NYG,37,NYG
2012-01-22 20:06:40,NE,23,BAL,20,NE
2012-01-22 23:41:49,SF,17,NYG,20,NYG
2012-02-05 23:30:31,NE,17,NYG,21,NYG
2013-01-05 21:35:54,HOU,19,CIN,13,HOU
2013-01-06 01:09:30,GB,24,MIN,10,GB
2013-01-06 18:07:45,BAL,24,IND,9,BAL
2013-01-06 21:40:51,WAS,14,SEA,24,SEA
2013-01-12 21:36:18,DEN,35,BAL,38,BAL
2013-01-13 01:25:37,SF,45,GB,31,SF
2013-01-13 18:05:52,ATL,30,SEA,28,ATL
2013-01-13 21:40:36,NE,41,HOU,28,NE
2013-01-20 20:06:01,ATL,24,SF,28,SF
2013-01-20 23:41:33,NE,13,BAL,28,BAL
2013-02-03 23:31:52,SF,31,BAL,34,BAL
2014-01-04 21:35:28,IND,45,KC,44,IND
2014-01-05 01:14:53,PHI,24,NO,26,NO
2014-01-05 18:06:18,CIN,10,SD,27,SD
2014-01-05 21:41:37,GB,20,SF,23,SF
2014-01-11 21:35:52,SEA,23,NO,15,SEA
2014-01-12 01:15:38,NE,43,IND,22,NE
2014-01-12 18:06:30,CAR,10,SF,23,SF
2014-01-12 21:40:26,DEN,24,SD,17,DEN
2014-01-19 20:06:04,DEN,26,NE,16,DEN
2014-01-19 23:41:34,SEA,23,SF,17,SEA
2014-02-02 23:32:17,DEN,8,SEA,43,SEA
2015-01-03 21:36:41,CAR,27,ARI,16,CAR
2015-01-04 01:15:48,PIT,17,BAL,30,BAL
2015-01-04 18:05:32,IND,26,CIN,10,IND
2015-01-04 21:41:55,DAL,24,DET,20,DAL
2015-01-10 21:35:26,NE,35,BAL,31,NE
2015-01-11 01:20:55,SEA,31,CAR,17,SEA
2015-01-11 18:05:47,GB,26,DAL,21,GB
2015-01-11 21:40:17,DEN,13,IND,24,IND
2015-01-18 20:05:36,SEA,28,GB,22,SEA
2015-01-18 23:50:54,NE,45,IND,7,NE
2015-02-01 23:30:53,SEA,24,NE,28,NE
2016-01-09 21:35:00,HOU,0,KC,30,KC
2016-01-10 01:15:00,CIN,16,PIT,18,PIT
2016-01-10 18:06:07,MIN,9,SEA,10,SEA
2016-01-10 21:40:00,WAS,18,GB,35,GB
2016-01-16 21:35:00,NE,27,KC,20,NE
2016-01-17 01:15:00,ARI,26,GB,20,ARI
2016-01-17 18:05:00,CAR,31,SEA,24,CAR
2016-01-17 21:40:00,DEN,23,PIT,16,DEN
2016-01-24 20:05:00,DEN,20,NE,18,DEN
2016-01-24 23:40:00,CAR,49,ARI,15,CAR
2016-02-01 00:00:00,RIC,27,IRV,49,IRV
2016-02-07 23:30:00,DEN,24,CAR,10,DEN
2017-01-07 21:35:00,HOU,27,OAK,14,HOU
2017-01-08 01:15:00,SEA,26,DET,6,SEA
2017-01-08 18:05:00,PIT,30,MIA,12,PIT
2017-01-08 21:40:00,GB,38,NYG,13,GB
2017-01-14 21:35:00,ATL,36,SEA,20,ATL
2017-01-15 01:15:00,NE,34,HOU,16,NE
2017-01-15 21:40:00,DAL,31,GB,34,GB
2017-01-16 01:20:00,KC,16,PIT,18,PIT
2017-01-22 20:05:00,ATL,44,GB,21,ATL
2017-01-22 23:40:00,NE,36,PIT,17,NE
2017-01-30 01:00:00,NFC,13,AFC,20,AFC
2017-02-05 23:30:00,ATL,28,NE,34,NE
2018-01-06 21:35:00,KC,21,TEN,22,TEN
2018-01-07 01:15:00,LA,13,ATL,26,ATL
2018-01-07 18:05:00,JAC,10,BUF,3,JAC
2018-01-07 21:40:00,NO,31,CAR,26,NO
2018-01-13 21:35:00,PHI,15,ATL,10,PHI
2018-01-14 01:15:00,NE,35,TEN,14,NE
2018-01-14 18:05:00,PIT,42,JAC,45,JAC
2018-01-14 21:40:00,MIN,29,NO,24,MIN
2018-01-21 20:05:00,NE,24,JAC,20,NE
2018-01-21 23:40:00,PHI,38,MIN,7,PHI
2018-01-28 20:00:00,AFC,24,NFC,23,AFC
2018-02-04 23:30:00,NE,33,PHI,41,PHI
