scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2000-10-15 00:00:00,PIT,15.0,CIN,0.0,PIT
2000-10-15 18:02:43,NYG,19.0,DAL,14.0,NYG
2000-10-22 18:03:26,ATL,19.0,NO,21.0,NO
2000-10-22 18:03:58,CAR,34.0,SF,16.0,CAR
2000-10-22 21:07:42,PIT,22.0,CLE,0.0,PIT
2000-10-22 18:07:49,PHI,13.0,CHI,9.0,PHI
2000-10-22 18:02:58,CIN,31.0,DEN,21.0,CIN
2000-10-22 18:02:41,BAL,6.0,TEN,14.0,TEN
2000-10-22 21:06:51,OAK,31.0,SEA,3.0,OAK
2000-10-22 21:16:10,JAC,16.0,WAS,35.0,WAS
2000-10-22 17:03:24,IND,30.0,NE,23.0,IND
2000-10-24 02:10:46,NYJ,40.0,MIA,37.0,NYJ
2000-10-20 01:35:32,TB,14.0,DET,28.0,DET
2000-10-22 18:02:29,DAL,48.0,ARI,7.0,DAL
2000-10-22 19:03:38,MIN,31.0,BUF,27.0,MIN
2000-10-22 18:05:03,KC,54.0,STL,34.0,KC
2000-10-29 18:02:09,MIA,28.0,GB,20.0,MIA
2000-10-29 18:03:11,IND,30.0,DET,18.0,IND
2000-10-29 18:04:27,CLE,3.0,CIN,12.0,CIN
2000-10-29 21:06:56,ARI,10.0,NO,21.0,NO
2000-10-29 00:00:00,SEA,19.0,KC,24.0,KC
2000-10-29 18:02:07,BUF,23.0,NYJ,20.0,BUF
2000-10-29 18:01:37,BAL,6.0,PIT,9.0,PIT
2000-10-31 02:39:07,WAS,21.0,TEN,27.0,TEN
2000-10-29 21:15:13,DAL,17.0,JAC,23.0,JAC
2000-10-29 18:02:37,TB,41.0,MIN,13.0,TB
2000-10-29 18:02:00,ATL,13.0,CAR,12.0,ATL
2000-10-29 21:04:05,NYG,24.0,PHI,7.0,NYG
2000-10-30 01:35:36,SD,13.0,OAK,15.0,OAK
2000-10-29 21:06:19,SF,24.0,STL,34.0,STL
2000-11-05 18:05:10,PHI,16.0,DAL,13.0,PHI
2000-11-05 18:02:47,ATL,14.0,TB,27.0,TB
2000-11-05 18:02:52,CIN,7.0,BAL,27.0,BAL
2000-11-05 18:03:00,DET,8.0,MIA,23.0,MIA
2000-11-05 00:00:00,SEA,17.0,SD,15.0,SEA
2000-11-05 18:02:37,NE,13.0,BUF,16.0,BUF
2000-11-05 18:03:00,CLE,3.0,NYG,24.0,NYG
2000-11-05 18:02:55,NO,31.0,SF,15.0,NO
2000-11-05 18:03:00,TEN,9.0,PIT,7.0,TEN
2000-11-05 00:00:00,OAK,49.0,KC,31.0,OAK
2000-11-05 21:06:08,ARI,16.0,WAS,15.0,ARI
2000-11-05 18:02:51,CHI,27.0,IND,24.0,CHI
2000-11-05 21:15:22,NYJ,23.0,DEN,30.0,DEN
2000-11-06 01:35:25,STL,24.0,CAR,27.0,CAR
2000-11-07 02:10:49,GB,26.0,MIN,20.0,GB
2000-11-12 21:15:12,NYG,24.0,STL,38.0,STL
2000-11-12 19:04:02,MIN,31.0,ARI,14.0,MIN
2000-11-12 18:01:57,CLE,19.0,NE,11.0,CLE
2000-11-12 21:17:10,TB,20.0,GB,15.0,TB
2000-11-12 21:05:08,SF,21.0,KC,7.0,SF
2000-11-12 18:03:46,DET,13.0,ATL,10.0,DET
2000-11-12 18:03:00,TEN,23.0,BAL,24.0,BAL
2000-11-12 21:05:27,SD,7.0,MIA,17.0,MIA
2000-11-14 02:09:01,DEN,27.0,OAK,24.0,DEN
2000-11-12 18:02:53,BUF,20.0,CHI,3.0,BUF
2000-11-12 18:03:39,CAR,10.0,NO,20.0,NO
2000-11-12 18:02:41,JAC,21.0,SEA,28.0,SEA
2000-11-12 18:03:34,PIT,23.0,PHI,26.0,PHI
2000-11-13 01:35:17,IND,23.0,NYJ,15.0,IND
2000-11-12 18:02:41,DAL,23.0,CIN,6.0,DAL
2000-11-19 18:03:24,NE,16.0,CIN,13.0,NE
