,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-02-08,8,0,0,1,0,0,0,0,No Game
2010-02-08,22,0,0,0,0,0,0,1,No Game
2010-02-08,22,0,0,0,0,0,0,1,No Game
2010-02-10,16,1,0,0,0,0,0,0,No Game
2010-02-10,17,0,0,0,0,0,0,1,No Game
2010-02-11,2,0,0,0,0,0,0,1,No Game
2010-02-11,11,0,0,0,0,0,0,1,No Game
2010-02-12,17,0,0,1,0,0,0,0,No Game
2010-02-12,20,0,0,0,0,0,0,1,No Game
2010-02-13,14,0,0,0,0,0,0,1,No Game
2010-02-13,15,0,0,0,0,0,0,1,No Game
2010-02-13,16,0,0,1,0,0,0,0,No Game
2010-02-13,18,0,0,1,0,0,0,0,No Game
2010-02-13,18,1,0,0,0,0,0,0,No Game
2010-02-13,21,0,0,0,0,0,0,1,No Game
2010-02-14,2,0,0,1,0,0,0,0,No Game
2010-02-14,20,0,0,0,0,0,1,0,No Game
2010-02-14,21,0,0,0,0,0,0,1,No Game
2010-02-14,23,0,0,0,0,0,1,0,No Game
2010-02-15,11,0,0,0,0,0,0,1,No Game
2010-02-17,1,0,0,0,0,0,0,1,No Game
2010-02-17,9,0,0,1,0,0,0,0,No Game
2010-02-17,14,0,0,0,0,0,0,1,No Game
2010-02-17,16,0,0,0,0,0,0,1,No Game
2010-02-17,18,0,0,0,0,0,1,0,No Game
2010-02-17,19,0,0,1,0,0,0,0,No Game
2010-02-18,14,0,0,1,0,0,0,0,No Game
2010-02-18,14,0,0,0,0,0,0,1,No Game
2010-02-19,0,0,0,0,0,0,0,1,No Game
2010-02-19,11,0,0,0,0,0,0,1,No Game
2010-02-20,0,0,0,1,0,0,0,0,No Game
2010-02-20,9,0,0,1,0,0,0,0,No Game
2010-02-20,13,0,0,0,0,0,0,1,No Game
2010-02-20,15,0,0,1,0,0,0,0,No Game
2010-02-20,18,0,0,0,0,0,0,1,No Game
2010-02-20,20,0,0,0,0,0,0,1,No Game
2010-02-20,23,0,0,0,0,0,1,0,No Game
2010-02-21,3,1,0,0,0,0,0,0,No Game
2010-02-21,7,0,0,1,0,0,0,0,No Game
2010-02-22,12,1,0,0,0,0,0,0,No Game
2010-02-23,8,1,0,0,0,0,0,0,No Game
2010-02-24,13,1,0,0,0,0,0,0,No Game
2010-02-25,12,0,0,0,0,0,0,1,No Game
2010-02-25,14,1,0,0,0,0,0,0,No Game
2010-02-26,13,1,0,0,0,0,0,0,No Game
2010-02-26,16,0,0,0,0,0,0,1,No Game
2010-02-27,14,0,0,0,0,0,0,1,No Game
2010-02-27,17,0,0,0,0,0,0,1,No Game
2010-02-28,19,1,0,0,0,0,0,0,No Game
2010-02-28,21,0,0,0,0,0,1,0,No Game
2010-03-01,0,0,0,1,0,0,0,0,No Game
2010-03-02,9,0,0,0,0,0,0,1,No Game
2010-03-03,7,1,0,0,0,0,0,0,No Game
2010-03-03,16,0,0,0,0,0,0,1,No Game
2010-03-03,18,0,0,0,0,0,0,1,No Game
2010-03-04,11,0,0,0,0,0,0,1,No Game
2010-03-05,15,1,0,0,0,0,0,0,No Game
2010-03-05,17,0,0,0,0,0,0,1,No Game
2010-03-05,22,0,1,0,0,0,0,0,No Game
2010-03-07,18,1,0,0,0,0,0,0,No Game
2010-03-07,21,0,0,0,0,0,0,1,No Game
2010-03-08,10,0,0,0,0,0,0,1,No Game
2010-03-08,12,0,0,1,0,0,0,0,No Game
2010-03-08,12,0,0,0,0,0,0,1,No Game
2010-03-08,14,0,1,0,0,0,0,0,No Game
2010-03-09,18,0,0,1,0,0,0,0,No Game
2010-03-10,1,1,0,0,0,0,0,0,No Game
2010-03-10,12,0,0,1,0,0,0,0,No Game
2010-03-10,14,0,0,0,0,0,0,1,No Game
2010-03-11,0,0,0,0,0,0,0,1,No Game
2010-03-11,1,0,0,0,0,0,0,1,No Game
2010-03-11,15,0,0,1,0,0,0,0,No Game
2010-03-11,15,1,0,0,0,0,0,0,No Game
2010-03-12,14,1,0,0,0,0,0,0,No Game
2010-03-12,17,0,0,0,0,0,0,1,No Game
2010-03-12,20,0,0,0,0,0,0,1,No Game
2010-03-13,2,0,0,1,0,0,0,0,No Game
2010-03-13,11,0,0,0,0,0,0,1,No Game
2010-03-13,22,0,1,0,0,0,0,0,No Game
2010-03-13,23,0,0,0,0,0,0,1,No Game
2010-03-14,1,1,0,0,0,0,0,0,No Game
2010-03-14,14,1,0,0,0,0,0,0,No Game
2010-03-14,14,1,0,0,0,0,0,0,No Game
2010-03-14,14,0,0,0,0,0,0,1,No Game
2010-03-15,0,0,0,1,0,0,0,0,No Game
2010-03-15,7,0,0,0,0,0,1,0,No Game
2010-03-15,7,0,0,1,0,0,0,0,No Game
2010-03-15,13,1,0,0,0,0,0,0,No Game
2010-03-15,13,0,0,0,0,0,1,0,No Game
2010-03-15,18,0,0,0,0,0,0,1,No Game
2010-03-16,0,0,0,1,0,0,0,0,No Game
2010-03-16,11,0,0,0,0,0,0,1,No Game
2010-03-16,12,1,0,0,0,0,0,0,No Game
2010-03-16,13,1,0,0,0,0,0,0,No Game
2010-03-16,15,1,0,0,0,0,0,0,No Game
2010-03-16,21,0,0,0,0,0,1,0,No Game
2010-03-17,6,0,0,0,0,0,0,1,No Game
2010-03-17,18,1,0,0,0,0,0,0,No Game
2010-03-18,7,0,1,0,0,0,0,0,No Game
2010-03-18,23,0,0,0,0,0,0,1,No Game
2010-03-19,17,1,0,0,0,0,0,0,No Game
2010-03-19,19,1,0,0,0,0,0,0,No Game
2010-03-19,23,0,0,0,0,0,1,0,No Game
2010-03-20,18,0,1,0,0,0,0,0,No Game
2010-03-21,1,0,0,1,0,0,0,0,No Game
2010-03-21,14,0,0,0,0,0,0,1,No Game
2010-03-21,20,0,0,1,0,0,0,0,No Game
2010-03-22,9,0,0,1,0,0,0,0,No Game
2010-03-22,12,0,0,0,0,0,0,1,No Game
2010-03-24,9,0,0,0,0,0,0,1,No Game
2010-03-24,15,0,0,1,0,0,0,0,No Game
2010-03-24,18,0,0,0,0,0,0,1,No Game
2010-03-25,0,0,0,0,0,0,0,1,No Game
2010-03-25,16,0,0,0,0,0,0,1,No Game
2010-03-26,0,0,0,0,0,0,0,1,No Game
2010-03-26,0,0,0,0,0,0,0,1,No Game
2010-03-26,0,0,1,0,0,0,0,0,No Game
2010-03-26,13,1,0,0,0,0,0,0,No Game
2010-03-26,20,1,0,0,0,0,0,0,No Game
2010-03-26,21,1,0,0,0,0,0,0,No Game
2010-03-26,21,0,0,0,0,0,0,1,No Game
2010-03-26,23,0,0,0,0,0,0,1,No Game
2010-03-27,5,1,0,0,0,0,0,0,No Game
2010-03-27,13,0,0,1,0,0,0,0,No Game
2010-03-27,16,0,0,0,0,0,0,1,No Game
2010-03-27,22,0,0,0,0,0,1,0,No Game
2010-03-28,20,0,0,1,0,0,0,0,No Game
2010-03-29,5,0,0,0,0,0,0,1,No Game
2010-03-30,7,0,0,0,0,0,0,1,No Game
2010-03-31,11,0,0,1,0,0,0,0,No Game
2010-03-31,23,1,0,0,0,0,0,0,No Game
2010-04-01,0,0,0,1,0,0,0,0,No Game
2010-04-01,1,0,0,0,0,0,1,0,No Game
2010-04-01,13,0,0,0,0,0,0,1,No Game
2010-04-01,14,0,0,0,0,0,0,1,No Game
2010-04-01,17,0,0,0,0,0,0,1,No Game
2010-04-02,12,1,0,0,0,0,0,0,No Game
2010-04-02,14,0,1,0,0,0,0,0,No Game
2010-04-03,0,0,0,0,0,0,1,0,No Game
2010-04-03,10,0,0,1,0,0,0,0,No Game
2010-04-03,21,0,0,0,0,0,0,1,No Game
2010-04-03,23,0,0,0,0,0,0,1,No Game
2010-04-04,7,1,0,0,0,0,0,0,No Game
2010-04-04,22,0,0,0,0,0,0,1,No Game
2010-04-04,22,1,0,0,0,0,0,0,No Game
2010-04-05,0,0,0,0,0,0,0,1,No Game
2010-04-05,1,0,0,0,0,0,1,0,No Game
2010-04-05,17,0,0,0,0,0,1,0,No Game
2010-04-05,18,0,0,0,0,0,0,1,No Game
2010-04-05,20,0,0,0,0,0,0,1,No Game
