,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-02,1A10,Theft,commercial parking lot/garage,1.0,23.0,2.0,Saturday,Jan,2010.0,29.7617204,-95.3630984,"450 Travis St, Houston, TX 77002, USA",0.9183730226466409,No Game
2010-01-02,10H10,Burglary,residence/house,1.0,19.0,2.0,Saturday,Jan,2010.0,29.7508958,-95.3377162,"50 N York St, Houston, TX 77003, USA",0.8870941975375788,No Game
2010-01-02,10H30,Theft,road/street/sidewalk,1.0,1.0,2.0,Saturday,Jan,2010.0,29.7466075,-95.3593348,"2050 Leeland St, Houston, TX 77003, USA",0.567545451039297,No Game
2010-01-03,1A10,Theft,bar/night club,1.0,0.0,3.0,Sunday,Jan,2010.0,29.7633085,-95.3602155,"150 S Main St, Houston, TX 77002, USA",0.8978007737262763,No Game
2010-01-03,1A10,Theft,other/unknown,1.0,0.0,3.0,Sunday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-03,1A10,Theft,residence/house,1.0,12.0,3.0,Sunday,Jan,2010.0,29.751390500000007,-95.3648497,"1350 Bell St, Houston, TX 77002, USA",0.7503316730254052,No Game
2010-01-03,1A10,Theft,"libraries, museums",1.0,15.0,3.0,Sunday,Jan,2010.0,29.75887460000001,-95.36913349999999,"550 McKinney St, Houston, TX 77002, USA",1.1057847078657956,No Game
2010-01-03,1A10,Theft,road/street/sidewalk,1.0,20.0,3.0,Sunday,Jan,2010.0,29.762703,-95.3596809,"1050 Franklin St, Houston, TX 77002, USA",0.8454681543434716,No Game
2010-01-03,1A10,Theft,road/street/sidewalk,1.0,22.0,3.0,Sunday,Jan,2010.0,29.7616844,-95.3601463,"1050 Congress Ave, Houston, TX 77002, USA",0.8021791730171748,No Game
2010-01-03,1A10,Theft,road/street/sidewalk,1.0,22.0,3.0,Sunday,Jan,2010.0,29.757678,-95.3594964,"1350 Texas St, Houston, TX 77002, USA",0.569443228136431,No Game
2010-01-03,1A10,Auto Theft,road/street/sidewalk,1.0,23.0,3.0,Sunday,Jan,2010.0,29.7624048,-95.3619396,"350 Travis St, Houston, TX 77002, USA",0.9070537903754465,No Game
2010-01-03,10H10,Auto Theft,apartment parking lot,1.0,0.0,3.0,Sunday,Jan,2010.0,29.98217309999999,-95.3471295,"Grace St, Houston, TX 77032, USA",15.843505845262056,No Game
2010-01-03,10H10,Burglary,auto repair,1.0,12.0,3.0,Sunday,Jan,2010.0,29.7429495,-95.3255229,"550 Bryan St, Houston, TX 77011, USA",1.7365580768484974,No Game
