Gm#,Year,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
41,2016,Wednesday May 18,boxscore,HOU,@,CHW,W,5,3,,17-24,5,6,Fister,Latos,Gregerson,2:57,N,14936,++,
42,2016,Thursday May 19,boxscore,HOU,@,CHW,L,1,2,,17-25,5,7,Sale,McHugh,,2:11,N,20096,-,
43,2016,Friday May 20,boxscore,HOU,,TEX,L,1,2,,17-26,5,8,Lewis,McCullers,Dyson,2:33,N,28724,--,
44,2016,Saturday May 21,boxscore,HOU,,TEX,L,1,2,,17-27,5,9,Ramos,Fiers,Dyson,2:41,N,35040,---,
45,2016,Sunday May 22,boxscore,HOU,,TEX,L,2,9,,17-28,5,10,Hamels,Keuchel,,2:36,D,35035,----,
46,2016,Tuesday May 24,boxscore,HOU,,BAL,W-wo,3,2,13,18-28,5,9.5,Feliz,Bundy,,4:14,N,24783,+,
47,2016,Wednesday May 25,boxscore,HOU,,BAL,W,4,3,,19-28,5,9.5,Neshek,Wilson,Gregerson,2:58,N,25618,++,
48,2016,Thursday May 26,boxscore,HOU,,BAL,W,4,2,,20-28,4,9,McCullers,Gausman,Giles,3:03,N,23826,+++,
49,2016,Friday May 27,boxscore,HOU,@,LAA,L,2,7,,20-29,4,9,Shoemaker,Fiers,,2:38,N,39047,-,
50,2016,Saturday May 28,boxscore,HOU,@,LAA,W,4,2,,21-29,4,8,Keuchel,Weaver,Gregerson,2:46,N,38176,+,
51,2016,Sunday May 29,boxscore,HOU,@,LAA,W,8,6,13,22-29,4,7.5,Feliz,Morin,Gregerson,4:57,D,36538,++,
52,2016,Monday May 30,boxscore,HOU,@,ARI,W,8,3,,23-29,4,7.5,McHugh,Escobar,,2:54,D,24798,+++,
53,2016,Tuesday May 31,boxscore,HOU,@,ARI,W,8,5,,24-29,4,7.5,McCullers,Corbin,Gregerson,3:11,D,15556,++++,
54,2016,Wednesday Jun 1,boxscore,HOU,,ARI,W-wo,5,4,11,25-29,3,6.5,Feliz,Clippard,,3:43,N,22642,+++++,
55,2016,Thursday Jun 2,boxscore,HOU,,ARI,L,0,3,,25-30,4,7,Greinke,Keuchel,Ziegler,2:36,D,21764,-,
56,2016,Friday Jun 3,boxscore,HOU,,OAK,W,12,2,,26-30,3,7,Fister,Hahn,,2:59,N,26458,+,
57,2016,Saturday Jun 4,boxscore,HOU,,OAK,W-wo,6,5,12,27-30,3,7,Feldman,Madson,,4:07,D,37223,++,
58,2016,Sunday Jun 5,boxscore,HOU,,OAK,W,5,2,,28-30,3,7,McCullers,Dull,Harris,3:05,D,30817,+++,
59,2016,Monday Jun 6,boxscore,HOU,@,TEX,L-wo,5,6,,28-31,3,8,Dyson,Giles,,3:08,N,30021,-,
60,2016,Tuesday Jun 7,boxscore,HOU,@,TEX,L,3,4,,28-32,3,9,Diekman,Keuchel,Dyson,2:48,N,32189,--,
61,2016,Wednesday Jun 8,boxscore,HOU,@,TEX,W,3,1,,29-32,3,8,Fister,Wilhelmsen,Harris,2:49,N,37696,+,
62,2016,Thursday Jun 9,boxscore,HOU,@,TEX,L,3,5,,29-33,3,9,Perez,McHugh,Diekman,2:51,D,30145,-,
63,2016,Friday Jun 10,boxscore,HOU,@,TBR,L,3,4,,29-34,3,9,Andriese,McCullers,Colome,3:19,N,13075,--,
64,2016,Saturday Jun 11,boxscore,HOU,@,TBR,W,4,3,,30-34,3,9,Fiers,Archer,Harris,2:52,D,19658,+,
65,2016,Sunday Jun 12,boxscore,HOU,@,TBR,L,0,5,,30-35,3,10,Moore,Keuchel,,2:45,D,11168,-,
66,2016,Tuesday Jun 14,boxscore,HOU,@,STL,W,5,2,,31-35,3,9.5,Fister,Garcia,Harris,2:18,N,42525,+,
67,2016,Wednesday Jun 15,boxscore,HOU,@,STL,W,4,1,,32-35,3,9.5,Sipp,Siegrist,Harris,2:56,N,42008,++,
68,2016,Friday Jun 17,boxscore,HOU,,CIN,L,2,4,11,32-36,3,11,Hoover,Neshek,Cingrani,3:57,N,37560,-,
69,2016,Saturday Jun 18,boxscore,HOU,,CIN,W-wo,5,4,11,33-36,3,11,Feldman,Smith,,3:05,D,39111,+,
70,2016,Sunday Jun 19,boxscore,HOU,,CIN,W,6,0,,34-36,3,11,Fiers,Finnegan,Devenski,2:48,D,36369,++,
71,2016,Monday Jun 20,boxscore,HOU,,LAA,W,10,7,,35-36,3,11,Fister,Chacin,,3:13,N,22553,+++,
72,2016,Tuesday Jun 21,boxscore,HOU,,LAA,W-wo,3,2,,36-36,3,10,Gregerson,Street,,2:54,N,25004,++++,
73,2016,Wednesday Jun 22,boxscore,HOU,,LAA,W,3,2,,37-36,2,10,Gregerson,Shoemaker,Harris,3:09,D,29649,+++++,
74,2016,Friday Jun 24,boxscore,HOU,@,KCR,W,13,4,,38-36,2,9,Keuchel,Volquez,,2:56,N,36195,++++++,
75,2016,Saturday Jun 25,boxscore,HOU,@,KCR,W,13,5,,39-36,2,9,Feliz,Young,,3:40,N,38880,+++++++,
76,2016,Sunday Jun 26,boxscore,HOU,@,KCR,L,1,6,,39-37,2,10,Kennedy,Fister,,2:33,D,36450,-,
77,2016,Monday Jun 27,boxscore,HOU,@,LAA,W,4,2,,40-37,2,10,Gregerson,Salas,Harris,3:38,N,36839,+,
78,2016,Tuesday Jun 28,boxscore,HOU,@,LAA,W,7,1,,41-37,2,10,Feldman,Lincecum,,3:07,N,38781,++,
79,2016,Wednesday Jun 29,boxscore,HOU,@,LAA,W,10,4,,42-37,2,9,Keuchel,Weaver,,3:18,D,36683,+++,
80,2016,Friday Jul 1,boxscore,HOU,,CHW,W,5,0,,43-37,2,8.5,Fiers,Gonzalez,,2:58,N,31965,++++,
81,2016,Saturday Jul 2,boxscore,HOU,,CHW,L,6,7,,43-38,2,8.5,Sale,Fister,Robertson,3:09,D,35116,-,
82,2016,Sunday Jul 3,boxscore,HOU,,CHW,L,1,4,,43-39,2,8.5,Quintana,McHugh,Robertson,2:58,D,30379,--,
83,2016,Monday Jul 4,boxscore,HOU,,SEA,W,2,1,,44-39,2,7.5,McCullers,Miley,Harris,2:26,D,29844,+,
84,2016,Tuesday Jul 5,boxscore,HOU,,SEA,W,5,2,,45-39,2,7.5,Keuchel,Walker,Harris,2:34,N,21553,++,
85,2016,Wednesday Jul 6,boxscore,HOU,,SEA,W,9,8,,46-39,2,6.5,Giles,Diaz,Gregerson,3:32,N,25709,+++,
86,2016,Thursday Jul 7,boxscore,HOU,,OAK,L,1,3,,46-40,2,6.5,Hill,Fister,Madson,2:32,N,20933,-,
87,2016,Friday Jul 8,boxscore,HOU,,OAK,W-wo,10,9,,47-40,2,6.5,Feliz,Madson,,3:29,N,31438,+,
88,2016,Saturday Jul 9,boxscore,HOU,,OAK,L,2,3,,47-41,2,6.5,Graveman,McCullers,Dull,2:52,D,35312,-,
89,2016,Sunday Jul 10,boxscore,HOU,,OAK,W-wo,2,1,10,48-41,2,5.5,Harris,Hendriks,,3:05,D,28119,+,
90,2016,Friday Jul 15,boxscore,HOU,@,SEA,W,7,3,,49-41,2,4.5,Fister,Paxton,,2:54,N,29217,++,
91,2016,Saturday Jul 16,boxscore,HOU,@,SEA,L,0,1,,49-42,2,4.5,Iwakuma,McCullers,Cishek,2:46,D,41386,-,
92,2016,Sunday Jul 17,boxscore,HOU,@,SEA,W,8,1,,50-42,2,4.5,McHugh,Montgomery,,2:55,D,27322,+,
93,2016,Monday Jul 18,boxscore,HOU,@,OAK,L,4,7,,50-43,2,4.5,Graveman,Fiers,Madson,3:06,N,10651,-,
94,2016,Tuesday Jul 19,boxscore,HOU,@,OAK,L-wo,3,4,10,50-44,2,4.5,Rzepczynski,Neshek,,3:41,N,15143,--,
95,2016,Wednesday Jul 20,boxscore,HOU,@,OAK,W,7,0,,51-44,2,3.5,Fister,Mengden,,3:06,D,20231,+,
96,2016,Friday Jul 22,boxscore,HOU,,LAA,W,2,1,,52-44,2,2.5,McCullers,Shoemaker,Harris,3:02,N,36453,++,
97,2016,Saturday Jul 23,boxscore,HOU,,LAA,W,7,2,,53-44,2,2.5,McHugh,Weaver,,2:53,N,35119,+++,
98,2016,Sunday Jul 24,boxscore,HOU,,LAA,W,13,3,,54-44,2,2.5,Fiers,Lincecum,,3:00,D,32721,++++,
99,2016,Monday Jul 25,boxscore,HOU,,NYY,L,1,2,,54-45,2,3.5,Pineda,Keuchel,Miller,2:41,N,30628,-,
100,2016,Tuesday Jul 26,boxscore,HOU,,NYY,L,3,6,,54-46,2,3.5,Sabathia,Fister,Miller,3:03,N,28134,--,
101,2016,Wednesday Jul 27,boxscore,HOU,,NYY,W,4,1,,55-46,2,2.5,McCullers,Tanaka,Harris,2:38,N,35186,+,
102,2016,Friday Jul 29,boxscore,HOU,@,DET,L,6,14,,55-47,2,4,Boyd,McHugh,,3:05,N,31771,-,
103,2016,Saturday Jul 30,boxscore,HOU,@,DET,L-wo,2,3,,55-48,2,5,Verlander,Harris,,2:49,N,34673,--,
104,2016,Sunday Jul 31,boxscore,HOU,@,DET,L,0,11,,55-49,2,6,Pelfrey,Keuchel,,2:59,D,31043,---,
105,2016,Monday Aug 1,boxscore,HOU,,TOR,W-wo,2,1,14,56-49,2,5.5,Feliz,Feldman,,4:05,N,20623,+,
106,2016,Tuesday Aug 2,boxscore,HOU,,TOR,L,1,2,,56-50,2,5.5,Dickey,McCullers,Grilli,2:40,N,24399,-,
107,2016,Wednesday Aug 3,boxscore,HOU,,TOR,L,1,3,,56-51,2,5.5,Estrada,McHugh,Osuna,2:31,N,29399,--,
108,2016,Thursday Aug 4,boxscore,HOU,,TOR,L,1,4,,56-52,2,6.5,Happ,Fiers,Osuna,2:41,N,23190,---,
109,2016,Friday Aug 5,boxscore,HOU,,TEX,W,5,0,,57-52,2,5.5,Keuchel,Perez,,2:14,N,32820,+,
110,2016,Saturday Aug 6,boxscore,HOU,,TEX,L,2,3,,57-53,2,6.5,Kela,Devenski,Dyson,3:07,N,42272,-,
111,2016,Sunday Aug 7,boxscore,HOU,,TEX,L,3,5,11,57-54,3,7.5,Bush,Devenski,,3:57,D,33909,--,
112,2016,Monday Aug 8,boxscore,HOU,@,MIN,L,1,3,,57-55,3,8.5,Duffey,McHugh,Kintzler,2:18,N,20978,---,
113,2016,Tuesday Aug 9,boxscore,HOU,@,MIN,W,7,5,,58-55,3,8.5,Fiers,Santiago,Giles,3:04,N,22261,+,
114,2016,Thursday Aug 11 (1),boxscore,HOU,@,MIN,W,15,7,,59-55,3,7.5,Fister,Berrios,,3:02,D,25960,++,
115,2016,Thursday Aug 11 (2),boxscore,HOU,@,MIN,W,10,2,,60-55,3,7.5,Devenski,Milone,,2:46,N,24935,+++,
116,2016,Friday Aug 12,boxscore,HOU,@,TOR,W,5,3,,61-55,2,7.5,Musgrove,Liriano,Harris,2:49,N,46330,++++,
117,2016,Saturday Aug 13,boxscore,HOU,@,TOR,L,2,4,,61-56,3,7.5,Sanchez,McHugh,Osuna,2:35,D,47505,-,
118,2016,Sunday Aug 14,boxscore,HOU,@,TOR,L,2,9,,61-57,3,7.5,Stroman,Fiers,,2:59,D,47261,--,
119,2016,Tuesday Aug 16,boxscore,HOU,,STL,L,5,8,,61-58,3,9,Garcia,Keuchel,Oh,3:06,N,30438,---,
120,2016,Wednesday Aug 17,boxscore,HOU,,STL,L,2,8,,61-59,3,10,Martinez,Fister,,2:59,D,27508,----,
121,2016,Thursday Aug 18,boxscore,HOU,@,BAL,L,5,13,,61-60,3,10.5,Gausman,Musgrove,,2:40,N,20288,-----,
122,2016,Friday Aug 19,boxscore,HOU,@,BAL,W,15,8,,62-60,3,10.5,Devenski,Jimenez,,3:03,N,34422,+,
123,2016,Saturday Aug 20,boxscore,HOU,@,BAL,W,12,2,,63-60,3,9.5,Fiers,Tillman,,3:21,N,39373,++,
124,2016,Sunday Aug 21,boxscore,HOU,@,BAL,W,5,3,,64-60,3,8.5,Keuchel,Gallardo,Giles,2:32,N,29734,+++,
125,2016,Monday Aug 22,boxscore,HOU,@,PIT,W,3,1,,65-60,3,8,Fister,Taillon,Giles,2:17,N,24017,++++,
126,2016,Tuesday Aug 23,boxscore,HOU,@,PIT,L,1,7,,65-61,3,8,Nova,Musgrove,,2:32,N,28760,-,
127,2016,Wednesday Aug 24,boxscore,HOU,@,PIT,W,5,4,,66-61,3,8,McHugh,Cole,Giles,2:56,D,23717,+,
128,2016,Friday Aug 26,boxscore,HOU,,TBR,W-wo,5,4,,67-61,3,7.5,Giles,Colome,,2:39,N,25852,++,
129,2016,Saturday Aug 27,boxscore,HOU,,TBR,W,6,2,,68-61,2,7.5,Keuchel,Snell,,2:58,N,36544,+++,
130,2016,Sunday Aug 28,boxscore,HOU,,TBR,L,4,10,,68-62,2,8.5,Archer,Fister,,3:14,D,37484,-,
131,2016,Monday Aug 29,boxscore,HOU,,OAK,W,6,0,,69-62,2,8.5,Musgrove,Manaea,,2:45,N,18613,+,
132,2016,Tuesday Aug 30,boxscore,HOU,,OAK,W,3,1,,70-62,2,8.5,McHugh,Graveman,Giles,2:28,N,23114,++,
133,2016,Wednesday Aug 31,boxscore,HOU,,OAK,W,4,3,,71-62,2,8.5,Feliz,Hendriks,Giles,2:43,D,20033,+++,
134,2016,Friday Sep 2,boxscore,HOU,@,TEX,L,8,10,,71-63,2,9.5,Griffin,Fister,Dyson,3:15,N,35102,-,
135,2016,Saturday Sep 3,boxscore,HOU,@,TEX,L,4,12,,71-64,2,10.5,Holland,Musgrove,,3:27,D,35538,--,
136,2016,Sunday Sep 4,boxscore,HOU,@,TEX,W,7,6,,72-64,2,9.5,Devenski,Darvish,Giles,3:22,D,46025,+,
137,2016,Monday Sep 5,boxscore,HOU,@,CLE,W,6,2,,73-64,2,8.5,Fiers,Clevinger,,3:44,N,13062,++,
138,2016,Tuesday Sep 6,boxscore,HOU,@,CLE,W,4,3,,74-64,2,8.5,Hoyt,Kluber,Giles,3:03,N,11023,+++,
139,2016,Wednesday Sep 7,boxscore,HOU,@,CLE,L,5,6,,74-65,2,8.5,Carrasco,Fister,Allen,3:06,N,12063,-,
140,2016,Thursday Sep 8,boxscore,HOU,@,CLE,L,7,10,,74-66,2,8.5,Bauer,Paulino,Allen,3:14,D,15275,--,
141,2016,Friday Sep 9,boxscore,HOU,,CHC,L,0,2,,74-67,2,9.5,Lester,Musgrove,Chapman,2:34,N,33841,---,
142,2016,Saturday Sep 10,boxscore,HOU,,CHC,W,2,1,,75-67,2,9.5,McHugh,Lackey,Giles,2:54,D,41854,+,
143,2016,Sunday Sep 11,boxscore,HOU,,CHC,L,5,9,,75-68,2,9.5,Arrieta,Fiers,,3:07,N,31939,-,
144,2016,Monday Sep 12,boxscore,HOU,,TEX,L,3,4,12,75-69,3,10.5,Kela,Hoyt,Diekman,3:48,N,22147,--,
145,2016,Tuesday Sep 13,boxscore,HOU,,TEX,L,2,3,,75-70,3,11.5,Claudio,Giles,Scheppers,2:23,N,22133,---,
146,2016,Wednesday Sep 14,boxscore,HOU,,TEX,W,8,4,,76-70,3,10.5,Musgrove,Holland,,3:08,N,25041,+,
147,2016,Friday Sep 16,boxscore,HOU,@,SEA,W,6,0,,77-70,3,10.5,McHugh,Hernandez,,2:58,N,30178,++,
148,2016,Saturday Sep 17,boxscore,HOU,@,SEA,W,2,1,,78-70,2,9.5,Fiers,Paxton,Giles,2:33,N,32304,+++,
149,2016,Sunday Sep 18,boxscore,HOU,@,SEA,L,3,7,,78-71,3,9.5,Miranda,Fister,,2:33,D,25383,-,
150,2016,Monday Sep 19,boxscore,HOU,@,OAK,W,4,2,,79-71,2,9.5,Gregerson,Madson,Giles,2:41,N,10072,+,
151,2016,Tuesday Sep 20,boxscore,HOU,@,OAK,W &H,2,1,10,80-71,2,9.5,Devenski,Doolittle,Giles,3:01,N,12139,++,
152,2016,Wednesday Sep 21,boxscore,HOU,@,OAK,W,6,5,,81-71,2,8.5,McHugh,Mengden,Gregerson,3:13,D,11197,+++,
153,2016,Thursday Sep 22,boxscore,HOU,,LAA,L,0,2,,81-72,2,9,Nolasco,Fiers,Bailey,2:41,N,20022,-,
154,2016,Friday Sep 23,boxscore,HOU,,LAA,L,6,10,,81-73,3,10,Ege,Giles,,3:24,N,29429,--,
155,2016,Saturday Sep 24,boxscore,HOU,,LAA,L,4,10,,81-74,3,11,Valdez,Gregerson,,3:32,N,27565,---,
156,2016,Sunday Sep 25,boxscore,HOU,,LAA,W,4,1,,82-74,3,10,Musgrove,Wright,Giles,2:23,D,32958,+,
157,2016,Monday Sep 26,boxscore,HOU,,SEA,L,3,4,11,82-75,3,10,Storen,Gregerson,Vincent,3:52,N,24107,-,
158,2016,Tuesday Sep 27,boxscore,HOU,,SEA,W,8,4,,83-75,3,10,Gustave,Hernandez,,2:55,N,23499,+,
159,2016,Wednesday Sep 28,boxscore,HOU,,SEA,L,4,12,,83-76,3,11,Paxton,Fister,,3:12,D,21187,-,
160,2016,Friday Sep 30,boxscore,HOU,@,LAA,L,1,7,,83-77,3,12,Wright,Peacock,,2:40,N,30112,--,
161,2016,Saturday Oct 1,boxscore,HOU,@,LAA,W,3,0,,84-77,3,11,McHugh,Skaggs,Giles,2:55,N,32487,+,
162,2016,Sunday Oct 2,boxscore,HOU,@,LAA,L,1,8,,84-78,3,11,Chacin,Rodgers,,2:42,D,28083,-,
