Gm#,Year,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,2013,Sunday Mar 31,boxscore,HOU,,TEX,W,8,2,,Jan-00,1,up 0.5,Norris,Harrison,Bedard,3:00,N,41307,+,
2,2013,Tuesday Apr 2,boxscore,HOU,,TEX,L,0,7,,1-Jan,3,1,Darvish,Harrell,,2:54,N,22673,-,
3,2013,Wednesday Apr 3,boxscore,HOU,,TEX,L,0,4,,2-Jan,4,1,Ogando,Humber,,2:59,D,15831,--,
4,2013,Friday Apr 5,boxscore,HOU,,OAK,L,3,8,,3-Jan,4,2,Straily,Peacock,,3:51,N,18197,---,
5,2013,Saturday Apr 6,boxscore,HOU,,OAK,L,3,6,,4-Jan,5,2.5,Colon,Norris,Balfour,3:12,N,18685,----,
6,2013,Sunday Apr 7,boxscore,HOU,,OAK,L,3,9,,5-Jan,5,3.5,Anderson,Harrell,,3:04,D,16914,-----,
7,2013,Monday Apr 8,boxscore,HOU,@,SEA,L,0,3,,6-Jan,5,4,Saunders,Humber,Wilhelmsen,2:40,N,42589,------,
8,2013,Tuesday Apr 9,boxscore,HOU,@,SEA,W,16,9,,6-Feb,5,4,Clemens,Maurer,,3:36,N,10765,+,
9,2013,Wednesday Apr 10,boxscore,HOU,@,SEA,W,8,3,,6-Mar,4,4,Peacock,Beavan,,3:38,N,10496,++,
10,2013,Friday Apr 12,boxscore,HOU,@,LAA,W,5,0,,6-Apr,3,4.5,Norris,Hanson,,3:23,N,37674,+++,
11,2013,Saturday Apr 13,boxscore,HOU,@,LAA,L-wo,4,5,,7-Apr,3,4.5,Roth,Veras,,3:10,N,43520,-,
12,2013,Sunday Apr 14,boxscore,HOU,@,LAA,L,1,4,,8-Apr,4,4.5,Wilson,Humber,Frieri,3:03,D,36126,--,
13,2013,Monday Apr 15,boxscore,HOU,@,OAK,L,2,11,,9-Apr,4,5.5,Milone,Bedard,,3:26,N,10689,---,
14,2013,Tuesday Apr 16,boxscore,HOU,@,OAK,L,3,4,,10-Apr,4,6.5,Doolittle,Cruz,Balfour,3:08,N,11038,----,
15,2013,Wednesday Apr 17,boxscore,HOU,@,OAK,L,5,7,,11-Apr,5,7.5,Colon,Norris,Balfour,3:25,D,15488,-----,
16,2013,Friday Apr 19,boxscore,HOU,,CLE,W,3,2,,11-May,5,6.5,Harrell,Myers,Veras,2:58,N,17241,+,
17,2013,Saturday Apr 20,boxscore,HOU,,CLE,L,6,19,,12-May,5,6.5,Kluber,Humber,,3:45,N,19904,-,
18,2013,Sunday Apr 21,boxscore,HOU,,CLE,L,4,5,,13-May,5,7,Allen,Ambriz,Perez,3:19,D,22005,--,
19,2013,Monday Apr 22,boxscore,HOU,,SEA,L,1,7,,14-May,5,8,Hernandez,Peacock,,3:05,N,23201,---,
20,2013,Tuesday Apr 23,boxscore,HOU,,SEA,W,3,2,,14-Jun,5,7,Norris,Iwakuma,Veras,3:13,N,13929,+,
21,2013,Wednesday Apr 24,boxscore,HOU,,SEA,W,10,3,,14-Jul,4,7,Harrell,Saunders,,2:44,D,11686,++,
22,2013,Thursday Apr 25,boxscore,HOU,@,BOS,L,2,7,,15-Jul,5,8,Buchholz,Humber,,2:59,N,30093,-,
23,2013,Friday Apr 26,boxscore,HOU,@,BOS,L,3,7,,16-Jul,5,9,Dempster,Bedard,,3:49,N,29312,--,
24,2013,Saturday Apr 27,boxscore,HOU,@,BOS,L,4,8,,17-Jul,5,9,Doubront,Peacock,,3:40,N,34726,---,
25,2013,Sunday Apr 28,boxscore,HOU,@,BOS,L,1,6,,18-Jul,5,9,Lackey,Norris,,2:56,D,36527,----,
26,2013,Monday Apr 29,boxscore,HOU,@,NYY,W,9,1,,18-Aug,5,8.5,Harrell,Pettitte,,2:59,N,34262,+,
27,2013,Tuesday Apr 30,boxscore,HOU,@,NYY,L,4,7,,19-Aug,5,9.5,Kuroda,Humber,Rivera,3:22,N,34301,-,
28,2013,Wednesday May 1,boxscore,HOU,@,NYY,L,4,5,,20-Aug,5,9.5,Logan,Clemens,Rivera,3:08,N,34117,--,
29,2013,Thursday May 2,boxscore,HOU,,DET,L,3,7,14,21-Aug,5,9.5,Putkonen,Keuchel,,4:50,N,16624,---,
30,2013,Friday May 3,boxscore,HOU,,DET,L,3,4,,22-Aug,5,10.5,Smyly,Veras,Valverde,3:14,N,16719,----,
31,2013,Saturday May 4,boxscore,HOU,,DET,L,2,17,,23-Aug,5,11.5,Scherzer,Harrell,,3:13,N,21266,-----,
32,2013,Sunday May 5,boxscore,HOU,,DET,L,0,9,,24-Aug,5,12.5,Verlander,Humber,,3:14,D,23228,------,
33,2013,Tuesday May 7,boxscore,HOU,,LAA,W,7,6,,24-Sep,5,11,Lyles,Wilson,Veras,2:45,N,15266,+,
34,2013,Wednesday May 8,boxscore,HOU,,LAA,W,3,1,,24-Oct,5,11,Norris,Blanton,Veras,2:30,N,12906,++,
35,2013,Thursday May 9,boxscore,HOU,,LAA,L,5,6,,25-Oct,5,11.5,Richards,Ambriz,Frieri,4:07,N,13003,-,
36,2013,Friday May 10,boxscore,HOU,,TEX,L,2,4,,26-Oct,5,12.5,Ross,Wright,Nathan,3:04,N,20293,--,
37,2013,Saturday May 11,boxscore,HOU,,TEX,L,7,8,,27-Oct,5,13.5,Darvish,Humber,Nathan,3:22,N,27188,---,
38,2013,Sunday May 12,boxscore,HOU,,TEX,L,7,12,,28-Oct,5,14.5,Tepesch,Lyles,,3:07,D,19730,----,
39,2013,Monday May 13,boxscore,HOU,@,DET,L,2,7,,29-Oct,5,14.5,Sanchez,Norris,,2:50,N,31161,-----,
40,2013,Tuesday May 14,boxscore,HOU,@,DET,L,2,6,,30-Oct,5,15.5,Fister,Harrell,,2:59,N,34542,------,
41,2013,Wednesday May 15,boxscore,HOU,@,DET,W,7,5,,30-Nov,5,15.5,Ambriz,Alburquerque,Veras,3:03,D,40315,+,
42,2013,Friday May 17,boxscore,HOU,@,PIT,L-wo,4,5,,Nov-31,5,16,Wilson,Gonzalez,,3:30,N,29743,-,
43,2013,Saturday May 18,boxscore,HOU,@,PIT,W,4,2,11,31-Dec,5,16,Cisnero,Morris,Veras,3:55,N,32925,+,
44,2013,Sunday May 19,boxscore,HOU,@,PIT,L,0,1,,Dec-32,5,17,Locke,Harrell,Grilli,2:24,D,28471,-,
45,2013,Monday May 20,boxscore,HOU,,KCR,W,6,5,,13-32,5,16,Keuchel,Guthrie,Veras,2:49,N,12989,+,
46,2013,Tuesday May 21,boxscore,HOU,,KCR,L,3,7,,13-33,5,16,Chen,Clemens,,3:45,N,12302,-,
47,2013,Wednesday May 22,boxscore,HOU,,KCR,W,3,1,,14-33,5,16,Lyles,Shields,Veras,2:55,N,12324,+,
48,2013,Friday May 24,boxscore,HOU,,OAK,L,5,6,,14-34,5,17,Neshek,Veras,Balfour,3:21,N,15907,-,
49,2013,Saturday May 25,boxscore,HOU,,OAK,L,5,11,,14-35,5,18,Griffin,Harrell,,3:32,N,18591,--,
50,2013,Sunday May 26,boxscore,HOU,,OAK,L,2,6,,14-36,5,18,Colon,Keuchel,,3:07,D,19366,---,
51,2013,Monday May 27,boxscore,HOU,,COL,W-wo,3,2,12,15-36,5,16.5,Clemens,Lopez,,4:21,D,16044,+,
52,2013,Tuesday May 28,boxscore,HOU,,COL,L,1,2,,15-37,5,17,Belisle,Veras,Betancourt,3:05,D,11974,-,
53,2013,Wednesday May 29,boxscore,HOU,@,COL,W,6,3,,16-37,5,16.5,Clemens,Escalona,,3:29,N,26881,+,
54,2013,Thursday May 30,boxscore,HOU,@,COL,W,7,5,,17-37,5,16.5,Harrell,Nicasio,Ambriz,3:21,N,26239,++,
55,2013,Friday May 31,boxscore,HOU,@,LAA,W,6,3,,18-37,5,16.5,Keuchel,Hanson,Veras,3:10,N,34401,+++,
56,2013,Saturday Jun 1,boxscore,HOU,@,LAA,W,2,0,,19-37,5,15.5,Norris,Williams,Veras,3:14,N,40087,++++,
57,2013,Sunday Jun 2,boxscore,HOU,@,LAA,W,5,4,,20-37,5,15.5,Lyles,Wilson,Ambriz,3:19,D,35515,+++++,
58,2013,Monday Jun 3,boxscore,HOU,@,LAA,W,2,1,,21-37,5,15,Bedard,Blanton,Veras,2:38,N,30010,++++++,
59,2013,Tuesday Jun 4,boxscore,HOU,,BAL,L,1,4,,21-38,5,15,Tillman,Harrell,Johnson,2:44,N,15920,-,
60,2013,Wednesday Jun 5,boxscore,HOU,,BAL,W,11,7,,22-38,5,15,Keuchel,Garcia,,3:10,N,15526,+,
61,2013,Thursday Jun 6,boxscore,HOU,,BAL,L,1,3,,22-39,5,15,Gonzalez,Norris,Johnson,3:04,D,14664,-,
62,2013,Friday Jun 7,boxscore,HOU,@,KCR,L,2,4,,22-40,5,15.5,Herrera,Wright,Holland,2:58,N,24808,--,
63,2013,Saturday Jun 8,boxscore,HOU,@,KCR,L,2,7,,22-41,5,15.5,Santana,Bedard,,2:51,N,28055,---,
64,2013,Sunday Jun 9,boxscore,HOU,@,KCR,L,0,2,,22-42,5,16,Crow,Ambriz,Holland,2:28,D,20723,----,
65,2013,Monday Jun 10,boxscore,HOU,@,SEA,L,2,3,,22-43,5,17,Iwakuma,Keuchel,Wilhelmsen,3:02,N,12817,-----,
66,2013,Tuesday Jun 11,boxscore,HOU,@,SEA,L,0,4,,22-44,5,17,Harang,Norris,,2:15,N,10267,------,
67,2013,Wednesday Jun 12,boxscore,HOU,@,SEA,W,6,1,,23-44,5,17,Clemens,Wilhelmsen,,3:01,N,13823,+,
68,2013,Friday Jun 14,boxscore,HOU,,CHW,W,2,1,,24-44,5,16.5,Bedard,Sale,Veras,2:49,N,20496,++,
69,2013,Saturday Jun 15,boxscore,HOU,,CHW,W,4,3,,25-44,5,15.5,Harrell,Danks,Veras,2:39,N,21549,+++,
70,2013,Sunday Jun 16,boxscore,HOU,,CHW,W,5,4,,26-44,5,15.5,Keuchel,Santiago,Veras,3:17,D,25829,++++,
71,2013,Monday Jun 17,boxscore,HOU,,CHW,L,2,4,,26-45,5,15.5,Jones,Norris,Reed,3:33,N,13870,-,
72,2013,Tuesday Jun 18,boxscore,HOU,,MIL,W,10,1,,27-45,5,15.5,Lyles,Figaro,,3:05,N,13330,+,
73,2013,Wednesday Jun 19,boxscore,HOU,,MIL,L,1,3,,27-46,5,15.5,Axford,Ambriz,Rodriguez,3:07,N,15866,-,
74,2013,Thursday Jun 20,boxscore,HOU,,MIL,W-wo,7,4,10,28-46,5,14.5,Ambriz,Gonzalez,,3:46,D,17803,+,
75,2013,Friday Jun 21,boxscore,HOU,@,CHC,L,1,3,,28-47,5,15.5,Garza,Keuchel,Gregg,2:42,D,33119,-,
76,2013,Saturday Jun 22,boxscore,HOU,@,CHC,W,4,3,,29-47,5,14.5,Cisnero,Gregg,Veras,3:02,D,38870,+,
77,2013,Sunday Jun 23,boxscore,HOU,@,CHC,L,6,14,,29-48,5,15.5,Samardzija,Lyles,,3:15,D,35121,-,
78,2013,Tuesday Jun 25,boxscore,HOU,,STL,L,5,13,,29-49,5,15.5,Westbrook,Harrell,,3:11,N,19271,--,
79,2013,Wednesday Jun 26,boxscore,HOU,,STL,W,4,3,,30-49,5,15.5,Bedard,Lynn,Veras,2:47,N,17428,+,
80,2013,Friday Jun 28,boxscore,HOU,,LAA,L,2,4,,30-50,5,17,De La Rosa,Clemens,Frieri,3:49,N,20498,-,
81,2013,Saturday Jun 29,boxscore,HOU,,LAA,L,2,7,,30-51,5,17,Blanton,Lyles,,3:01,D,26650,--,
82,2013,Sunday Jun 30,boxscore,HOU,,LAA,L,1,3,,30-52,5,18,Wilson,Cisnero,Frieri,3:08,D,22361,---,
83,2013,Monday Jul 1,boxscore,HOU,,TBR,L,0,12,,30-53,5,18.5,Moore,Keuchel,,3:30,N,12722,----,
84,2013,Tuesday Jul 2,boxscore,HOU,,TBR,L,0,8,,30-54,5,19,Price,Bedard,,3:01,N,19631,-----,
85,2013,Wednesday Jul 3,boxscore,HOU,,TBR,W,4,1,,31-54,5,18,Norris,Hernandez,Veras,2:45,N,14143,+,
86,2013,Thursday Jul 4,boxscore,HOU,,TBR,L,5,7,11,31-55,5,19,Wright,Fields,Rodney,4:16,D,20470,-,
87,2013,Friday Jul 5,boxscore,HOU,@,TEX,L,5,10,,31-56,5,20,Tepesch,Harrell,,3:12,N,44232,--,
88,2013,Saturday Jul 6,boxscore,HOU,@,TEX,W,9,5,,32-56,5,19,Blackley,Darvish,,3:50,N,44272,+,
89,2013,Sunday Jul 7,boxscore,HOU,@,TEX,L,4,5,,32-57,5,20,Burns,Bedard,Nathan,3:16,D,36746,-,
90,2013,Tuesday Jul 9,boxscore,HOU,@,STL,L,5,9,,32-58,5,21.5,Wainwright,Norris,Mujica,3:20,N,43836,--,
91,2013,Wednesday Jul 10,boxscore,HOU,@,STL,L,4,5,,32-59,5,21.5,Maness,Wright,Mujica,3:23,N,44313,---,
92,2013,Friday Jul 12,boxscore,HOU,@,TBR,W,2,1,,33-59,5,20.5,Cosart,Price,Veras,2:38,N,13347,+,
93,2013,Saturday Jul 13,boxscore,HOU,@,TBR,L,3,4,,33-60,5,21.5,Hernandez,Harrell,Rodney,2:47,D,20409,-,
94,2013,Sunday Jul 14,boxscore,HOU,@,TBR,L,0,5,,33-61,5,22.5,Archer,Bedard,,2:51,D,21180,--,
95,2013,Friday Jul 19,boxscore,HOU,,SEA,L,7,10,,33-62,5,22.5,Saunders,Norris,Wilhelmsen,3:46,N,24635,---,
96,2013,Saturday Jul 20,boxscore,HOU,,SEA,L,2,4,,33-63,5,22.5,Iwakuma,Bedard,Wilhelmsen,2:58,N,25733,----,
97,2013,Sunday Jul 21,boxscore,HOU,,SEA,L,5,12,,33-64,5,23.5,Hernandez,Lyles,,3:29,D,38838,-----,
98,2013,Monday Jul 22,boxscore,HOU,,OAK,L,3,4,,33-65,5,24.5,Cook,Wright,Balfour,3:24,N,16381,------,
99,2013,Tuesday Jul 23,boxscore,HOU,,OAK,W-wo,5,4,,34-65,5,23.5,Fields,Balfour,,3:36,N,32249,+,
100,2013,Wednesday Jul 24,boxscore,HOU,,OAK,L,3,4,,34-66,5,24.5,Griffin,Blackley,Cook,3:10,D,24831,-,
101,2013,Thursday Jul 25,boxscore,HOU,@,TOR,L,0,4,,34-67,5,24.5,Buehrle,Bedard,,2:18,N,24188,--,
102,2013,Friday Jul 26,boxscore,HOU,@,TOR,L,6,12,,34-68,5,25.5,Cecil,Clemens,,3:22,N,24088,---,
103,2013,Saturday Jul 27,boxscore,HOU,@,TOR,W,8,6,,35-68,5,25.5,Keuchel,Johnson,Veras,2:49,D,34317,+,
104,2013,Sunday Jul 28,boxscore,HOU,@,TOR,L-wo,1,2,,35-69,5,26.5,Janssen,Cisnero,,3:15,D,31634,-,
105,2013,Tuesday Jul 30,boxscore,HOU,@,BAL,L,3,4,,35-70,5,27,Chen,Harrell,Johnson,2:40,N,24904,--,
106,2013,Wednesday Jul 31,boxscore,HOU,@,BAL,W,11,0,,36-70,5,26,Oberholtzer,Gonzalez,,3:03,N,25265,+,
107,2013,Thursday Aug 1,boxscore,HOU,@,BAL,L,3,6,,36-71,5,26.5,Norris,Lyles,Johnson,2:52,N,17909,-,
108,2013,Friday Aug 2,boxscore,HOU,@,MIN,L-wo,3,4,13,36-72,5,26.5,Pressly,Keuchel,,4:28,N,30633,--,
109,2013,Saturday Aug 3,boxscore,HOU,@,MIN,L,4,6,,36-73,5,27.5,Duensing,Harrell,Perkins,3:24,N,38078,---,
110,2013,Sunday Aug 4,boxscore,HOU,@,MIN,L,2,3,,36-74,5,27.5,Thielbar,Peacock,Perkins,3:03,D,34780,----,
111,2013,Monday Aug 5,boxscore,HOU,,BOS,W,2,0,,37-74,5,27,Oberholtzer,Lackey,Fields,3:11,N,24543,+,
112,2013,Tuesday Aug 6,boxscore,HOU,,BOS,L,10,15,,37-75,5,27,Workman,Lyles,,3:54,N,21620,-,
113,2013,Wednesday Aug 7,boxscore,HOU,,BOS,L,5,7,,37-76,5,27,Tazawa,Fields,Uehara,3:53,N,22205,--,
114,2013,Friday Aug 9,boxscore,HOU,,TEX,L,5,9,,37-77,5,28,Garza,Zeid,Cotts,3:58,N,23673,---,
115,2013,Saturday Aug 10,boxscore,HOU,,TEX,L,4,5,,37-78,5,29,Frasor,Harrell,Nathan,3:26,N,33322,----,
116,2013,Sunday Aug 11,boxscore,HOU,,TEX,L,1,6,,37-79,5,30,Perez,Keuchel,,2:24,D,22922,-----,
117,2013,Monday Aug 12,boxscore,HOU,,TEX,L,1,2,,37-80,5,31,Darvish,Oberholtzer,Nathan,2:38,D,18712,------,
118,2013,Tuesday Aug 13,boxscore,HOU,@,OAK,W,5,4,,38-80,5,30,Lyles,Colon,Lo,3:20,N,14261,+,
