,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address
0,2010-01-01 09:00:00,10H50,Theft,residence/house,1,9,1,Friday,Jan,2010,29.731310999999998,-95.3641144,"3450 Nagle St, Houston, TX 77004, USA"
1,2010-01-01 12:00:00,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,12,1,Friday,Jan,2010,29.728306,-95.3659775,"2650 Truxillo St, Houston, TX 77004, USA"
2,2010-01-01 12:00:00,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,12,1,Friday,Jan,2010,29.729483399999996,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA"
3,2010-01-01 12:00:00,10H50,Theft,residence/house,1,12,1,Friday,Jan,2010,29.728306,-95.3659775,"2650 Truxillo St, Houston, TX 77004, USA"
4,2010-01-01 12:00:00,10H50,Theft,residence/house,1,12,1,Friday,Jan,2010,29.729483399999996,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA"
5,2010-01-01 18:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,18,1,Friday,Jan,2010,29.731593100000005,-95.3599416,"3150 Ennis St, Houston, TX 77004, USA"
6,2010-01-01 21:00:00,10H50,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1,21,1,Friday,Jan,2010,29.729483399999996,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA"
7,2010-01-03 07:00:00,10H50,Aggravated Assault,apartment,1,7,3,Sunday,Jan,2010,29.7255173,-95.3591491,"3850 Burkett St, Houston, TX 77004, USA"
8,2010-01-04 06:00:00,10H50,Auto Theft,apartment parking lot,1,6,4,Monday,Jan,2010,29.7259891,-95.35891059999999,"3750 Burkett St, Houston, TX 77004, USA"
9,2010-01-04 10:00:00,10H50,Theft,road/street/sidewalk,1,10,4,Monday,Jan,2010,29.728293400000002,-95.3480911,"3150 Milby St, Houston, TX 77004, USA"
10,2010-01-04 13:00:00,10H50,Burglary,residence/house,1,13,4,Monday,Jan,2010,29.725475,-95.35324870000001,"3550 Holman St, Houston, TX 77004, USA"
11,2010-01-04 17:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,17,4,Monday,Jan,2010,29.7365266,-95.3598641,"2650 McGowen St, Houston, TX 77004, USA"
12,2010-01-04 17:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,17,4,Monday,Jan,2010,29.728929100000002,-95.3542729,"3350 Elgin St, Houston, TX 77004, USA"
13,2010-01-04 17:00:00,10H50,Theft,convenience store,1,17,4,Monday,Jan,2010,29.7365266,-95.3598641,"2650 McGowen St, Houston, TX 77004, USA"
14,2010-01-04 17:00:00,10H50,Theft,convenience store,1,17,4,Monday,Jan,2010,29.728929100000002,-95.3542729,"3350 Elgin St, Houston, TX 77004, USA"
15,2010-01-04 18:00:00,10H50,Theft,driveway,1,18,4,Monday,Jan,2010,29.728226300000003,-95.3447725,"3950 Anita St, Houston, TX 77004, USA"
16,2010-01-05 06:00:00,10H50,Theft,road/street/sidewalk,1,6,5,Tuesday,Jan,2010,29.7383603,-95.4289978,"3350 W Alabama St, Houston, TX 77098, USA"
17,2010-01-06 01:00:00,10H50,Robbery,restaurant/cafeteria,1,1,6,Wednesday,Jan,2010,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
18,2010-01-06 14:00:00,10H50,Robbery,road/street/sidewalk,1,14,6,Wednesday,Jan,2010,29.728412699999996,-95.3601821,"3050 Holman St, Houston, TX 77004, USA"
19,2010-01-07 01:00:00,10H50,Murder,road/street/sidewalk,1,1,7,Thursday,Jan,2010,29.731952500000002,-95.35080990000002,"2750 Canfield St, Houston, TX 77004, USA"
20,2010-01-07 04:00:00,10H50,Robbery,road/street/sidewalk,1,4,7,Thursday,Jan,2010,29.726413399999995,-95.3512831,"3350 Adair St, Houston, TX 77004, USA"
21,2010-01-07 08:00:00,10H50,Burglary,residence/house,1,8,7,Thursday,Jan,2010,29.7274351,-95.3541431,"3350 Sampson St, Houston, TX 77004, USA"
22,2010-01-07 09:00:00,10H50,Burglary,residence/house,1,9,7,Thursday,Jan,2010,29.7385086,-95.4224534,"2950 W Alabama St, Houston, TX 77098, USA"
23,2010-01-07 15:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,15,7,Thursday,Jan,2010,29.726003499999997,-95.35488740000001,"3350 Holman St, Houston, TX 77004, USA"
24,2010-01-08 14:00:00,10H50,Theft,university/college,1,14,8,Friday,Jan,2010,29.718386900000002,-95.3393602,"4850 Calhoun Rd, Houston, TX 77004, USA"
25,2010-01-08 20:00:00,10H50,Theft,driveway,1,20,8,Friday,Jan,2010,29.731538,-95.3551205,"3250 Anita St, Houston, TX 77004, USA"
26,2010-01-09 00:00:00,10H50,Theft,apartment,1,0,9,Saturday,Jan,2010,29.7252341,-95.3555989,"3550 Cobb St, Houston, TX 77004, USA"
27,2010-01-10 00:00:00,10H50,Theft,other parking lot,1,0,10,Sunday,Jan,2010,29.7383603,-95.4289978,"3350 W Alabama St, Houston, TX 77098, USA"
28,2010-01-10 02:00:00,10H50,Robbery,convenience store parking lot,1,2,10,Sunday,Jan,2010,29.7492849,-95.3574047,"1250 St Emanuel St, Houston, TX 77003, USA"
29,2010-01-10 10:00:00,10H50,Auto Theft,road/street/sidewalk,1,10,10,Sunday,Jan,2010,29.7345261,-95.355265,"3150 McGowen St, Houston, TX 77004, USA"
