Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2015-07-09 12:00:00,10H30,1200-1299,ROBERTS,Burglary,residence/house,1,12,9,Thursday,Jul,2015,1250,1250 ROBERTS,"((29.7432383, -95.34704459999999), '1250 Roberts St, Houston, TX 77003, USA')"
2015-07-09 23:00:00,10H30,1000-1099,SAINT EMANUEL,Theft,road/street/sidewalk,1,23,9,Thursday,Jul,2015,1050,1050 SAINT EMANUEL,"((29.7506861, -95.3561113), '1050 St Emanuel St, Houston, TX 77003, USA')"
2015-07-10 15:00:00,10H30,2100-2199,CONGRESS,Auto Theft,other parking lot,1,15,10,Friday,Jul,2015,2150,2150 CONGRESS,"((29.7563572, -95.3509205), '2150 Congress Ave, Houston, TX 77003, USA')"
2015-07-11 02:00:00,10H30,2000-2099,TEXAS,Theft,bar or night club parking lot,1,2,11,Saturday,Jul,2015,2050,2050 TEXAS,"((29.7542196, -95.3537248), '2050 Texas St, Houston, TX 77003, USA')"
2015-07-11 22:00:00,10H30,1100-1199,SAINT EMANUEL,Theft,road/street/sidewalk,1,22,11,Saturday,Jul,2015,1150,1150 SAINT EMANUEL,"((29.7501373, -95.3563816), '1150 St Emanuel St, Houston, TX 77003, USA')"
2015-07-12 02:00:00,10H30,2000-2099,PEASE,Robbery,road/street/sidewalk,1,2,12,Sunday,Jul,2015,2050,2050 PEASE,"((29.7462897, -95.36005740000002), '2050 Pease St, Houston, TX 77003, USA')"
2015-07-12 13:00:00,10H30,400-499,DOWLING,Theft,miscellaneous business (non-specific),1,13,12,Sunday,Jul,2015,450,450 DOWLING,"((29.753877, -95.3496449), '450 Emancipation Ave, Houston, TX 77003, USA')"
2015-07-12 18:00:00,10H30,2000-2099,LEELAND,Theft,bar or night club parking lot,1,18,12,Sunday,Jul,2015,2050,2050 LEELAND,"((29.7466075, -95.3593348), '2050 Leeland St, Houston, TX 77003, USA')"
2015-07-13 07:00:00,10H30,2200-2299,TEXAS,Theft,other parking lot,1,7,13,Monday,Jul,2015,2250,2250 TEXAS,"((29.7529365, -95.3518819), '2250 Texas St, Houston, TX 77003, USA')"
2015-07-13 11:00:00,10H30,2200-2299,PRESTON,Theft,other parking lot,1,11,13,Monday,Jul,2015,2250,2250 PRESTON,"((29.7550432, -95.3506148), '2250 Preston St, Houston, TX 77003, USA')"
2015-07-13 17:00:00,10H30,2100-2199,CAPITOL,Theft,apartment parking lot,1,17,13,Monday,Jul,2015,2150,2150 CAPITOL,"((29.7528252, -95.35350799999999), '2150 Capitol St, Houston, TX 77003, USA')"
2015-07-15 13:00:00,10H30,2500-2599,MCKINNEY,Burglary,vacant building (commercial),1,13,15,Wednesday,Jul,2015,2550,2550 MCKINNEY,"((29.7485764, -95.35152880000001), '2550 McKinney St, Houston, TX 77003, USA')"
2015-07-16 02:00:00,10H30,2000-2099,CLAY,Theft,road/street/sidewalk,1,2,16,Thursday,Jul,2015,2050,2050 CLAY,"((29.7552028, -95.4048612), '2050 W Clay St, Houston, TX 77019, USA')"
2015-07-18 02:00:00,10H30,800-899,SAINT EMANUEL,Theft,bar or night club,1,2,18,Saturday,Jul,2015,850,850 SAINT EMANUEL,"((29.7524653, -95.35478769999999), '850 St Emanuel St, Houston, TX 77003, USA')"
2015-07-19 10:00:00,10H30,2200-2299,DALLAS,Theft,"other, unknown, or not listed",1,10,19,Sunday,Jul,2015,2250,2250 DALLAS,"((29.7488265, -95.35544519999999), '2250 Dallas St, Houston, TX 77003, USA')"
2015-07-19 10:00:00,10H30,1400-1499,PAIGE,Auto Theft,road/street/sidewalk,1,10,19,Sunday,Jul,2015,1450,1450 PAIGE,"((29.74362769999999, -95.35142030000002), '1450 Paige St, Houston, TX 77003, USA')"
2015-07-19 23:00:00,10H30,800-899,SAINT EMANUEL,Burglary,bar or night club,1,23,19,Sunday,Jul,2015,850,850 SAINT EMANUEL,"((29.7524653, -95.35478769999999), '850 St Emanuel St, Houston, TX 77003, USA')"
2015-07-20 12:00:00,10H30,2000-2099,PEASE,Theft,restaurant/cafeteria parking lot,1,12,20,Monday,Jul,2015,2050,2050 PEASE,"((29.7462897, -95.36005740000002), '2050 Pease St, Houston, TX 77003, USA')"
2015-07-20 17:00:00,10H30,2000-2099,MCKINNEY,Burglary,miscellaneous business (non-specific),1,17,20,Monday,Jul,2015,2050,2050 MCKINNEY,"((29.7511977, -95.3561884), '2050 McKinney St, Houston, TX 77003, USA')"
2015-07-21 00:00:00,10H30,2300-2399,MCKINNEY,Theft,road/street/sidewalk,1,0,21,Tuesday,Jul,2015,2350,2350 MCKINNEY,"((29.7496549, -95.3532726), '2350 McKinney St, Houston, TX 77003, USA')"
2015-07-22 18:00:00,10H30,800-899,SAINT EMANUEL,Theft,bar or night club parking lot,1,18,22,Wednesday,Jul,2015,850,850 SAINT EMANUEL,"((29.7524653, -95.35478769999999), '850 St Emanuel St, Houston, TX 77003, USA')"
2015-07-22 21:00:00,10H30,2400-2499,WALKER,Theft,road/street/sidewalk,1,21,22,Wednesday,Jul,2015,2450,2450 WALKER,"((29.7504628, -95.3523431), '2450 Walker St, Houston, TX 77003, USA')"
2015-07-22 22:00:00,10H30,2100-2199,MCKINNEY,Theft,road/street/sidewalk,1,22,22,Wednesday,Jul,2015,2150,2150 MCKINNEY,"((29.7509896, -95.3550532), '2150 McKinney St, Houston, TX 77003, USA')"
