Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 19:00:00,10H70,6500-6599,FANNIN,Aggravated Assault,hospital,1,19,1,Friday,Jan,2010
2010-01-01 21:00:00,10H70,4800-4899,AUSTIN,Burglary,residence/house,1,21,1,Friday,Jan,2010
2010-01-01 23:00:00,10H70,1900-1999,WENTWORTH,Aggravated Assault,residence/house,1,23,1,Friday,Jan,2010
2010-01-02 15:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,15,2,Saturday,Jan,2010
2010-01-02 15:00:00,10H70,6400-6499,FANNIN,Theft,hospital,1,15,2,Saturday,Jan,2010
2010-01-02 15:00:00,10H70,1400-1499,OAKDALE,Theft,apartment parking lot,1,15,2,Saturday,Jan,2010
2010-01-02 20:00:00,10H70,6500-6599,FANNIN,Theft,hospital,1,20,2,Saturday,Jan,2010
2010-01-03 02:00:00,10H70,1500-1599,BEN TAUB LOOP,Theft,hospital,1,2,3,Sunday,Jan,2010
2010-01-03 14:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,14,3,Sunday,Jan,2010
2010-01-04 00:00:00,10H70,1600-1699,HERMANN,Theft,apartment,1,0,4,Monday,Jan,2010
2010-01-04 19:00:00,10H70,1500-1599,BEN TAUB LOOP,Aggravated Assault,grocery/supermarket parking lot,1,19,4,Monday,Jan,2010
2010-01-04 22:00:00,10H70,5200-5299,ALMEDA,Robbery,convenience store,1,22,4,Monday,Jan,2010
2010-01-04 22:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,22,4,Monday,Jan,2010
2010-01-06 07:00:00,10H70,1100-1199,HERMANN,Theft,commercial parking lot/garage,1,7,6,Wednesday,Jan,2010
2010-01-06 08:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,8,6,Wednesday,Jan,2010
2010-01-06 10:00:00,10H70,1500-1599,BEN TAUB LOOP,Robbery,road/street/sidewalk,1,10,6,Wednesday,Jan,2010
2010-01-06 13:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,13,6,Wednesday,Jan,2010
2010-01-06 17:00:00,10H70,6500-6599,FANNIN,Theft,commercial parking lot/garage,1,17,6,Wednesday,Jan,2010
2010-01-06 23:00:00,10H70,6300-6399,ALMEDA,Theft,apartment parking lot,1,23,6,Wednesday,Jan,2010
2010-01-07 11:00:00,10H70,1100-1199,JOHN FREEMAN,Theft,office building,1,11,7,Thursday,Jan,2010
2010-01-09 00:00:00,10H70,0-99,BAYLOR PLAZA,Theft,service/gas station,1,0,9,Saturday,Jan,2010
2010-01-09 01:00:00,10H70,4800-4899,SOUTH,Auto Theft,highway/freeway,1,1,9,Saturday,Jan,2010
