Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2012-01-10 00:00:00,1.5000000000000001e+41,8000-8099,STADIUM,Theft,other/unknown,1,0,10,Tuesday,Jan,2012,8050,8050 STADIUM,"((29.6927966, -95.4082459), '8050 N Stadium Dr, Houston, TX 77054, USA')"
2012-01-10 03:00:00,1.5000000000000001e+41,1400-1499,OLD SPANISH,Theft,hotel/motel/etc.,1,3,10,Tuesday,Jan,2012,1450,1450 OLD SPANISH,"((29.6938609, -95.40880519999999), '1450 Old Spanish Trail, Houston, TX 77054, USA')"
2012-01-10 07:00:00,1.5000000000000001e+41,2100-2199,HOLLY HALL,Burglary,apartment,1,7,10,Tuesday,Jan,2012,2150,2150 HOLLY HALL,"((29.6851906, -95.3985319), '2150 Holly Hall St, Houston, TX 77054, USA')"
2012-01-10 10:00:00,1.5000000000000001e+41,100-199,HOLMES,Theft,other/unknown,1,10,10,Tuesday,Jan,2012,150,150 HOLMES,"((29.6542076, -95.43944429999999), '150 Holmes Rd, Houston, TX 77045, USA')"
2012-01-10 18:00:00,1.5000000000000001e+41,3000-3099,SOUTH LP W,Theft,restaurant/cafeteria parking lot,1,18,10,Tuesday,Jan,2012,3050,3050 SOUTH LP W,"((29.6778947, -95.42543239999999), '3050 S Loop W, Houston, TX 77025, USA')"
2012-01-10 22:00:00,1.5000000000000001e+41,2400-2499,SOUTH LP W,Aggravated Assault,apartment parking lot,2,22,10,Tuesday,Jan,2012,2450,2450 SOUTH LP W,"((29.6788017, -95.4159768), '2450 S Loop W, Houston, TX 77054, USA')"
2012-01-10 23:00:00,1.5000000000000001e+41,2800-2899,BARTELL,Theft,apartment,1,23,10,Tuesday,Jan,2012,2850,2850 BARTELL,"((29.680448, -95.42042839999999), '2850 S Bartell Dr, Houston, TX 77054, USA')"
2012-01-11 00:00:00,1.5000000000000001e+41,8100-8199,FANNIN,Theft,other/unknown,1,0,11,Wednesday,Jan,2012,8150,8150 FANNIN,"((29.6869435, -95.40331019999999), '8150 Fannin St, Houston, TX 77054, USA')"
2012-01-11 07:00:00,1.5000000000000001e+41,1500-1599,SOUTH LP W,Theft,other parking lot,1,7,11,Wednesday,Jan,2012,1550,1550 SOUTH LP W,"((29.6793883, -95.40265409999999), '1550 S Loop W, Houston, TX 77054, USA')"
2012-01-11 22:00:00,1.5000000000000001e+41,3400-3499,CLEARVIEW VILLA,Theft,bar/night club parking lot,1,22,11,Wednesday,Jan,2012,3450,3450 CLEARVIEW VILLA,"((29.669444, -95.432163), '3450 Clearview Villa Pl, Houston, TX 77025, USA')"
2012-01-12 09:00:00,1.5000000000000001e+41,2600-2699,SOUTH LP W,Theft,strip business center parking lot,1,9,12,Thursday,Jan,2012,2650,2650 SOUTH LP W,"((29.67808119999999, -95.41922129999999), '2650 S Loop W, Houston, TX 77054, USA')"
2012-01-12 10:00:00,1.5000000000000001e+41,100-199,HOLMES,Theft,construction site,1,10,12,Thursday,Jan,2012,150,150 HOLMES,"((29.6542076, -95.43944429999999), '150 Holmes Rd, Houston, TX 77045, USA')"
2012-01-12 10:00:00,1.5000000000000001e+41,2600-2699,MURWORTH,Theft,apartment parking lot,1,10,12,Thursday,Jan,2012,2650,2650 MURWORTH,"((29.6852115, -95.41982650000001), '2650 Murworth Dr, Houston, TX 77054, USA')"
2012-01-12 11:00:00,1.5000000000000001e+41,3000-3099,MURWORTH,Theft,apartment parking lot,1,11,12,Thursday,Jan,2012,3050,3050 MURWORTH,"((29.6856544, -95.4256395), '3050 Murworth Dr, Houston, TX 77025, USA')"
2012-01-12 12:00:00,1.5000000000000001e+41,2800-2899,BROADMEAD,Theft,other parking lot,1,12,12,Thursday,Jan,2012,2850,2850 BROADMEAD,"((29.68759009999999, -95.4213276), '2850 Broadmead Dr, Houston, TX 77025, USA')"
2012-01-12 20:00:00,1.5000000000000001e+41,8300-8399,EL MUNDO,Theft,apartment parking lot,1,20,12,Thursday,Jan,2012,8350,8350 EL MUNDO,"((29.6820484, -95.38725389999999), '8350 El Mundo St, Houston, TX 77054, USA')"
2012-01-13 03:00:00,1.5000000000000001e+41,8300-8399,KNIGHT,Theft,convenience store,1,3,13,Friday,Jan,2012,8350,8350 KNIGHT,"((29.6845315, -95.40031289999999), '8350 Knight Rd, Houston, TX 77054, USA')"
2012-01-13 08:00:00,1.5000000000000001e+41,1700-1799,CROSS POINT,Auto Theft,commercial parking lot/garage,1,8,13,Friday,Jan,2012,1750,1750 CROSS POINT,"((29.6701191, -95.4088429), '1750 Crosspoint Ave, Houston, TX 77054, USA')"
2012-01-13 09:00:00,1.5000000000000001e+41,2500-2599,MURWORTH,Theft,road/street/sidewalk,1,9,13,Friday,Jan,2012,2550,2550 MURWORTH,"((29.6852115, -95.41982650000001), '2550 Murworth Dr, Houston, TX 77054, USA')"
2012-01-13 13:00:00,1.5000000000000001e+41,9900-9999,BUFFALO SPEEDWAY,Theft,apartment parking lot,1,13,13,Friday,Jan,2012,9950,9950 BUFFALO SPEEDWAY,"((29.6745626, -95.4248057), '9950 Buffalo Speedway, Houston, TX 77054, USA')"
2012-01-13 18:00:00,1.5000000000000001e+41,2600-2699,SOUTH LP W,Theft,barber and beauty shops,1,18,13,Friday,Jan,2012,2650,2650 SOUTH LP W,"((29.67808119999999, -95.41922129999999), '2650 S Loop W, Houston, TX 77054, USA')"
2012-01-13 18:00:00,1.5000000000000001e+41,2700-2799,SOUTH LP W,Theft,restaurant/cafeteria parking lot,1,18,13,Friday,Jan,2012,2750,2750 SOUTH LP W,"((29.6780757, -95.41929429999999), '2750 S Loop W, Houston, TX 77054, USA')"
2012-01-14 17:00:00,1.5000000000000001e+41,8600-8699,MAIN,Auto Theft,liquor store parking lot,1,17,14,Saturday,Jan,2012,8650,8650 MAIN,"((29.6906009, -95.418364), '8650 S Main St, Houston, TX 77025, USA')"
2012-01-15 21:00:00,1.5000000000000001e+41,7600-7699,PHOENIX,Theft,other/unknown,1,21,15,Sunday,Jan,2012,7650,7650 PHOENIX,"((29.6986054, -95.4032943), '7650 Phoenix Dr, Houston, TX 77030, USA')"
2012-01-16 12:00:00,1.5000000000000001e+41,2700-2799,BELLFORT,Burglary,apartment,1,12,16,Monday,Jan,2012,2750,2750 BELLFORT,"((29.6678401, -95.38704899999999), '2750 W Bellfort Blvd, Houston, TX 77051, USA')"
