Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-18 20:00:00,10H80,Theft,road/street/sidewalk,1,20,18,Monday,Jan,2010,"(29.7249385, -95.4122613)","2250 Wroxton Rd, Houston, TX 77005, USA"
2010-01-18 22:00:00,10H80,Theft,apartment,1,22,18,Monday,Jan,2010,"(29.7282233, -95.41283469999999)","4150 Greenbriar Dr, Houston, TX 77098, USA"
2010-01-18 23:00:00,10H80,Theft,driveway,1,23,18,Monday,Jan,2010,"(29.7305666, -95.40152239999999)","1650 Vassar St, Houston, TX 77006, USA"
2010-01-19 17:00:00,10H80,Theft,commercial parking lot/garage,1,17,19,Tuesday,Jan,2010,"(29.7107941, -95.4003811)","6560 Fannin St #1950, Houston, TX 77030, USA"
2010-01-20 12:00:00,10H80,Theft,other parking lot,1,12,20,Wednesday,Jan,2010,"(29.7282233, -95.41283469999999)","4150 Greenbriar Dr, Houston, TX 77098, USA"
2010-01-20 12:00:00,10H80,Theft,other parking lot,1,12,20,Wednesday,Jan,2010,"(29.719575, -95.41418499999999)","2350 Dunstan Rd, Houston, TX 77005, USA"
2010-01-20 12:00:00,10H80,Burglary,residence/house,1,12,20,Wednesday,Jan,2010,"(29.7282233, -95.41283469999999)","4150 Greenbriar Dr, Houston, TX 77098, USA"
2010-01-20 12:00:00,10H80,Burglary,residence/house,1,12,20,Wednesday,Jan,2010,"(29.719575, -95.41418499999999)","2350 Dunstan Rd, Houston, TX 77005, USA"
2010-01-20 17:00:00,10H80,Burglary,other/unknown,1,17,20,Wednesday,Jan,2010,"(29.7234523, -95.4011262)","1750 Sunset Blvd, Houston, TX 77005, USA"
2010-01-21 11:00:00,10H80,Burglary,residence/house,1,11,21,Thursday,Jan,2010,"(29.7072895, -95.41463999999999)","2350 Sheridan St, Houston, TX 77030, USA"
2010-01-21 16:00:00,10H80,Theft,hotel/motel/etc.,1,16,21,Thursday,Jan,2010,"(29.7245639, -95.39145470000001)","5750 S Main St, Houston, TX 77005, USA"
2010-01-22 06:00:00,10H80,Robbery,restaurant/cafeteria,1,6,22,Friday,Jan,2010,"(29.7031298, -95.38332179999999)","Jp Mcgovern Building, 2450 Holcombe Blvd, Houston, TX 77021, USA"
2010-01-24 07:00:00,10H80,Burglary,residence/house,1,7,24,Sunday,Jan,2010,"(29.7245684, -95.3964001)","5350 Dora St, Houston, TX 77005, USA"
2010-01-24 17:00:00,10H80,Theft,restaurant/cafeteria parking lot,1,17,24,Sunday,Jan,2010,"(29.6735254, -95.41780539999999)","2550 W Bellfort Blvd, Houston, TX 77054, USA"
2010-01-24 21:00:00,10H80,Theft,mall parking lot,1,21,24,Sunday,Jan,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-01-24 21:00:00,10H80,Theft,mall parking lot,1,21,24,Sunday,Jan,2010,"(29.748146, -95.6267142)","1950 Eldridge Pkwy, Houston, TX 77077, USA"
