date,sum_crimes,weekday,month,mode_hr,game,seasons
2014-10-26,5,Sunday,Oct,0,No Game,No game
2014-10-27,7,Monday,Oct,14,No Game,No game
2014-10-28,4,Tuesday,Oct,12,No Game,No game
2014-10-29,5,Wednesday,Oct,0,No Game,No game
2014-10-30,7,Thursday,Oct,0,No Game,No game
2014-10-31,9,Friday,Oct,15,No Game,No game
2014-11-01,7,Saturday,Nov,16,No Game,No game
2014-11-02,3,Sunday,Nov,14,No Game,No game
2014-11-03,6,Monday,Nov,16,No Game,No game
2014-11-04,9,Tuesday,Nov,13,No Game,No game
2014-11-05,13,Wednesday,Nov,7,No Game,No game
2014-11-06,5,Thursday,Nov,8,No Game,No game
2014-11-07,8,Friday,Nov,11,No Game,No game
2014-11-08,7,Saturday,Nov,3,No Game,No game
2014-11-09,9,Sunday,Nov,14,No Game,No game
