date,sum_crimes,weekday,month,mode_hr,game,seasons
2013-09-30,6,Monday,Sep,1,No Game,No game
2013-10-01,6,Tuesday,Oct,0,No Game,No game
2013-10-02,4,Wednesday,Oct,10,No Game,No game
2013-10-03,1,Thursday,Oct,14,No Game,No game
2013-10-04,11,Friday,Oct,11,No Game,No game
2013-10-05,13,Saturday,Oct,0,No Game,No game
2013-10-06,3,Sunday,Oct,0,No Game,No game
2013-10-07,4,Monday,Oct,2,No Game,No game
2013-10-08,4,Tuesday,Oct,18,No Game,No game
2013-10-09,5,Wednesday,Oct,2,No Game,No game
2013-10-10,7,Thursday,Oct,22,No Game,No game
2013-10-11,7,Friday,Oct,22,No Game,No game
2013-10-12,6,Saturday,Oct,9,No Game,No game
2013-10-13,7,Sunday,Oct,20,No Game,No game
2013-10-14,7,Monday,Oct,0,No Game,No game
2013-10-15,11,Tuesday,Oct,19,No Game,No game
2013-10-16,7,Wednesday,Oct,15,No Game,No game
2013-10-17,6,Thursday,Oct,0,No Game,No game
2013-10-18,10,Friday,Oct,8,No Game,No game
2013-10-19,10,Saturday,Oct,4,No Game,No game
2013-10-20,14,Sunday,Oct,20,No Game,No game
2013-10-21,9,Monday,Oct,18,No Game,No game
2013-10-22,8,Tuesday,Oct,1,No Game,No game
2013-10-23,17,Wednesday,Oct,19,No Game,No game
2013-10-24,11,Thursday,Oct,19,No Game,No game
2013-10-25,9,Friday,Oct,21,No Game,No game
2013-10-26,12,Saturday,Oct,15,No Game,No game
2013-10-27,9,Sunday,Oct,1,No Game,No game
2013-10-28,5,Monday,Oct,0,No Game,No game
2013-10-29,9,Tuesday,Oct,10,No Game,No game
2013-10-30,9,Wednesday,Oct,2,No Game,No game
2013-10-31,13,Thursday,Oct,10,No Game,No game
2013-11-01,11,Friday,Nov,3,No Game,No game
2013-11-02,13,Saturday,Nov,0,No Game,No game
2013-11-03,7,Sunday,Nov,0,No Game,No game
2013-11-04,8,Monday,Nov,13,No Game,No game
2013-11-05,4,Tuesday,Nov,3,No Game,No game
2013-11-06,9,Wednesday,Nov,15,No Game,No game
2013-11-07,10,Thursday,Nov,20,No Game,No game
2013-11-08,5,Friday,Nov,2,No Game,No game
2013-11-09,5,Saturday,Nov,3,No Game,No game
2013-11-10,4,Sunday,Nov,0,No Game,No game
2013-11-11,7,Monday,Nov,12,No Game,No game
2013-11-12,13,Tuesday,Nov,16,No Game,No game
2013-11-13,4,Wednesday,Nov,8,No Game,No game
2013-11-14,11,Thursday,Nov,11,No Game,No game
2013-11-15,5,Friday,Nov,4,No Game,No game
2013-11-16,1,Saturday,Nov,20,No Game,No game
2013-11-17,9,Sunday,Nov,0,No Game,No game
2013-11-18,5,Monday,Nov,2,No Game,No game
2013-11-19,5,Tuesday,Nov,19,No Game,No game
2013-11-20,8,Wednesday,Nov,8,No Game,No game
2013-11-21,4,Thursday,Nov,20,No Game,No game
2013-11-22,6,Friday,Nov,3,No Game,No game
2013-11-23,23,Saturday,Nov,1,No Game,No game
2013-11-24,8,Sunday,Nov,2,No Game,No game
2013-11-25,7,Monday,Nov,19,No Game,No game
2013-11-26,7,Tuesday,Nov,8,No Game,No game
2013-11-27,9,Wednesday,Nov,16,No Game,No game
2013-11-28,3,Thursday,Nov,0,No Game,No game
2013-11-29,7,Friday,Nov,16,No Game,No game
2013-11-30,7,Saturday,Nov,1,No Game,No game
2013-12-01,7,Sunday,Dec,2,No Game,No game
2013-12-02,9,Monday,Dec,7,No Game,No game
2013-12-03,6,Tuesday,Dec,21,No Game,No game
2013-12-04,11,Wednesday,Dec,14,No Game,No game
2013-12-05,8,Thursday,Dec,15,No Game,No game
2013-12-06,8,Friday,Dec,21,No Game,No game
2013-12-07,14,Saturday,Dec,1,No Game,No game
2013-12-08,7,Sunday,Dec,3,No Game,No game
2013-12-09,6,Monday,Dec,9,No Game,No game
2013-12-10,8,Tuesday,Dec,15,No Game,No game
2013-12-11,11,Wednesday,Dec,21,No Game,No game
2013-12-12,5,Thursday,Dec,2,No Game,No game
2013-12-13,8,Friday,Dec,8,No Game,No game
2013-12-14,11,Saturday,Dec,1,No Game,No game
2013-12-15,7,Sunday,Dec,2,No Game,No game
2013-12-16,4,Monday,Dec,0,No Game,No game
2013-12-17,4,Tuesday,Dec,16,No Game,No game
2013-12-18,7,Wednesday,Dec,0,No Game,No game
2013-12-19,7,Thursday,Dec,20,No Game,No game
2013-12-20,9,Friday,Dec,14,No Game,No game
2013-12-21,8,Saturday,Dec,16,No Game,No game
2013-12-22,8,Sunday,Dec,0,No Game,No game
2013-12-23,4,Monday,Dec,4,No Game,No game
2013-12-24,6,Tuesday,Dec,15,No Game,No game
2013-12-25,4,Wednesday,Dec,19,No Game,No game
2013-12-26,4,Thursday,Dec,10,No Game,No game
2013-12-27,7,Friday,Dec,9,No Game,No game
2013-12-28,14,Saturday,Dec,23,No Game,No game
2013-12-29,9,Sunday,Dec,13,No Game,No game
2013-12-30,4,Monday,Dec,11,No Game,No game
2013-12-31,9,Tuesday,Dec,23,No Game,No game
2014-01-01,10,Wednesday,Jan,1,No Game,No game
2014-01-02,5,Thursday,Jan,15,No Game,No game
2014-01-03,7,Friday,Jan,18,No Game,No game
2014-01-04,3,Saturday,Jan,16,No Game,No game
2014-01-05,7,Sunday,Jan,16,No Game,No game
2014-01-06,8,Monday,Jan,10,No Game,No game
2014-01-07,4,Tuesday,Jan,10,No Game,No game
2014-01-08,9,Wednesday,Jan,15,No Game,No game
2014-01-09,2,Thursday,Jan,0,No Game,No game
2014-01-10,11,Friday,Jan,23,No Game,No game
2014-01-11,12,Saturday,Jan,3,No Game,No game
2014-01-12,17,Sunday,Jan,0,No Game,No game
2014-01-13,6,Monday,Jan,18,No Game,No game
2014-01-14,6,Tuesday,Jan,8,No Game,No game
2014-01-15,7,Wednesday,Jan,0,No Game,No game
2014-01-16,9,Thursday,Jan,22,No Game,No game
2014-01-17,8,Friday,Jan,5,No Game,No game
2014-01-18,10,Saturday,Jan,15,No Game,No game
2014-01-19,12,Sunday,Jan,23,No Game,No game
2014-01-20,13,Monday,Jan,10,No Game,No game
2014-01-21,7,Tuesday,Jan,1,No Game,No game
2014-01-22,8,Wednesday,Jan,14,No Game,No game
2014-01-23,5,Thursday,Jan,4,No Game,No game
2014-01-24,4,Friday,Jan,23,No Game,No game
2014-01-25,6,Saturday,Jan,1,No Game,No game
2014-01-26,11,Sunday,Jan,22,No Game,No game
2014-01-27,12,Monday,Jan,0,No Game,No game
2014-01-28,10,Tuesday,Jan,8,No Game,No game
2014-01-29,10,Wednesday,Jan,0,No Game,No game
2014-01-30,7,Thursday,Jan,7,No Game,No game
2014-01-31,5,Friday,Jan,9,No Game,No game
2014-02-01,6,Saturday,Feb,0,No Game,No game
2014-02-02,6,Sunday,Feb,0,No Game,No game
2014-02-03,7,Monday,Feb,0,No Game,No game
2014-02-04,5,Tuesday,Feb,0,No Game,No game
2014-02-05,5,Wednesday,Feb,1,No Game,No game
2014-02-06,5,Thursday,Feb,5,No Game,No game
2014-02-07,6,Friday,Feb,0,No Game,No game
2014-02-08,12,Saturday,Feb,12,No Game,No game
2014-02-09,6,Sunday,Feb,0,No Game,No game
2014-02-10,5,Monday,Feb,10,No Game,No game
2014-02-11,4,Tuesday,Feb,8,No Game,No game
2014-02-12,5,Wednesday,Feb,18,No Game,No game
2014-02-13,3,Thursday,Feb,17,No Game,No game
2014-02-14,8,Friday,Feb,8,No Game,No game
2014-02-15,6,Saturday,Feb,19,No Game,No game
2014-02-16,6,Sunday,Feb,18,No Game,No game
2014-02-17,8,Monday,Feb,17,No Game,No game
2014-02-18,4,Tuesday,Feb,15,No Game,No game
2014-02-19,5,Wednesday,Feb,4,No Game,No game
2014-02-20,3,Thursday,Feb,1,No Game,No game
2014-02-21,4,Friday,Feb,2,No Game,No game
2014-02-22,8,Saturday,Feb,0,No Game,No game
2014-02-23,6,Sunday,Feb,20,No Game,No game
2014-02-24,6,Monday,Feb,10,No Game,No game
2014-02-25,8,Tuesday,Feb,15,No Game,No game
2014-02-26,6,Wednesday,Feb,14,No Game,No game
2014-02-27,8,Thursday,Feb,12,No Game,No game
2014-02-28,8,Friday,Feb,17,No Game,No game
2014-03-01,5,Saturday,Mar,2,No Game,No game
2014-03-02,5,Sunday,Mar,0,No Game,No game
2014-03-03,3,Monday,Mar,3,No Game,No game
2014-03-05,6,Wednesday,Mar,17,No Game,No game
2014-03-06,5,Thursday,Mar,7,No Game,No game
2014-03-07,5,Friday,Mar,15,No Game,No game
2014-03-08,10,Saturday,Mar,16,No Game,No game
2014-03-09,8,Sunday,Mar,0,No Game,No game
2014-03-10,5,Monday,Mar,7,No Game,No game
2014-03-11,10,Tuesday,Mar,0,No Game,No game
2014-03-12,8,Wednesday,Mar,0,No Game,No game
2014-03-13,5,Thursday,Mar,13,No Game,No game
2014-03-14,8,Friday,Mar,22,No Game,No game
2014-03-15,7,Saturday,Mar,15,No Game,No game
2014-03-16,9,Sunday,Mar,15,No Game,No game
2014-03-17,9,Monday,Mar,19,No Game,No game
2014-03-18,8,Tuesday,Mar,21,No Game,No game
2014-03-19,8,Wednesday,Mar,16,No Game,No game
2014-03-20,7,Thursday,Mar,5,No Game,No game
2014-03-21,15,Friday,Mar,17,No Game,No game
2014-03-22,5,Saturday,Mar,13,No Game,No game
2014-03-23,10,Sunday,Mar,0,No Game,No game
2014-03-24,5,Monday,Mar,11,No Game,No game
2014-03-25,8,Tuesday,Mar,21,No Game,No game
2014-03-26,4,Wednesday,Mar,12,No Game,No game
2014-03-27,5,Thursday,Mar,12,No Game,No game
2014-03-28,14,Friday,Mar,11,No Game,No game
2014-03-29,10,Saturday,Mar,21,No Game,No game
2014-03-30,9,Sunday,Mar,12,No Game,No game
2014-03-31,5,Monday,Mar,7,No Game,No game
2014-04-01,14,Tuesday,Apr,12,Won Game,Regular
2014-04-02,10,Wednesday,Apr,16,Won Game,Regular
2014-04-03,10,Thursday,Apr,0,Lost Game,Regular
2014-04-04,6,Friday,Apr,19,Lost Game,Regular
