Date,Day,School,Pts,home_away,Opponent,Opp,win_lost
2016-11-12,Sat,Rice,22,away,Charlotte,21,W
2016-11-19,Sat,Rice,44,home,UTEP,24,W
2016-11-26,Sat,Rice,17,away,Stanford,41,L
2017-08-26,Sat,Rice,7,away,Stanford,62,L
2017-09-09,Sat,Rice,31,away,UTEP,14,W
2017-09-16,Sat,Rice,3,away,Houston,38,L
2017-09-23,Sat,Rice,7,home,Florida International,13,L
2017-09-30,Sat,Rice,10,away,Pitt,42,L
2017-10-07,Sat,Rice,12,home,Army,49,L
2017-10-21,Sat,Rice,7,away,UTSA,20,L
2017-10-28,Sat,Rice,28,home,Louisiana Tech,42,L
2017-11-04,Sat,Rice,21,away,UAB,52,L
2017-11-11,Sat,Rice,34,home,Southern Mississippi,43,L
2017-11-18,Sat,Rice,21,away,Old Dominion,24,L
2017-11-25,Sat,Rice,14,home,North Texas,30,L
