scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2008-10-19 20:15:42,GB,34.0,IND,14.0,GB
2008-10-19 20:16:04,WAS,14.0,CLE,11.0,WAS
2008-10-20 00:23:45,TB,20.0,SEA,10.0,TB
2008-10-21 00:40:30,NE,41.0,DEN,7.0,NE
2008-10-26 17:02:35,NE,23.0,STL,16.0,NE
2008-10-26 17:02:49,CAR,27.0,ARI,23.0,CAR
2008-10-26 17:02:50,PHI,27.0,ATL,14.0,PHI
2008-10-26 17:02:51,DAL,13.0,TB,9.0,DAL
2008-10-26 17:05:39,NYJ,28.0,KC,24.0,NYJ
2008-10-26 17:07:53,NO,37.0,SD,32.0,NO
2008-10-26 18:03:05,DET,17.0,WAS,25.0,WAS
2008-10-26 18:05:22,MIA,25.0,BUF,16.0,MIA
2008-10-26 18:06:09,BAL,29.0,OAK,10.0,BAL
2008-10-26 20:05:40,JAC,17.0,CLE,23.0,CLE
2008-10-26 20:15:58,PIT,14.0,NYG,21.0,NYG
2008-10-26 21:05:37,HOU,35.0,CIN,6.0,HOU
2008-10-26 21:15:25,SF,13.0,SEA,34.0,SEA
2008-10-28 00:40:42,TEN,31.0,IND,21.0,TEN
2008-11-02 18:02:38,MIN,28.0,HOU,21.0,MIN
2008-11-02 18:02:41,CLE,27.0,BAL,37.0,BAL
2008-11-02 18:02:42,CIN,21.0,JAC,19.0,CIN
2008-11-02 18:02:59,TEN,19.0,GB,16.0,TEN
2008-11-02 18:03:00,BUF,17.0,NYJ,26.0,NYJ
2008-11-02 18:03:11,KC,27.0,TB,30.0,TB
2008-11-02 18:03:37,STL,13.0,ARI,34.0,ARI
2008-11-02 18:03:45,CHI,27.0,DET,23.0,CHI
2008-11-02 21:05:15,DEN,17.0,MIA,26.0,MIA
2008-11-02 21:15:42,OAK,0.0,ATL,24.0,ATL
2008-11-02 21:15:50,SEA,7.0,PHI,26.0,PHI
2008-11-02 21:15:54,NYG,35.0,DAL,14.0,NYG
2008-11-03 01:23:40,IND,18.0,NE,15.0,IND
2008-11-04 01:41:15,WAS,6.0,PIT,23.0,PIT
2008-11-07 01:15:39,CLE,30.0,DEN,34.0,DEN
2008-11-09 18:02:21,CHI,14.0,TEN,21.0,TEN
2008-11-09 18:02:45,HOU,13.0,BAL,41.0,BAL
2008-11-09 18:02:45,DET,14.0,JAC,38.0,JAC
2008-11-09 18:02:49,NE,20.0,BUF,10.0,NE
2008-11-09 18:03:06,NYJ,47.0,STL,3.0,NYJ
2008-11-09 18:03:16,MIN,28.0,GB,27.0,MIN
2008-11-09 18:03:19,ATL,34.0,NO,20.0,ATL
2008-11-09 18:03:53,MIA,21.0,SEA,19.0,MIA
2008-11-09 21:05:18,OAK,6.0,CAR,17.0,CAR
2008-11-09 21:15:47,SD,20.0,KC,19.0,SD
2008-11-09 21:15:48,PIT,20.0,IND,24.0,IND
2008-11-10 01:23:59,PHI,31.0,NYG,36.0,NYG
2008-11-11 01:40:37,ARI,29.0,SF,24.0,ARI
2008-11-14 01:15:36,NE,31.0,NYJ,34.0,NYJ
2008-11-16 18:02:26,MIA,17.0,OAK,15.0,MIA
2008-11-16 18:02:37,ATL,20.0,DEN,24.0,DEN
2008-11-16 18:02:45,KC,20.0,NO,30.0,NO
2008-11-16 18:03:00,NYG,30.0,BAL,10.0,NYG
2008-11-16 18:03:10,CIN,13.0,PHI,13.0,PHI
2008-11-16 18:03:24,TB,19.0,MIN,13.0,TB
2008-11-16 18:03:30,GB,37.0,CHI,3.0,GB
2008-11-16 18:03:31,IND,33.0,HOU,27.0,IND
2008-11-16 18:03:50,CAR,31.0,DET,22.0,CAR
2008-11-16 21:04:11,SF,35.0,STL,16.0,SF
2008-11-16 21:05:53,SEA,20.0,ARI,26.0,ARI
2008-11-16 21:15:29,JAC,14.0,TEN,24.0,TEN
2008-11-16 21:16:25,PIT,11.0,SD,10.0,PIT
2008-11-17 01:24:02,WAS,10.0,DAL,14.0,DAL
2008-11-18 01:40:44,BUF,27.0,CLE,29.0,CLE
2008-11-21 01:16:20,PIT,27.0,CIN,10.0,PIT
2008-11-23 18:02:00,BAL,36.0,PHI,7.0,BAL
2008-11-23 18:02:38,KC,31.0,BUF,54.0,BUF
2008-11-23 18:02:52,MIA,28.0,NE,48.0,NE
2008-11-23 18:02:59,TEN,13.0,NYJ,34.0,NYJ
2008-11-23 18:03:00,JAC,12.0,MIN,30.0,MIN
2008-11-23 18:03:01,DAL,35.0,SF,22.0,DAL
2008-11-23 18:03:08,STL,3.0,CHI,27.0,CHI
2008-11-23 18:03:09,DET,20.0,TB,38.0,TB
2008-11-23 18:03:23,CLE,6.0,HOU,16.0,HOU
2008-11-23 21:05:38,DEN,10.0,OAK,31.0,OAK
2008-11-23 21:15:28,ATL,45.0,CAR,28.0,ATL
2008-11-23 21:16:03,ARI,29.0,NYG,37.0,NYG
2008-11-23 21:16:05,SEA,17.0,WAS,20.0,WAS
2008-11-24 01:23:45,SD,20.0,IND,23.0,IND
2008-11-25 01:40:28,NO,51.0,GB,29.0,NO
2008-11-27 17:37:57,DET,10.0,TEN,47.0,TEN
2008-11-27 21:29:35,DAL,34.0,SEA,9.0,DAL
2008-11-28 01:16:55,PHI,48.0,ARI,20.0,PHI
2008-11-30 18:02:39,CIN,3.0,BAL,34.0,BAL
2008-11-30 18:02:48,CLE,6.0,IND,10.0,IND
2008-11-30 18:02:54,TB,23.0,NO,20.0,TB
2008-11-30 18:02:59,GB,31.0,CAR,35.0,CAR
2008-11-30 18:03:02,STL,12.0,MIA,16.0,MIA
2008-11-30 18:03:15,BUF,3.0,SF,10.0,SF
2008-11-30 18:04:03,WAS,7.0,NYG,23.0,NYG
2008-11-30 21:06:04,SD,16.0,ATL,22.0,ATL
2008-11-30 21:15:38,OAK,13.0,KC,20.0,KC
2008-11-30 21:15:42,NE,10.0,PIT,33.0,PIT
2008-12-01 01:23:37,MIN,34.0,CHI,14.0,MIN
2008-12-01 05:17:02,NYJ,17.0,DEN,34.0,DEN
2008-12-02 01:40:32,HOU,30.0,JAC,17.0,HOU
2008-12-05 01:15:57,SD,34.0,OAK,7.0,SD
2008-12-07 18:02:25,GB,21.0,HOU,24.0,HOU
2008-12-07 18:02:32,CHI,23.0,JAC,10.0,CHI
2008-12-07 18:02:41,IND,35.0,CIN,3.0,IND
2008-12-07 18:02:55,NO,29.0,ATL,25.0,NO
2008-12-07 18:03:08,DET,16.0,MIN,20.0,MIN
2008-12-07 18:03:58,NYG,14.0,PHI,20.0,PHI
2008-12-07 18:04:38,TEN,28.0,CLE,9.0,TEN
2008-12-07 21:05:37,SF,24.0,NYJ,14.0,SF
2008-12-07 21:05:40,DEN,24.0,KC,17.0,DEN
2008-12-07 21:05:53,SEA,21.0,NE,24.0,NE
2008-12-07 21:05:56,BUF,3.0,MIA,16.0,MIA
2008-12-07 21:15:32,ARI,34.0,STL,10.0,ARI
2008-12-07 21:16:08,PIT,20.0,DAL,13.0,PIT
2008-12-08 01:24:40,BAL,24.0,WAS,10.0,BAL
2008-12-09 01:40:30,CAR,38.0,TB,23.0,CAR
2008-12-12 01:15:35,CHI,27.0,NO,24.0,CHI
2008-12-14 18:02:47,HOU,13.0,TEN,12.0,HOU
2008-12-14 18:02:48,IND,31.0,DET,21.0,IND
2008-12-14 18:02:55,NYJ,31.0,BUF,27.0,NYJ
2008-12-14 18:03:08,KC,21.0,SD,22.0,SD
2008-12-14 18:03:21,CIN,20.0,WAS,13.0,CIN
2008-12-14 18:03:24,STL,20.0,SEA,23.0,SEA
2008-12-14 18:03:25,MIA,14.0,SF,9.0,MIA
2008-12-14 18:03:34,ATL,13.0,TB,10.0,ATL
