Date,Day,School,Pts,home_away,Opponent,Opp,win_lost,Notes
2016-09-03,Sat,Houston,33,away,Oklahoma,23,W,
2016-09-10,Sat,Houston,42,home,Lamar,0,W,
2016-09-15,Thu,Houston,40,away,Cincinnati,16,W,
2016-09-24,Sat,Houston,64,away,Texas State,3,W,
2016-09-29,Thu,Houston,42,home,Connecticut,14,W,
2016-10-08,Sat,Houston,40,away,Navy,46,L,
2016-10-15,Sat,Houston,38,home,Tulsa,31,W,
2016-10-22,Sat,Houston,16,away,SMU,38,L,
2016-10-29,Sat,Houston,31,home,UCF,24,W,
2016-11-12,Sat,Houston,30,home,Tulane,18,W,
2016-11-17,Thu,Houston,36,home,Louisville,10,W,
2016-11-25,Fri,Houston,44,away,Memphis,48,L,
2016-12-17,Sat,Houston,10,away,San Diego State,34,L,Las Vegas Bowl
2017-09-09,Sat,Houston,19,away,Arizona,16,W,
2017-09-16,Sat,Houston,38,home,Rice,3,W,
2017-09-23,Sat,Houston,24,home,Texas Tech,27,L,
2017-09-30,Sat,Houston,20,away,Temple,13,W,
2017-10-07,Sat,Houston,35,home,SMU,22,W,
2017-10-14,Sat,Houston,17,away,Tulsa,45,L,
2017-10-19,Thu,Houston,38,home,Memphis,42,L,
2017-10-28,Sat,Houston,28,away,South Florida,24,W,
2017-11-04,Sat,Houston,52,home,East Carolina,27,W,
2017-11-18,Sat,Houston,17,away,Tulane,20,L,
2017-11-24,Fri,Houston,24,home,Navy,14,W,
2017-12-24,Sun,Houston,27,away,Fresno State,33,L,Hawaii Bowl
