scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner,season
2012-01-07 21:37:15,HOU,31,CIN,10,HOU,plo
2013-01-05 21:35:54,HOU,19,CIN,13,HOU,plo
2016-01-09 21:35:00,HOU,0,KC,30,KC,plo
2017-01-07 21:35:00,HOU,27,OAK,14,HOU,plo
