Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-24 21:00:00,10H30,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1,21,24,Sunday,Jan,2010,"(29.7379896, -95.3472601)","1850 Napoleon St, Houston, TX 77003, USA"
2010-01-24 21:00:00,10H30,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1,21,24,Sunday,Jan,2010,"(29.7379896, -95.3472601)","1850 Napoleon St, Houston, TX 77003, USA"
2010-01-24 21:00:00,10H30,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",3,21,24,Sunday,Jan,2010,"(29.7379896, -95.3472601)","1850 Napoleon St, Houston, TX 77003, USA"
2010-01-24 21:00:00,10H30,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",3,21,24,Sunday,Jan,2010,"(29.7379896, -95.3472601)","1850 Napoleon St, Houston, TX 77003, USA"
2010-01-24 23:00:00,10H30,Theft,road/street/sidewalk,1,23,24,Sunday,Jan,2010,"(29.7485248, -95.3477135)","2850 Rusk St, Houston, TX 77003, USA"
2010-01-26 17:00:00,10H30,Theft,construction site,1,17,26,Tuesday,Jan,2010,"(29.7584223, -95.40566559999999)","3450 W Dallas St, Houston, TX 77019, USA"
2010-01-26 19:00:00,10H30,Theft,other/unknown,1,19,26,Tuesday,Jan,2010,"(29.7496549, -95.3532726)","2350 McKinney St, Houston, TX 77003, USA"
2010-01-28 17:00:00,10H30,Theft,road/street/sidewalk,1,17,28,Thursday,Jan,2010,"(29.7530084, -95.3547236)","2050 Rusk St, Houston, TX 77003, USA"
2010-01-28 18:00:00,10H30,Burglary,residence/house,1,18,28,Thursday,Jan,2010,"(29.7417821, -95.3531809)","1750 Aden Dr, Houston, TX 77003, USA"
2010-01-29 23:00:00,10H30,Theft,road/street/sidewalk,1,23,29,Friday,Jan,2010,"(29.7499994, -95.3558456)","2150 Lamar St, Houston, TX 77003, USA"
2010-01-30 22:00:00,10H30,Robbery,road/street/sidewalk,1,22,30,Saturday,Jan,2010,"(29.7512776, -95.34951339999999)","650 Live Oak St, Houston, TX 77003, USA"
2010-01-31 02:00:00,10H30,Theft,bar/night club,1,2,31,Sunday,Jan,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
2010-01-31 23:00:00,10H30,Theft,"theatres,dinner theaters,auditor.",1,23,31,Sunday,Jan,2010,"(29.7550432, -95.3506148)","2250 Preston St, Houston, TX 77003, USA"
2010-02-01 09:00:00,10H30,Theft,driveway,1,9,1,Monday,Feb,2010,"(29.7469619, -95.3555075)","1350 Emancipation Ave, Houston, TX 77003, USA"
2010-02-02 23:00:00,10H30,Theft,road/street/sidewalk,1,23,2,Tuesday,Feb,2010,"(29.7517176, -95.3563681)","1950 McKinney St, Houston, TX 77003, USA"
2010-02-03 07:00:00,10H30,Burglary,residence/house,1,7,3,Wednesday,Feb,2010,"(29.7432383, -95.34704459999999)","1250 Roberts St, Houston, TX 77003, USA"
2010-02-03 09:00:00,10H30,Burglary,residence/house,1,9,3,Wednesday,Feb,2010,"(29.742749, -95.34642000000001)","1250 Sampson St, Houston, TX 77003, USA"
