Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-26,10H30,2300-2399,MCKINNEY,Theft,OTHER/UNKNOWN,1.0,19.0,26,Tuesday,Jan,2010
2010-01-26,10H30,3400-3499,DALLAS,Theft,CONSTRUCTION SITE,1.0,17.0,26,Tuesday,Jan,2010
2010-01-28,10H30,1700-1799,ADEN,Burglary,RESIDENCE/HOUSE,1.0,18.0,28,Thursday,Jan,2010
2010-01-28,10H30,2000-2099,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,17.0,28,Thursday,Jan,2010
2010-01-29,10H30,2100-2199,LAMAR,Theft,ROAD/STREET/SIDEWALK,1.0,23.0,29,Friday,Jan,2010
2010-01-30,10H30,600-699,LIVE OAK,Robbery,ROAD/STREET/SIDEWALK,1.0,22.0,30,Saturday,Jan,2010
2010-01-31,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB,1.0,2.0,31,Sunday,Jan,2010
2010-01-31,10H30,2200-2299,PRESTON,Theft,"THEATRES,DINNER THEATERS,AUDITOR.",1.0,23.0,31,Sunday,Jan,2010
2010-02-01,10H30,1300-1399,DOWLING,Theft,DRIVEWAY,1.0,9.0,1,Monday,Feb,2010
2010-02-02,10H30,1900-1999,MCKINNEY,Theft,ROAD/STREET/SIDEWALK,1.0,23.0,2,Tuesday,Feb,2010
2010-02-03,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB,1.0,17.0,3,Wednesday,Feb,2010
2010-02-03,10H30,400-499,DOWLING,Theft,COMMERCIAL BUILDING,1.0,18.0,3,Wednesday,Feb,2010
2010-02-03,10H30,1200-1299,SAMPSON,Burglary,RESIDENCE/HOUSE,1.0,9.0,3,Wednesday,Feb,2010
2010-02-03,10H30,1200-1299,ROBERTS,Burglary,RESIDENCE/HOUSE,1.0,7.0,3,Wednesday,Feb,2010
2010-02-04,10H30,2100-2199,TEXAS,Theft,OTHER PARKING LOT,1.0,19.0,4,Thursday,Feb,2010
2010-02-05,10H30,2200-2299,DALLAS,Theft,APARTMENT PARKING LOT,1.0,16.0,5,Friday,Feb,2010
2010-02-06,10H30,900-999,HUTCHINS,Robbery,DRIVEWAY,1.0,3.0,6,Saturday,Feb,2010
2010-02-06,10H30,2100-2199,BELL,Theft,ROAD/STREET/SIDEWALK,1.0,10.0,6,Saturday,Feb,2010
2010-02-06,10H30,2100-2199,LAMAR,Theft,ROAD/STREET/SIDEWALK,1.0,0.0,6,Saturday,Feb,2010
2010-02-06,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,18.0,6,Saturday,Feb,2010
2010-02-06,10H30,1000-1099,HUTCHINS,Auto Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,2.0,6,Saturday,Feb,2010
2010-02-07,10H30,3600-3699,POLK,Robbery,ROAD/STREET/SIDEWALK,1.0,22.0,7,Sunday,Feb,2010
2010-02-07,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,7,Sunday,Feb,2010
2010-02-07,10H30,400-499,DOWLING,Theft,SOCIAL SERVICES/PUBLIC CHARITIES,1.0,15.0,7,Sunday,Feb,2010
2010-02-08,10H30,1600-1699,LIVE OAK,Burglary,RESIDENCE/HOUSE,1.0,20.0,8,Monday,Feb,2010
2010-02-10,10H30,2100-2199,CAPITOL,Theft,ROAD/STREET/SIDEWALK,1.0,9.0,10,Wednesday,Feb,2010
2010-02-10,10H30,1200-1299,ROBERTS,Burglary,APARTMENT,1.0,18.0,10,Wednesday,Feb,2010
2010-02-10,10H30,2100-2199,TEXAS,Theft,GARAGE/CARPORT,1.0,22.0,10,Wednesday,Feb,2010
2010-02-11,10H30,1500-1599,PAIGE,Burglary,RESIDENCE/HOUSE,1.0,19.0,11,Thursday,Feb,2010
2010-02-12,10H30,1500-1599,HUTCHINS,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,13.0,12,Friday,Feb,2010
2010-02-12,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,4.0,12,Friday,Feb,2010
2010-02-12,10H30,2000-2099,BELL,Robbery,ROAD/STREET/SIDEWALK,1.0,22.0,12,Friday,Feb,2010
2010-02-12,10H30,2700-2799,BELL,Theft,RESIDENCE/HOUSE,1.0,2.0,12,Friday,Feb,2010
2010-02-12,10H30,1100-1199,CHARTRES,Theft,ROAD/STREET/SIDEWALK,1.0,23.0,12,Friday,Feb,2010
2010-02-14,10H30,2100-2199,CAPITOL,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,14,Sunday,Feb,2010
2010-02-14,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB,1.0,2.0,14,Sunday,Feb,2010
2010-02-14,10H30,2000-2099,LEELAND,Theft,BAR/NIGHT CLUB,1.0,1.0,14,Sunday,Feb,2010
2010-02-14,10H30,2200-2299,DALLAS,Theft,APARTMENT PARKING LOT,1.0,1.0,14,Sunday,Feb,2010
2010-02-16,10H30,1500-1599,PAIGE,Burglary,CONDOMINIUM,1.0,12.0,16,Tuesday,Feb,2010
2010-02-17,10H30,2900-2999,PEASE,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,17,Wednesday,Feb,2010
2010-02-18,10H30,2500-2599,MCKINNEY,Theft,BAR/NIGHT CLUB,1.0,22.0,18,Thursday,Feb,2010
2010-02-18,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,16.0,18,Thursday,Feb,2010
2010-02-19,10H30,3500-3599,GULF,Theft,SERVICE/GAS STATION,1.0,23.0,19,Friday,Feb,2010
2010-02-19,10H30,1500-1599,CHARTRES,Aggravated Assault,BAR/NIGHT CLUB,1.0,22.0,19,Friday,Feb,2010
2010-02-19,10H30,800-899,DELANO,Theft,OTHER PARKING LOT,1.0,12.0,19,Friday,Feb,2010
2010-02-20,10H30,1000-1099,ST EMANUEL,Theft,GROCERY/SUPERMARKET PARKING LOT,1.0,15.0,20,Saturday,Feb,2010
2010-02-20,10H30,2000-2099,COMMERCE,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,20,Saturday,Feb,2010
2010-02-21,10H30,2200-2299,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,22.0,21,Sunday,Feb,2010
2010-02-21,10H30,2100-2199,TEXAS,Theft,ROAD/STREET/SIDEWALK,1.0,19.0,21,Sunday,Feb,2010
2010-02-22,10H30,3100-3199,DALLAS,Burglary,RESIDENCE/HOUSE,1.0,20.0,22,Monday,Feb,2010
2010-02-23,10H30,3500-3599,POLK,Theft,OTHER PARKING LOT,1.0,17.0,23,Tuesday,Feb,2010
