G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sat, Apr 16, 2016",3:30p ET,,Box Score,@,Golden State Warriors,L,,78,104,0,1,L 1,
2,"Mon, Apr 18, 2016",10:30p ET,,Box Score,@,Golden State Warriors,L,,106,115,0,2,L 2,
3,"Thu, Apr 21, 2016",9:30p ET,,Box Score,,Golden State Warriors,W,,97,96,1,2,W 1,
4,"Sun, Apr 24, 2016",3:30p ET,,Box Score,,Golden State Warriors,L,,94,121,1,3,L 1,
5,"Wed, Apr 27, 2016",10:30p ET,,Box Score,@,Golden State Warriors,L,,81,114,1,4,L 2,
