G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Wed, Oct 26, 2016",10:30p ET,,Box Score,@,Los Angeles Lakers,L,,114,120,0,1,L 1,
2,"Fri, Oct 28, 2016",8:30p ET,,Box Score,@,Dallas Mavericks,W,,106,98,1,1,W 1,
3,"Sun, Oct 30, 2016",8:00p ET,,Box Score,,Dallas Mavericks,W,,93,92,2,1,W 2,
4,"Tue, Nov 1, 2016",6:00p ET,,Box Score,@,Cleveland Cavaliers,L,,120,128,2,2,L 1,
5,"Wed, Nov 2, 2016",7:30p ET,,Box Score,@,New York Knicks,W,,118,99,3,2,W 1,
6,"Sat, Nov 5, 2016",7:30p ET,,Box Score,@,Atlanta Hawks,L,,97,112,3,3,L 1,
7,"Mon, Nov 7, 2016",7:00p ET,,Box Score,@,Washington Wizards,W,,114,106,4,3,W 1,
8,"Wed, Nov 9, 2016",9:30p ET,,Box Score,@,San Antonio Spurs,W,,101,99,5,3,W 2,
9,"Sat, Nov 12, 2016",8:00p ET,,Box Score,,San Antonio Spurs,L,,100,106,5,4,L 1,
10,"Mon, Nov 14, 2016",8:00p ET,,Box Score,,Philadelphia 76ers,W,,115,88,6,4,W 1,
11,"Wed, Nov 16, 2016",8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,103,105,6,5,L 1,
12,"Thu, Nov 17, 2016",8:00p ET,,Box Score,,Portland Trail Blazers,W,,126,109,7,5,W 1,
13,"Sat, Nov 19, 2016",5:00p ET,,Box Score,,Utah Jazz,W,,111,102,8,5,W 2,
14,"Mon, Nov 21, 2016",7:30p ET,,Box Score,@,Detroit Pistons,W,,99,96,9,5,W 3,
15,"Wed, Nov 23, 2016",8:00p ET,,Box Score,,Toronto Raptors,L,,102,115,9,6,L 1,
16,"Fri, Nov 25, 2016",10:30p ET,,Box Score,@,Sacramento Kings,W,,117,104,10,6,W 1,
17,"Sun, Nov 27, 2016",9:00p ET,,Box Score,@,Portland Trail Blazers,W,,130,114,11,6,W 2,
18,"Tue, Nov 29, 2016",9:00p ET,,Box Score,@,Utah Jazz,L,,101,120,11,7,L 1,
19,"Thu, Dec 1, 2016",10:30p ET,,Box Score,@,Golden State Warriors,W,2OT,132,127,12,7,W 1,
20,"Fri, Dec 2, 2016",10:30p ET,,Box Score,@,Denver Nuggets,W,,128,110,13,7,W 2,
21,"Mon, Dec 5, 2016",8:00p ET,,Box Score,,Boston Celtics,W,,107,106,14,7,W 3,
22,"Wed, Dec 7, 2016",8:00p ET,,Box Score,,Los Angeles Lakers,W,,134,95,15,7,W 4,
23,"Fri, Dec 9, 2016",8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,102,99,16,7,W 5,
24,"Sat, Dec 10, 2016",8:00p ET,,Box Score,,Dallas Mavericks,W,,109,87,17,7,W 6,
25,"Mon, Dec 12, 2016",8:00p ET,,Box Score,,Brooklyn Nets,W,,122,118,18,7,W 7,
26,"Wed, Dec 14, 2016",8:00p ET,,Box Score,,Sacramento Kings,W,,132,98,19,7,W 8,
27,"Fri, Dec 16, 2016",8:00p ET,,Box Score,,New Orleans Pelicans,W,,122,100,20,7,W 9,
28,"Sat, Dec 17, 2016",8:00p ET,,Box Score,@,Minnesota Timberwolves,W,OT,111,109,21,7,W 10,
