G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sun, Apr 21, 2013",9:30p ET,,Box Score,@,Oklahoma City Thunder,L,,91,120,0,1,L 1,
2,"Wed, Apr 24, 2013",7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,102,105,0,2,L 2,
3,"Sat, Apr 27, 2013",9:30p ET,,Box Score,,Oklahoma City Thunder,L,,101,104,0,3,L 3,
4,"Mon, Apr 29, 2013",9:30p ET,,Box Score,,Oklahoma City Thunder,W,,105,103,1,3,W 1,
5,"Wed, May 1, 2013",9:30p ET,,Box Score,@,Oklahoma City Thunder,W,,107,100,2,3,W 2,
6,"Fri, May 3, 2013",9:30p ET,,Box Score,,Oklahoma City Thunder,L,,94,103,2,4,L 1,
