G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sat, Apr 19, 2008",8:30p ET,,Box Score,,Utah Jazz,L,,82,93,0,1,L 1,
2,"Mon, Apr 21, 2008",8:30p ET,,Box Score,,Utah Jazz,L,,84,90,0,2,L 2,
3,"Thu, Apr 24, 2008",8:30p ET,,Box Score,@,Utah Jazz,W,,94,92,1,2,W 1,
4,"Sat, Apr 26, 2008",8:30p ET,,Box Score,@,Utah Jazz,L,,82,86,1,3,L 1,
5,"Tue, Apr 29, 2008",8:30p ET,,Box Score,,Utah Jazz,W,,95,69,2,3,W 1,
6,"Fri, May 2, 2008",8:30p ET,,Box Score,@,Utah Jazz,L,,91,113,2,4,L 1,
