,attendance,away.alias,away.game_number,away.id,away.name,broadcast.internet,broadcast.network,broadcast.satellite,entry_mode,home.alias,home.game_number,home.id,home.name,id,number,reference,scheduled,scoring.away_points,scoring.home_points,scoring.periods,status,utc_offset,venue.address,venue.capacity,venue.city,venue.country,venue.id,venue.name,venue.roof_type,venue.state,venue.surface,venue.zip,weather
0,71921,BAL,4.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,,,,INGEST,NYG,3.0,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,14d6fc3f-a8a3-4f53-b633-6d93cf6c4dd3,,,2001-01-28T23:26:02+00:00,34,7,"[{'period_type': 'quarter', 'id': '65a47349-23e8-4a39-b741-1498ab050c95', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '06f6e154-97ff-4ea2-b08d-6741299a96fc', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': 'ea3302f0-e6bc-4801-b98b-b35859eb9492', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 14}, {'period_type': 'quarter', 'id': 'f60a8fbf-6669-4bde-8f22-e002b4a2fc4a', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 10}]",closed,-5,4201 North Dale Mabry Highway,65890,Tampa,USA,6fccc39c-80bc-4c81-83d9-2d5a848c8c09,Raymond James Stadium,outdoor,FL,turf,33607,"Partly cloudy, mild Temp: 65 F, Wind: West 8 mph mph"
0,61503,NYJ,1.0,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,New York Jets,,,,INGEST,OAK,1.0,1c1cec48-6352-4556-b789-35304c1a6ae1,Oakland Raiders,107f843e-3d9f-4886-98bd-a8a05bf63c69,,,2002-01-13T02:06:00+00:00,24,38,"[{'period_type': 'quarter', 'id': '9cc94b5b-c527-4aeb-87ad-d839e2f2a7c2', 'number': 1, 'sequence': 1, 'home_points': 6, 'away_points': 0}, {'period_type': 'quarter', 'id': 'f1de20a0-812d-472f-a237-e199bcb439b7', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 3}, {'period_type': 'quarter', 'id': 'c79b477e-5902-4eef-9b2d-042e42bad2cf', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'c40abf45-65cc-4f9f-9f8a-c6274a55055a', 'number': 4, 'sequence': 4, 'home_points': 22, 'away_points': 14}]",closed,-8,7000 Coliseum Way,53200,Oakland,USA,ba1ad00f-9130-462c-93f9-5612a0015117,Oakland Alameda Coliseum,outdoor,CA,turf,94621,"Clear Skies Temp: 53 F, Humidity: 60%, Wind: NW 8 mph"
1,72251,BAL,1.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,,,,INGEST,MIA,1.0,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami Dolphins,99b48aa2-fffc-4a69-a1f0-bb26c589a2bc,,,2002-01-13T21:05:35+00:00,20,3,"[{'period_type': 'quarter', 'id': '55ae0b46-fa84-49f1-92f8-b848e14ddd66', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '2da78bc0-34c1-4bc9-a7cf-f36bafba478b', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'dfa5f4ac-d4e1-4661-8fe0-058604ae289a', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '2935a891-a1f2-45a4-953c-f7ec94a8eb75', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 6}]",closed,-5,2269 Northwest 199th Street,76100,Miami Gardens,USA,50a5c833-1570-4c38-abc7-7914cf87dbde,Hard Rock Stadium,outdoor,FL,turf,33056,
2,59825,SF,1.0,f0e724b0-4cbf-495a-be47-013907608da9,San Francisco 49ers,,,,INGEST,GB,1.0,a20471b4-a8d9-40c7-95ad-90cc30e46932,Green Bay Packers,a358fa2b-f65c-4fb2-a827-5b7d97a9016b,,,2002-01-13T17:35:59+00:00,15,25,"[{'period_type': 'quarter', 'id': 'a640e7d9-7c9f-46a2-84f1-c333ba440141', 'number': 1, 'sequence': 1, 'home_points': 6, 'away_points': 0}, {'period_type': 'quarter', 'id': 'ee0696da-b27d-4c74-9fbe-579d050102c3', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '424704fd-8da5-4b46-b361-83aa0aabe4c9', 'number': 3, 'sequence': 3, 'home_points': 9, 'away_points': 0}, {'period_type': 'quarter', 'id': '88f54caa-93c9-499c-8d95-727b65734e2e', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 8}]",closed,-6,1265 Lombardi Avenue,80750,Green Bay,USA,5a60dd3a-302c-41c6-ab0f-dd335c1103c2,Lambeau Field,outdoor,WI,turf,54304,
3,65847,TB,1.0,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay Buccaneers,,,,INGEST,PHI,1.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,f2eef567-aa1c-414e-baf3-2ac55bfa839f,,,2002-01-12T21:38:33+00:00,9,31,"[{'period_type': 'quarter', 'id': 'a43ab262-9f40-446f-a1a2-73f8d59ba7b7', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '54355a18-de73-460c-8b99-da2d631e67dc', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 6}, {'period_type': 'quarter', 'id': '34aff8e6-2dbe-4f20-aab1-232df2a046fe', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '44b50e13-d511-4ee7-8289-98e56b45137f', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,3501 South Broad Street,65352,Philadelphia,,905f3091-107b-4e7d-af70-2e3822c09aee,Veterans Stadium,outdoor,PA,artificial,19148,"Clear Temp: 46 F, Humidity: 55%, Wind: SSW 10 mph"
0,66338,GB,2.0,a20471b4-a8d9-40c7-95ad-90cc30e46932,Green Bay Packers,,,,INGEST,STL,1.0,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis Rams,39b97987-691f-4ff7-ab27-d8de677fbacf,,,2002-01-20T21:16:37+00:00,17,45,"[{'period_type': 'quarter', 'id': 'a5792132-6098-4768-81f9-0c607c0f117e', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'c68079fe-2bd8-49c0-a282-24244e2b7847', 'number': 2, 'sequence': 2, 'home_points': 17, 'away_points': 3}, {'period_type': 'quarter', 'id': 'a737afb2-a985-45e9-bc68-d94a1be157fa', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 0}, {'period_type': 'quarter', 'id': '107f0a13-79c9-4cba-90b1-7141ba71c48d', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 7}]",closed,-6,701 Convention Plaza,66000,St. Louis,USA,e86a743f-ee77-490f-acfb-3187b7a9633e,Edward Jones Dome,dome,MO,artificial,63101,"Temp:  F, Wind:   mph"
1,63976,BAL,2.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,,,,INGEST,PIT,1.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,3f7d2fde-7776-4984-b984-b16d93066dc9,,,2002-01-20T17:42:12+00:00,10,27,"[{'period_type': 'quarter', 'id': '6c69c6fd-c892-46a6-a905-26f745193c50', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c1e5b9ef-3c42-48c1-9e17-47d82ce10a8c', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 3}, {'period_type': 'quarter', 'id': 'f66eaeb2-115c-4635-9944-f8e851634159', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '4f054114-1b19-465d-9787-24d6c3b99253', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,100 Art Rooney Avenue,65050,Pittsburgh,USA,7349a2e6-0ac9-410b-8bd2-ca58c9f7aa34,Heinz Field,outdoor,PA,turf,15212,"Mostly Cloudy Temp: 21 F, Humidity: 70%, Wind: SW 10 mph"
2,60292,OAK,2.0,1c1cec48-6352-4556-b789-35304c1a6ae1,Oakland Raiders,,,,INGEST,NE,1.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,95f01bb5-92b1-462a-9351-71b5483ff164,,,2002-01-20T01:05:38+00:00,13,16,"[{'period_type': 'quarter', 'id': '09cd239c-ca2a-4bee-8419-48ff32f8c9bf', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '2cd8d985-9765-41a4-b055-a8a4e0167d73', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '56c48246-ffad-4e50-8391-ae260611b1a4', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 6}, {'period_type': 'quarter', 'id': '18327f59-9926-4248-929a-7220bbfe8bc7', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 0}, {'period_type': 'overtime', 'id': '4025b7ab-47ca-45e8-a8bf-815be84261c1', 'number': 1, 'sequence': 5, 'home_points': 3, 'away_points': 0}]",closed,-5,Washington Street,60292,Foxborough,,67412aec-5fa4-4cef-ac07-323b90d9d388,Foxboro Stadium,outdoor,MA,turf,02035,"Snow throughout game, 3-5 inches expected Temp: 25 F, Humidity: 100%, Wind: NE 3 mph"
3,66944,PHI,2.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,,,,INGEST,CHI,1.0,7b112545-38e6-483c-a55c-96cf6ee49cb8,Chicago Bears,f748955b-fe3e-4a60-8e83-2d0021503925,,,2002-01-19T21:36:45+00:00,33,19,"[{'period_type': 'quarter', 'id': '01a62b68-b9e9-4d96-9af3-1d3602f84d5b', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 6}, {'period_type': 'quarter', 'id': 'ee50817b-20d7-45a8-8bdf-de94440e6c79', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '08f24ee5-bebe-4975-8dfe-1713bde032cc', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '044d3392-9f5b-402f-b823-bb226d24d7c7', 'number': 4, 'sequence': 4, 'home_points': 5, 'away_points': 13}]",closed,-6,1410 South Museum Campus Drive,61500,Chicago,USA,d7866605-5ac6-4b3a-90e8-760cc5a26b75,Soldier Field,outdoor,IL,turf,60605,"Partly cloudy, chance of flurries Temp: 31 F, Humidity: 55%, Wind: W 8 mph"
0,64704,NE,2.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,,,,INGEST,PIT,2.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,3263a18e-be01-488b-b324-541f32f52a30,,,2002-01-27T17:42:54+00:00,24,17,"[{'period_type': 'quarter', 'id': 'c1855860-a0a4-4d87-a81e-c3dc3fd160e2', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '82791f68-2de9-42b5-bd90-38ce78f61dfd', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'cdd0f408-1cd3-49ff-bd00-0ee34da5edcb', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': 'b8c8977c-794e-44fc-a489-f58b3f79f5d7', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 3}]",closed,-5,100 Art Rooney Avenue,65050,Pittsburgh,USA,7349a2e6-0ac9-410b-8bd2-ca58c9f7aa34,Heinz Field,outdoor,PA,turf,15212,"Partly Sunny Temp: 50 F, Humidity: 50%, Wind: SW 16 mph"
