,attendance,away.alias,away.game_number,away.id,away.name,broadcast.internet,broadcast.network,broadcast.satellite,entry_mode,home.alias,home.game_number,home.id,home.name,id,number,reference,scheduled,scoring.away_points,scoring.home_points,scoring.periods,status,utc_offset,venue.address,venue.capacity,venue.city,venue.country,venue.id,venue.name,venue.roof_type,venue.state,venue.surface,venue.zip,weather
1,68756,IND,2.0,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Indianapolis Colts,,,,INGEST,NE,1.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,79f1efde-45cd-45d4-9ba5-748fe6ffd96c,,,2005-01-16T21:46:32+00:00,3,20,"[{'period_type': 'quarter', 'id': 'afc17559-c48e-4351-a9b2-2af346cf9a42', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '22f2da3d-3a6d-40db-9ddf-bdcaf4181a44', 'number': 2, 'sequence': 2, 'home_points': 6, 'away_points': 3}, {'period_type': 'quarter', 'id': '2d09f804-5426-484c-9a08-a098b23157ab', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '40985504-515c-4300-9ef3-3c742db8cbc2', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,One Patriot Place,68756,Foxborough,USA,e43310b1-cb82-4df9-8be5-e9b39637031b,Gillette Stadium,outdoor,MA,artificial,02035,"Cloudy, cold, snow Temp: 25 F, Humidity: 77%, Wind: NNW 7 mph"
2,67722,MIN,2.0,33405046-04ee-4058-a950-d606f8c30852,Minnesota Vikings,,,,INGEST,PHI,1.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,99cdf836-ac10-496c-b801-776945c2fb0b,,,2005-01-16T18:05:52+00:00,14,27,"[{'period_type': 'quarter', 'id': 'ca4867ba-ec6f-45f4-b9de-597ed1d6da18', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'cf24ca02-1a9e-4ee2-9aa6-c6725e199a07', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': '7e106e57-d4f2-48ef-b320-de6c9fc4d753', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '94c7eb0b-67a8-4592-8f90-503ce2f065bc', 'number': 4, 'sequence': 4, 'home_points': 6, 'away_points': 7}]",closed,-5,1020 Pattison Avenue,68532,Philadelphia,USA,4fa8c29c-6626-464c-8540-314ed7535e1b,Lincoln Financial Field,outdoor,PA,turf,19148,"Cloudy Temp: 31 F, Humidity: 44%, Wind: NE 16 mph"
3,70709,STL,2.0,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis Rams,,,,INGEST,ATL,1.0,e6aa13a4-0055-48a9-bc41-be28dc106929,Atlanta Falcons,d8fdb228-4101-46b3-bee0-03941d4b9dfd,,,2005-01-16T01:23:45+00:00,17,47,"[{'period_type': 'quarter', 'id': '664eeb54-e3e4-415e-bc4c-c6248301a548', 'number': 1, 'sequence': 1, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': 'f42c959d-0746-4933-b7d7-02bc51fa989c', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 10}, {'period_type': 'quarter', 'id': 'c8e4a87e-b48d-4c53-a7d5-4e106cc487a8', 'number': 3, 'sequence': 3, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '0c4f6340-18ef-475e-a383-9d6310e683ce', 'number': 4, 'sequence': 4, 'home_points': 9, 'away_points': 0}]",closed,-5,One Georgia Dome Drive Northwest,74228,Atlanta,USA,216de6bf-bce0-409a-a9e7-90db8df1f7b9,Georgia Dome,dome,GA,artificial,30313,"Indoor Temp:  F, Wind:   mph"
0,67717,ATL,2.0,e6aa13a4-0055-48a9-bc41-be28dc106929,Atlanta Falcons,,,,INGEST,PHI,2.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,203867f1-6227-40c2-b455-2f7800dae46b,,,2005-01-23T20:08:29+00:00,10,27,"[{'period_type': 'quarter', 'id': '4f40e987-09df-4164-9415-bd45f14d39d5', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'faefecfa-859b-4f96-8171-2a71dde4ac7d', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': '44b101fa-5067-4f4f-95b9-5248e1a0ac93', 'number': 3, 'sequence': 3, 'home_points': 6, 'away_points': 0}, {'period_type': 'quarter', 'id': '8b6e5c21-e733-469f-ac77-36e008a2a616', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,1020 Pattison Avenue,68532,Philadelphia,USA,4fa8c29c-6626-464c-8540-314ed7535e1b,Lincoln Financial Field,outdoor,PA,turf,19148,
1,65242,NE,2.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,,,,INGEST,PIT,2.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,6b462a5e-01ff-4c82-b821-241596cc4361,,,2005-01-23T23:37:57+00:00,41,27,"[{'period_type': 'quarter', 'id': 'c5e8ea06-d533-45ee-b416-0960a33b6526', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 10}, {'period_type': 'quarter', 'id': '4f9c5f72-fcca-44e3-8536-9ccbc121fdef', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': '6882e857-6276-43ce-8c1b-e5a0d67a5b1e', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': 'cf35d7a5-55d8-4393-bea7-e0523de3e935', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 10}]",closed,-5,100 Art Rooney Avenue,65050,Pittsburgh,USA,7349a2e6-0ac9-410b-8bd2-ca58c9f7aa34,Heinz Field,outdoor,PA,turf,15212,"Fair Temp: 11 F, Humidity: 49%, Wind: NW 9 mph"
0,78125,NE,3.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,,,,INGEST,PHI,3.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,8da5083d-2bfc-45ea-882c-d9d6a5e5affd,,,2005-02-06T23:38:39+00:00,24,21,"[{'period_type': 'quarter', 'id': '31b5fb33-9aa7-43a3-b013-bb71a73581eb', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '51cfeaca-9edb-4a07-8557-6faa00df1b87', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'cf6f77ec-620d-4d5d-a727-eaa0fe77dd6a', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'c97861e4-e330-4c11-a7fd-7ece57ff4781', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 10}]",closed,-5,One EverBank Field Drive,67246,Jacksonville,USA,4c5c036d-dd3d-4183-b595-71a43a97560f,EverBank Field,outdoor,FL,turf,32202,"Clear Temp: 59 F, Humidity: 75%, Wind: North 12 mph"
0,79378,CAR,1.0,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,,,,INGEST,NYG,1.0,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,48b05760-adcb-4f26-8698-69c3f0b8f8ec,,,2006-01-08T18:05:03+00:00,23,0,"[{'period_type': 'quarter', 'id': 'ed0314ad-d46b-4cab-83f7-176e4d8c06d8', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '034324cd-32be-4bc9-acb2-70a9fe9a28f0', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': 'eb868890-9dd9-4a56-b8ef-45c9cde65c65', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'bfea2dff-86cd-427c-8c6f-5a51532ff124', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 6}]",closed,0,50 Route 120,80242,East Rutherford,,41397549-49d0-4e0f-aad3-6c82cf0214a7,Giants Stadium,outdoor,NJ,artificial,07073,
1,65870,PIT,1.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,,,,INGEST,CIN,1.0,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Cincinnati Bengals,77a9cbf3-d406-4fc9-9e55-b6d6f8817e16,,,2006-01-08T21:36:40+00:00,31,17,"[{'period_type': 'quarter', 'id': 'f413765f-18a1-478b-95d6-ec5d744e96f1', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '1ec0a01b-eb84-44d7-af96-c95947566d60', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 14}, {'period_type': 'quarter', 'id': '9f864264-fe83-4b16-a035-c15baa030c62', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': 'c781e1a9-9b29-4a27-a09e-4fc1b223a29a', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 3}]",closed,0,One Paul Brown Stadium,65535,Cincinnati,USA,b87a1595-d3c8-48ea-8a53-0aab6378a64a,Paul Brown Stadium,outdoor,OH,artificial,45202,
2,65514,WAS,1.0,22052ff7-c065-42ee-bc8f-c4691c50e624,Washington Redskins,,,,INGEST,TB,1.0,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay Buccaneers,c753da64-9ee4-45f6-bd00-c983fc1f7eaf,,,2006-01-07T21:34:58+00:00,17,10,"[{'period_type': 'quarter', 'id': '3b6cbbc9-c5ad-4c26-89d9-c97d4c57dbee', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': 'c4f5c602-c6e4-4639-a9a5-64e44dc87597', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': 'd76c996a-4c22-4db7-8a1d-4f1809456635', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '93ef22ba-e26f-4477-854f-049d85cb95fb', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 0}]",closed,0,4201 North Dale Mabry Highway,65890,Tampa,USA,6fccc39c-80bc-4c81-83d9-2d5a848c8c09,Raymond James Stadium,outdoor,FL,turf,33607,
3,68756,JAC,1.0,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jacksonville Jaguars,,,,INGEST,NE,1.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,cb03e8a6-d127-4b4a-8bbc-0f4164fe2fbf,,,2006-01-08T01:08:16+00:00,3,28,"[{'period_type': 'quarter', 'id': '55495392-abe4-495a-a707-9a02890486e0', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '8c8dec9e-7752-4a98-98a8-9b59e6f13d2a', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': 'dd410bfc-af1d-4a6e-be3b-e9ed52a222b3', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 0}, {'period_type': 'quarter', 'id': 'd996690b-7899-4fed-86a6-cd3bd39a3f61', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,0,One Patriot Place,68756,Foxborough,USA,e43310b1-cb82-4df9-8be5-e9b39637031b,Gillette Stadium,outdoor,MA,artificial,02035,
0,57449,PIT,2.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,,,,INGEST,IND,1.0,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Indianapolis Colts,3b2fdf81-e2ac-4b41-ae38-4b48a8b3cb17,,,2006-01-15T18:06:36+00:00,21,18,"[{'period_type': 'quarter', 'id': 'a3cf9798-a0ab-4f94-81ca-d45ea0a021ae', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': 'e3cf2291-6742-47b2-bdb7-a510b7c02a00', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '4b3f9c9a-f21f-4737-873d-bdcfabeb84c2', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '9436d8b4-ce55-4c75-aa31-14c3026d905b', 'number': 4, 'sequence': 4, 'home_points': 15, 'away_points': 0}]",closed,-5,100 South Capitol Avenue,55531,Indianapolis,,8cb20830-5bb3-4bf2-aacb-492a0d90df10,RCA Dome,dome,IN,artificial,46225,
1,76238,NE,2.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,,,,INGEST,DEN,1.0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Denver Broncos,6a5dde81-70dc-48f6-b51b-a463ac44f191,,,2006-01-15T01:16:34+00:00,13,27,"[{'period_type': 'quarter', 'id': '70c013c4-b927-440f-ae0d-64981593dc67', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '2af3f5d5-403a-4280-9864-14b4d126540e', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 3}, {'period_type': 'quarter', 'id': '97a394b3-3284-4ac2-a3f2-2dbed4f41bf7', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': '77cba2e5-7f5d-49c3-8b44-4a9d9eb44261', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 7}]",closed,-7,1701 Mile High Stadium Circle,76125,Denver,USA,6589e61d-ef1e-4e30-91b5-9acd2072b8a0,Sports Authority Field at Mile High,outdoor,CO,turf,80204,
2,67551,WAS,2.0,22052ff7-c065-42ee-bc8f-c4691c50e624,Washington Redskins,,,,INGEST,SEA,1.0,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,85869c59-3eb9-4aa7-b144-d448b600c72a,,,2006-01-14T21:35:22+00:00,10,20,"[{'period_type': 'quarter', 'id': '1a136898-c5b1-47d2-98ee-46a791933d82', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '98160bd7-bcb1-43d0-a3d0-36f533391419', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': '9d057eed-77c9-494b-a042-4d030b1b1552', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'ba040ea8-73da-4968-87c5-a97fdc99459e', 'number': 4, 'sequence': 4, 'home_points': 6, 'away_points': 7}]",closed,-8,800 Occidental Avenue South,67000,Seattle,USA,c6b9e5df-c9e4-434c-b3e6-83928f11cbda,CenturyLink Field,outdoor,WA,artificial,98134,
3,62209,CAR,2.0,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,,,,INGEST,CHI,1.0,7b112545-38e6-483c-a55c-96cf6ee49cb8,Chicago Bears,89bcbddb-4649-47c5-8c4f-0b07dbf41917,,,2006-01-15T21:41:40+00:00,29,21,"[{'period_type': 'quarter', 'id': '177cfd1e-36f2-47f0-a9f2-05241dddda1e', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'ec6a6c2f-8518-4ed7-b0df-6b2f4e8997a7', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 9}, {'period_type': 'quarter', 'id': '1c8a9736-a5b3-4537-ba0c-b0408053b6a2', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '8ba98127-177f-479a-94ab-7b289766afe3', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 6}]",closed,-6,1410 South Museum Campus Drive,61500,Chicago,USA,d7866605-5ac6-4b3a-90e8-760cc5a26b75,Soldier Field,outdoor,IL,turf,60605,
0,67837,CAR,3.0,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,,,,INGEST,SEA,2.0,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,1ed65934-94ef-4a48-a9c8-5c3ac3c5e851,,,2006-01-22T23:47:03+00:00,14,34,"[{'period_type': 'quarter', 'id': 'd5bf4e69-81e0-43d8-a78c-24166c66a0f5', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': 'f702dd3d-6198-4ccf-9c69-3c100850f6eb', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 7}, {'period_type': 'quarter', 'id': '86f16f4c-5641-4407-b81f-d3aed3a4925a', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '412b9022-e487-44ee-9a72-52387da7656b', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 7}]",closed,-8,800 Occidental Avenue South,67000,Seattle,USA,c6b9e5df-c9e4-434c-b3e6-83928f11cbda,CenturyLink Field,outdoor,WA,artificial,98134,
1,76775,PIT,3.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,,,,INGEST,DEN,2.0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Denver Broncos,ddf70c39-b7b1-467a-94f0-cd73a5b9e242,,,2006-01-22T20:08:15+00:00,34,17,"[{'period_type': 'quarter', 'id': 'e175e2e4-eb25-4998-8916-02192850d7b2', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '168ede63-efdd-40f6-9bf3-bb47843a8361', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 21}, {'period_type': 'quarter', 'id': '5674ba60-1ddb-4081-b4e3-8d19e309acdf', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '6671f77d-9b47-4fef-b1c8-fe0aed228718', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 10}]",closed,-7,1701 Mile High Stadium Circle,76125,Denver,USA,6589e61d-ef1e-4e30-91b5-9acd2072b8a0,Sports Authority Field at Mile High,outdoor,CO,turf,80204,
0,68206,SEA,3.0,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,,,,INGEST,PIT,4.0,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,1d83b7e4-f5ac-4a47-a572-b0644adb7392,,,2006-02-05T23:27:23+00:00,10,21,"[{'period_type': 'quarter', 'id': 'd3148f40-93dd-46c4-9480-6b73d095c56c', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '325bed1c-45c4-42c5-89eb-b89e31edf8f9', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c087915d-20f3-4c2f-9dc6-20439f4cbfe5', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'ae77b97e-4850-4086-aac4-c6676f5916e4', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,2000 Brush Street,65000,Detroit,USA,6e3bcf22-277d-4c06-b019-62aded51654f,Ford Field,dome,MI,artificial,48226,
0,68058,DAL,1.0,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dallas Cowboys,,,,INGEST,SEA,1.0,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,8529a16f-4079-4f16-b30c-00a13e0ec44a,,,2007-01-07T01:08:37+00:00,20,21,"[{'period_type': 'quarter', 'id': '109bb2b8-bc90-4b54-ac41-f2ca445dca9d', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '613c7914-09fb-43cf-aacf-4e1519e92d31', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'af02e44c-11e0-4c52-9fac-d9e0e3c0f853', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'c38f7480-3744-482f-bf76-04cee20dd6b0', 'number': 4, 'sequence': 4, 'home_points': 8, 'away_points': 3}]",closed,-8,800 Occidental Avenue South,67000,Seattle,USA,c6b9e5df-c9e4-434c-b3e6-83928f11cbda,CenturyLink Field,outdoor,WA,artificial,98134,
1,68756,NYJ,1.0,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,New York Jets,,,,INGEST,NE,1.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,9f2ef8e6-c49a-4037-b691-0d4e98e249da,,,2007-01-07T18:06:11+00:00,16,37,"[{'period_type': 'quarter', 'id': '79a89e01-71e9-498e-88c2-622f22ef63e9', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': '6e069cb0-0d22-4103-b4cf-52e187426e21', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 7}, {'period_type': 'quarter', 'id': '3d46b4af-facd-4824-9fbd-4c9524376960', 'number': 3, 'sequence': 3, 'home_points': 6, 'away_points': 3}, {'period_type': 'quarter', 'id': 'cf270dde-f552-4c28-ab12-fa6c95d7816f', 'number': 4, 'sequence': 4, 'home_points': 14, 'away_points': 3}]",closed,-5,One Patriot Place,68756,Foxborough,USA,e43310b1-cb82-4df9-8be5-e9b39637031b,Gillette Stadium,outdoor,MA,artificial,02035,
2,57215,KC,1.0,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Kansas City Chiefs,,,,INGEST,IND,1.0,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Indianapolis Colts,cd0efb94-5ff1-40b2-87f5-88c2a9c95481,,,2007-01-06T21:35:51+00:00,8,23,"[{'period_type': 'quarter', 'id': '6233b29d-2af0-47d0-8de6-b4dc4bd53dd2', 'number': 1, 'sequence': 1, 'home_points': 6, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c7c40f3f-0a96-440d-a002-b6ec0eb07a1b', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '371ba31e-f8f9-4584-9cf7-2312df11f4cf', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 8}, {'period_type': 'quarter', 'id': 'e9e6fa74-9d7c-4c1e-a900-ad546059076f', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,100 South Capitol Avenue,55531,Indianapolis,,8cb20830-5bb3-4bf2-aacb-492a0d90df10,RCA Dome,dome,IN,artificial,46225,
3,69094,NYG,1.0,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,,,,INGEST,PHI,1.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,f8fc55ef-88fa-4c8a-b131-7ac72d52cbcc,,,2007-01-07T21:41:25+00:00,20,23,"[{'period_type': 'quarter', 'id': '45cafd19-72f2-4eaa-98eb-4f0b78405778', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'aea1a900-144d-4241-8fba-a57b6a9136eb', 'number': 2, 'sequence': 2, 'home_points': 17, 'away_points': 3}, {'period_type': 'quarter', 'id': 'aa930730-89f7-414c-9d3c-2109112b7c62', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '916a17db-48e7-4912-9ebf-e19033e13251', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 10}]",closed,-5,1020 Pattison Avenue,68532,Philadelphia,USA,4fa8c29c-6626-464c-8540-314ed7535e1b,Lincoln Financial Field,outdoor,PA,turf,19148,
0,70001,PHI,2.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,,,,INGEST,NO,1.0,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans Saints,0fbda27f-8443-4d03-a622-25f4eda58f10,,,2007-01-14T01:11:03+00:00,24,27,"[{'period_type': 'quarter', 'id': 'fa2aea8a-65fc-4dfb-aabb-57f584f685f3', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '38eaaecf-a0d0-4971-ab38-d93feb13e6cb', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 14}, {'period_type': 'quarter', 'id': 'ae515d6f-96e7-4851-a182-3fb11eaad5ae', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': 'bac9ef50-ec82-499b-966f-b32ea396b312', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 3}]",closed,-6,1500 Sugar Bowl Drive,76468,New Orleans,USA,3c85d89a-ec66-4983-acd5-1381d6c8673a,Mercedes-Benz Superdome,dome,LA,artificial,70112,
1,68810,NE,2.0,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,,,,INGEST,SD,1.0,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego Chargers,e917774a-5fec-40cf-929d-7416c591da1d,,,2007-01-14T21:46:31+00:00,24,21,"[{'period_type': 'quarter', 'id': 'b301ba5c-ef59-46f4-8b16-13482e82700b', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': 'b57c86df-6095-4ff7-80d1-78d235e50000', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': '9ace7450-dbec-4d5a-b786-b1ecacf331d4', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': 'a7eed0d7-3d03-4d8a-a0f5-d32407890c26', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 11}]",closed,-8,9449 Friars Road,70561,San Diego,USA,7ca47702-8951-45be-a4f5-3e7d78f8f399,Qualcomm Stadium,outdoor,CA,turf,92108,
2,62184,SEA,2.0,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,,,,INGEST,CHI,1.0,7b112545-38e6-483c-a55c-96cf6ee49cb8,Chicago Bears,f7ba4157-94cb-4b21-a5db-68410a9e3b2f,,,2007-01-14T18:06:16+00:00,24,27,"[{'period_type': 'quarter', 'id': 'e2642a6a-e694-44d2-b115-bf8a7ddbaf34', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'cb5c4bd7-0971-4bc5-896e-b41b72f40b1e', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 14}, {'period_type': 'quarter', 'id': '2b061ab0-e613-445a-8672-4d69d21e720c', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': '445b86d3-f8d7-4bbf-8014-a68825855fbc', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 0}, {'period_type': 'overtime', 'id': 'cecc969b-c74d-4ed2-8160-71d280efcd6b', 'number': 1, 'sequence': 5, 'home_points': 3, 'away_points': 0}]",closed,-6,1410 South Museum Campus Drive,61500,Chicago,USA,d7866605-5ac6-4b3a-90e8-760cc5a26b75,Soldier Field,outdoor,IL,turf,60605,
