Date,Season,home,hgoal,visitor,vgoal,winner
1996-04-06,1996,San Jose Earthquakes,1,DC United,0,San Jose Earthquakes
1996-04-13,1996,LA Galaxy,2,New York Red Bulls,1,LA Galaxy
1996-04-13,1996,Tampa Bay Mutiny,3,New England Revolution,2,Tampa Bay Mutiny
1996-04-13,1996,Columbus Crew,4,DC United,0,Columbus Crew
1996-04-13,1996,Sporting Kansas City,3,Colorado Rapids,0,Sporting Kansas City
1996-04-14,1996,FC Dallas,1,San Jose Earthquakes,0,FC Dallas
1996-04-18,1996,FC Dallas,3,Sporting Kansas City,0,FC Dallas
1996-04-20,1996,DC United,1,LA Galaxy,2,LA Galaxy
1996-04-20,1996,Columbus Crew,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-04-20,1996,New York Red Bulls,0,New England Revolution,1,New England Revolution
1996-04-21,1996,Colorado Rapids,3,FC Dallas,1,Colorado Rapids
1996-04-21,1996,San Jose Earthquakes,2,Sporting Kansas City,3,Sporting Kansas City
1996-04-27,1996,New York Red Bulls,0,Columbus Crew,2,Columbus Crew
1996-04-27,1996,New England Revolution,2,DC United,1,New England Revolution
1996-04-28,1996,Tampa Bay Mutiny,1,FC Dallas,2,FC Dallas
1996-04-28,1996,LA Galaxy,2,San Jose Earthquakes,1,LA Galaxy
1996-05-01,1996,DC United,3,FC Dallas,1,DC United
1996-05-02,1996,Sporting Kansas City,6,Columbus Crew,4,Sporting Kansas City
1996-05-04,1996,New York Red Bulls,4,Tampa Bay Mutiny,3,New York Red Bulls
1996-05-04,1996,New England Revolution,1,San Jose Earthquakes,2,San Jose Earthquakes
1996-05-05,1996,FC Dallas,1,Columbus Crew,0,FC Dallas
1996-05-05,1996,Colorado Rapids,4,Sporting Kansas City,0,Colorado Rapids
1996-05-05,1996,LA Galaxy,3,DC United,1,LA Galaxy
1996-05-08,1996,San Jose Earthquakes,3,Colorado Rapids,1,San Jose Earthquakes
1996-05-08,1996,Tampa Bay Mutiny,2,Sporting Kansas City,0,Tampa Bay Mutiny
1996-05-11,1996,Colorado Rapids,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-05-11,1996,Columbus Crew,3,New England Revolution,2,Columbus Crew
1996-05-11,1996,Sporting Kansas City,2,FC Dallas,3,FC Dallas
1996-05-12,1996,DC United,1,New York Red Bulls,2,New York Red Bulls
1996-05-12,1996,San Jose Earthquakes,1,LA Galaxy,2,LA Galaxy
1996-05-15,1996,DC United,5,Columbus Crew,2,DC United
1996-05-16,1996,New York Red Bulls,3,Colorado Rapids,0,New York Red Bulls
1996-05-18,1996,Tampa Bay Mutiny,3,San Jose Earthquakes,2,Tampa Bay Mutiny
1996-05-18,1996,FC Dallas,3,DC United,2,FC Dallas
1996-05-19,1996,New England Revolution,2,New York Red Bulls,0,New England Revolution
1996-05-19,1996,Columbus Crew,2,Colorado Rapids,4,Colorado Rapids
1996-05-19,1996,LA Galaxy,2,Sporting Kansas City,0,LA Galaxy
1996-05-22,1996,Sporting Kansas City,2,New York Red Bulls,1,Sporting Kansas City
1996-05-23,1996,FC Dallas,0,Tampa Bay Mutiny,1,Tampa Bay Mutiny
1996-05-25,1996,New England Revolution,3,Colorado Rapids,2,New England Revolution
1996-05-26,1996,LA Galaxy,3,Columbus Crew,2,LA Galaxy
1996-05-29,1996,San Jose Earthquakes,2,Sporting Kansas City,1,San Jose Earthquakes
1996-05-29,1996,Colorado Rapids,2,FC Dallas,0,Colorado Rapids
1996-05-30,1996,New York Red Bulls,1,DC United,2,DC United
1996-06-01,1996,San Jose Earthquakes,3,Columbus Crew,2,San Jose Earthquakes
1996-06-01,1996,Tampa Bay Mutiny,1,LA Galaxy,2,LA Galaxy
1996-06-01,1996,Sporting Kansas City,2,New England Revolution,1,Sporting Kansas City
1996-06-02,1996,FC Dallas,0,New York Red Bulls,1,New York Red Bulls
1996-06-02,1996,Colorado Rapids,2,DC United,3,DC United
1996-06-05,1996,DC United,3,San Jose Earthquakes,1,DC United
1996-06-05,1996,Sporting Kansas City,1,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1996-06-06,1996,New England Revolution,2,LA Galaxy,3,LA Galaxy
1996-06-08,1996,Columbus Crew,3,Sporting Kansas City,4,Sporting Kansas City
1996-06-08,1996,FC Dallas,4,San Jose Earthquakes,1,FC Dallas
1996-06-08,1996,Tampa Bay Mutiny,2,Colorado Rapids,1,Tampa Bay Mutiny
1996-06-09,1996,New York Red Bulls,0,LA Galaxy,4,LA Galaxy
1996-06-15,1996,New England Revolution,2,Sporting Kansas City,1,New England Revolution
1996-06-15,1996,FC Dallas,2,Colorado Rapids,1,FC Dallas
1996-06-16,1996,New York Red Bulls,0,San Jose Earthquakes,1,San Jose Earthquakes
1996-06-16,1996,LA Galaxy,3,Tampa Bay Mutiny,2,LA Galaxy
1996-06-19,1996,New York Red Bulls,1,FC Dallas,0,New York Red Bulls
1996-06-19,1996,Columbus Crew,2,Colorado Rapids,3,Colorado Rapids
1996-06-20,1996,Sporting Kansas City,5,DC United,1,Sporting Kansas City
1996-06-22,1996,Tampa Bay Mutiny,3,Columbus Crew,4,Columbus Crew
1996-06-23,1996,New England Revolution,1,FC Dallas,4,FC Dallas
1996-06-23,1996,San Jose Earthquakes,2,DC United,1,San Jose Earthquakes
1996-06-26,1996,LA Galaxy,3,Colorado Rapids,1,LA Galaxy
1996-06-26,1996,New York Red Bulls,2,Sporting Kansas City,0,New York Red Bulls
1996-06-27,1996,New England Revolution,1,Columbus Crew,2,Columbus Crew
1996-06-29,1996,FC Dallas,0,Sporting Kansas City,1,Sporting Kansas City
1996-06-30,1996,Columbus Crew,0,New York Red Bulls,4,New York Red Bulls
1996-06-30,1996,DC United,3,New England Revolution,1,DC United
1996-06-30,1996,Colorado Rapids,2,LA Galaxy,1,Colorado Rapids
1996-06-30,1996,San Jose Earthquakes,4,Tampa Bay Mutiny,0,San Jose Earthquakes
1996-07-04,1996,LA Galaxy,0,New England Revolution,1,New England Revolution
1996-07-04,1996,Tampa Bay Mutiny,4,Columbus Crew,1,Tampa Bay Mutiny
1996-07-04,1996,FC Dallas,2,DC United,1,FC Dallas
1996-07-04,1996,Colorado Rapids,3,New York Red Bulls,1,Colorado Rapids
1996-07-06,1996,San Jose Earthquakes,1,New England Revolution,2,New England Revolution
1996-07-06,1996,Sporting Kansas City,3,LA Galaxy,1,Sporting Kansas City
1996-07-07,1996,Colorado Rapids,2,Columbus Crew,1,Colorado Rapids
1996-07-07,1996,DC United,6,FC Dallas,1,DC United
1996-07-10,1996,New York Red Bulls,3,FC Dallas,2,New York Red Bulls
1996-07-10,1996,Sporting Kansas City,2,Colorado Rapids,0,Sporting Kansas City
1996-07-11,1996,Columbus Crew,1,New England Revolution,2,New England Revolution
1996-07-12,1996,DC United,1,Tampa Bay Mutiny,0,DC United
1996-07-17,1996,FC Dallas,5,LA Galaxy,2,FC Dallas
1996-07-17,1996,Colorado Rapids,1,San Jose Earthquakes,2,San Jose Earthquakes
1996-07-18,1996,Tampa Bay Mutiny,3,Sporting Kansas City,2,Tampa Bay Mutiny
1996-07-20,1996,New England Revolution,2,DC United,0,New England Revolution
1996-07-20,1996,Columbus Crew,3,San Jose Earthquakes,4,San Jose Earthquakes
1996-07-20,1996,Sporting Kansas City,1,FC Dallas,2,FC Dallas
1996-07-21,1996,Colorado Rapids,1,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1996-07-21,1996,LA Galaxy,3,New York Red Bulls,0,LA Galaxy
1996-07-24,1996,Colorado Rapids,2,New England Revolution,0,Colorado Rapids
1996-07-24,1996,San Jose Earthquakes,0,New York Red Bulls,1,New York Red Bulls
1996-07-25,1996,Columbus Crew,1,Tampa Bay Mutiny,0,Columbus Crew
1996-07-27,1996,Tampa Bay Mutiny,4,LA Galaxy,3,Tampa Bay Mutiny
1996-07-27,1996,FC Dallas,3,Colorado Rapids,0,FC Dallas
1996-07-27,1996,Sporting Kansas City,4,New England Revolution,2,Sporting Kansas City
1996-07-28,1996,New York Red Bulls,4,San Jose Earthquakes,1,New York Red Bulls
1996-07-28,1996,DC United,2,Columbus Crew,0,DC United
1996-07-31,1996,Columbus Crew,1,FC Dallas,2,FC Dallas
1996-07-31,1996,DC United,2,Sporting Kansas City,3,Sporting Kansas City
1996-07-31,1996,New England Revolution,2,San Jose Earthquakes,0,New England Revolution
1996-08-01,1996,Colorado Rapids,2,LA Galaxy,3,LA Galaxy
1996-08-03,1996,New England Revolution,2,New York Red Bulls,1,New England Revolution
1996-08-03,1996,Tampa Bay Mutiny,3,Colorado Rapids,1,Tampa Bay Mutiny
1996-08-04,1996,DC United,2,Sporting Kansas City,4,Sporting Kansas City
1996-08-04,1996,LA Galaxy,1,Columbus Crew,2,Columbus Crew
1996-08-07,1996,Tampa Bay Mutiny,1,DC United,3,DC United
1996-08-07,1996,Colorado Rapids,4,Sporting Kansas City,2,Colorado Rapids
1996-08-08,1996,LA Galaxy,1,New England Revolution,0,LA Galaxy
1996-08-10,1996,Columbus Crew,3,DC United,2,Columbus Crew
1996-08-10,1996,FC Dallas,2,Tampa Bay Mutiny,1,FC Dallas
1996-08-11,1996,Sporting Kansas City,3,LA Galaxy,2,Sporting Kansas City
1996-08-11,1996,Colorado Rapids,0,New York Red Bulls,2,New York Red Bulls
1996-08-11,1996,San Jose Earthquakes,6,New England Revolution,1,San Jose Earthquakes
1996-08-14,1996,New York Red Bulls,4,New England Revolution,0,New York Red Bulls
1996-08-14,1996,FC Dallas,2,Columbus Crew,3,Columbus Crew
1996-08-15,1996,Sporting Kansas City,4,San Jose Earthquakes,1,Sporting Kansas City
1996-08-16,1996,New England Revolution,2,Colorado Rapids,0,New England Revolution
1996-08-17,1996,Tampa Bay Mutiny,3,New York Red Bulls,1,Tampa Bay Mutiny
1996-08-18,1996,Columbus Crew,2,San Jose Earthquakes,0,Columbus Crew
1996-08-18,1996,DC United,2,LA Galaxy,1,DC United
1996-08-21,1996,LA Galaxy,1,Sporting Kansas City,2,Sporting Kansas City
1996-08-21,1996,New York Red Bulls,2,DC United,3,DC United
1996-08-21,1996,New England Revolution,4,Tampa Bay Mutiny,2,New England Revolution
1996-08-22,1996,San Jose Earthquakes,1,FC Dallas,0,San Jose Earthquakes
1996-08-24,1996,Columbus Crew,2,Sporting Kansas City,1,Columbus Crew
1996-08-25,1996,DC United,3,Tampa Bay Mutiny,0,DC United
1996-08-25,1996,San Jose Earthquakes,1,Colorado Rapids,0,San Jose Earthquakes
1996-08-25,1996,LA Galaxy,2,FC Dallas,3,FC Dallas
1996-08-28,1996,Columbus Crew,2,LA Galaxy,0,Columbus Crew
1996-08-29,1996,Colorado Rapids,1,DC United,2,DC United
1996-08-31,1996,Tampa Bay Mutiny,3,New England Revolution,1,Tampa Bay Mutiny
1996-09-01,1996,Sporting Kansas City,3,New York Red Bulls,2,Sporting Kansas City
1996-09-01,1996,San Jose Earthquakes,1,LA Galaxy,2,LA Galaxy
1996-09-04,1996,New York Red Bulls,0,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-09-04,1996,New England Revolution,2,FC Dallas,1,New England Revolution
1996-09-05,1996,LA Galaxy,0,Colorado Rapids,1,Colorado Rapids
1996-09-06,1996,DC United,1,New York Red Bulls,2,New York Red Bulls
1996-09-07,1996,Sporting Kansas City,1,Columbus Crew,5,Columbus Crew
1996-09-07,1996,FC Dallas,0,New England Revolution,2,New England Revolution
1996-09-08,1996,Colorado Rapids,1,San Jose Earthquakes,3,San Jose Earthquakes
1996-09-10,1996,New York Red Bulls,3,LA Galaxy,1,New York Red Bulls
1996-09-11,1996,San Jose Earthquakes,2,FC Dallas,3,FC Dallas
1996-09-12,1996,New England Revolution,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-09-14,1996,Tampa Bay Mutiny,2,DC United,0,Tampa Bay Mutiny
1996-09-15,1996,Columbus Crew,2,New York Red Bulls,0,Columbus Crew
1996-09-15,1996,LA Galaxy,4,San Jose Earthquakes,2,LA Galaxy
1996-09-17,1996,DC United,3,New England Revolution,2,DC United
1996-09-18,1996,San Jose Earthquakes,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-09-18,1996,New York Red Bulls,1,Columbus Crew,0,New York Red Bulls
1996-09-19,1996,FC Dallas,1,LA Galaxy,2,LA Galaxy
1996-09-21,1996,New England Revolution,0,Columbus Crew,1,Columbus Crew
1996-09-21,1996,DC United,3,Colorado Rapids,1,DC United
1996-09-21,1996,Tampa Bay Mutiny,4,New York Red Bulls,1,Tampa Bay Mutiny
1996-09-21,1996,Sporting Kansas City,0,San Jose Earthquakes,1,San Jose Earthquakes
1996-09-22,1996,LA Galaxy,2,FC Dallas,1,LA Galaxy
1996-09-24,1996,New York Red Bulls,2,DC United,2,DC United
1996-09-25,1996,Columbus Crew,0,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-09-26,1996,Sporting Kansas City,3,FC Dallas,2,Sporting Kansas City
1996-09-26,1996,San Jose Earthquakes,1,LA Galaxy,0,San Jose Earthquakes
1996-09-27,1996,DC United,1,New York Red Bulls,0,DC United
1996-09-28,1996,Tampa Bay Mutiny,1,Columbus Crew,2,Columbus Crew
1996-09-29,1996,FC Dallas,2,Sporting Kansas City,1,FC Dallas
1996-09-29,1996,LA Galaxy,2,San Jose Earthquakes,0,LA Galaxy
1996-10-02,1996,FC Dallas,2,Sporting Kansas City,3,Sporting Kansas City
1996-10-02,1996,LA Galaxy,2,San Jose Earthquakes,0,LA Galaxy
1996-10-02,1996,Tampa Bay Mutiny,4,Columbus Crew,1,Tampa Bay Mutiny
1996-10-02,1996,DC United,2,New York Red Bulls,1,DC United
1996-10-10,1996,DC United,4,Tampa Bay Mutiny,1,DC United
1996-10-10,1996,LA Galaxy,2,Sporting Kansas City,1,LA Galaxy
1996-10-12,1996,Tampa Bay Mutiny,1,DC United,2,DC United
1996-10-13,1996,Sporting Kansas City,1,LA Galaxy,2,LA Galaxy
1996-10-20,1996,DC United,2,LA Galaxy,2,LA Galaxy
1997-03-22,1997,San Jose Earthquakes,1,New York Red Bulls,0,San Jose Earthquakes
1997-03-29,1997,LA Galaxy,0,DC United,1,DC United
1997-03-29,1997,Columbus Crew,2,Colorado Rapids,1,Columbus Crew
1997-03-29,1997,Sporting Kansas City,3,San Jose Earthquakes,2,Sporting Kansas City
1997-03-29,1997,FC Dallas,0,New England Revolution,1,New England Revolution
1997-03-29,1997,Tampa Bay Mutiny,2,New York Red Bulls,1,Tampa Bay Mutiny
1997-04-05,1997,DC United,2,New York Red Bulls,1,DC United
1997-04-05,1997,Sporting Kansas City,3,LA Galaxy,2,Sporting Kansas City
1997-04-05,1997,FC Dallas,2,San Jose Earthquakes,1,FC Dallas
1997-04-06,1997,Colorado Rapids,2,Columbus Crew,0,Colorado Rapids
1997-04-06,1997,Tampa Bay Mutiny,4,New England Revolution,0,Tampa Bay Mutiny
1997-04-12,1997,Tampa Bay Mutiny,2,Sporting Kansas City,1,Tampa Bay Mutiny
1997-04-12,1997,New York Red Bulls,3,New England Revolution,1,New York Red Bulls
1997-04-12,1997,Colorado Rapids,2,DC United,5,DC United
1997-04-12,1997,San Jose Earthquakes,4,LA Galaxy,1,San Jose Earthquakes
1997-04-13,1997,Columbus Crew,2,FC Dallas,1,Columbus Crew
1997-04-18,1997,LA Galaxy,2,Colorado Rapids,1,LA Galaxy
1997-04-18,1997,Sporting Kansas City,2,FC Dallas,1,Sporting Kansas City
1997-04-19,1997,New York Red Bulls,1,DC United,2,DC United
1997-04-19,1997,Columbus Crew,2,San Jose Earthquakes,1,Columbus Crew
1997-04-20,1997,FC Dallas,4,Colorado Rapids,1,FC Dallas
1997-04-20,1997,New England Revolution,2,Tampa Bay Mutiny,1,New England Revolution
1997-04-23,1997,Colorado Rapids,1,FC Dallas,0,Colorado Rapids
1997-04-26,1997,LA Galaxy,1,FC Dallas,2,FC Dallas
1997-04-26,1997,New York Red Bulls,2,Columbus Crew,1,New York Red Bulls
1997-04-26,1997,New England Revolution,2,Colorado Rapids,1,New England Revolution
1997-04-26,1997,DC United,2,San Jose Earthquakes,3,San Jose Earthquakes
1997-04-27,1997,Sporting Kansas City,2,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1997-05-02,1997,DC United,2,LA Galaxy,0,DC United
1997-05-03,1997,New England Revolution,2,Sporting Kansas City,1,New England Revolution
1997-05-03,1997,San Jose Earthquakes,1,Columbus Crew,3,Columbus Crew
1997-05-03,1997,Colorado Rapids,2,Tampa Bay Mutiny,0,Colorado Rapids
1997-05-04,1997,New York Red Bulls,1,LA Galaxy,0,New York Red Bulls
1997-05-04,1997,FC Dallas,3,DC United,2,FC Dallas
1997-05-09,1997,New England Revolution,0,Columbus Crew,2,Columbus Crew
1997-05-09,1997,New York Red Bulls,0,San Jose Earthquakes,1,San Jose Earthquakes
1997-05-10,1997,DC United,2,FC Dallas,3,FC Dallas
1997-05-10,1997,Tampa Bay Mutiny,2,Colorado Rapids,1,Tampa Bay Mutiny
1997-05-10,1997,Sporting Kansas City,1,LA Galaxy,0,Sporting Kansas City
1997-05-11,1997,Columbus Crew,3,New York Red Bulls,0,Columbus Crew
1997-05-16,1997,San Jose Earthquakes,1,New England Revolution,2,New England Revolution
1997-05-17,1997,FC Dallas,2,Tampa Bay Mutiny,0,FC Dallas
1997-05-17,1997,Colorado Rapids,2,Columbus Crew,1,Colorado Rapids
1997-05-18,1997,New England Revolution,0,DC United,1,DC United
1997-05-18,1997,New York Red Bulls,1,Sporting Kansas City,0,New York Red Bulls
1997-05-18,1997,LA Galaxy,2,San Jose Earthquakes,1,LA Galaxy
1997-05-22,1997,DC United,3,San Jose Earthquakes,1,DC United
1997-05-22,1997,Sporting Kansas City,3,Columbus Crew,1,Sporting Kansas City
1997-05-23,1997,Tampa Bay Mutiny,1,FC Dallas,3,FC Dallas
1997-05-24,1997,Colorado Rapids,1,New England Revolution,2,New England Revolution
1997-05-25,1997,LA Galaxy,1,Columbus Crew,0,LA Galaxy
1997-05-25,1997,New York Red Bulls,3,Tampa Bay Mutiny,2,New York Red Bulls
1997-05-29,1997,Columbus Crew,2,DC United,3,DC United
1997-05-30,1997,New England Revolution,3,New York Red Bulls,1,New England Revolution
1997-05-30,1997,LA Galaxy,1,Sporting Kansas City,3,Sporting Kansas City
1997-06-01,1997,New England Revolution,3,FC Dallas,1,New England Revolution
1997-06-01,1997,San Jose Earthquakes,2,DC United,3,DC United
1997-06-01,1997,Colorado Rapids,2,Tampa Bay Mutiny,0,Colorado Rapids
1997-06-06,1997,FC Dallas,1,Sporting Kansas City,2,Sporting Kansas City
1997-06-07,1997,DC United,5,Colorado Rapids,0,DC United
1997-06-07,1997,Tampa Bay Mutiny,3,Columbus Crew,1,Tampa Bay Mutiny
1997-06-08,1997,New England Revolution,1,LA Galaxy,0,New England Revolution
1997-06-08,1997,San Jose Earthquakes,2,Sporting Kansas City,3,Sporting Kansas City
1997-06-13,1997,New York Red Bulls,1,Colorado Rapids,3,Colorado Rapids
1997-06-14,1997,New England Revolution,0,DC United,1,DC United
1997-06-15,1997,Columbus Crew,0,Colorado Rapids,2,Colorado Rapids
1997-06-15,1997,Sporting Kansas City,1,San Jose Earthquakes,3,San Jose Earthquakes
1997-06-15,1997,FC Dallas,3,New York Red Bulls,1,FC Dallas
1997-06-15,1997,LA Galaxy,4,Tampa Bay Mutiny,1,LA Galaxy
1997-06-21,1997,Tampa Bay Mutiny,3,San Jose Earthquakes,1,Tampa Bay Mutiny
1997-06-21,1997,Columbus Crew,2,New York Red Bulls,1,Columbus Crew
1997-06-21,1997,Sporting Kansas City,6,DC United,1,Sporting Kansas City
1997-06-21,1997,Colorado Rapids,2,LA Galaxy,1,Colorado Rapids
1997-06-22,1997,New England Revolution,3,FC Dallas,2,New England Revolution
1997-06-25,1997,Sporting Kansas City,3,Tampa Bay Mutiny,2,Sporting Kansas City
1997-06-28,1997,Tampa Bay Mutiny,3,LA Galaxy,2,Tampa Bay Mutiny
1997-06-28,1997,Colorado Rapids,3,Sporting Kansas City,4,Sporting Kansas City
1997-06-28,1997,San Jose Earthquakes,3,FC Dallas,1,San Jose Earthquakes
1997-07-04,1997,Tampa Bay Mutiny,1,New York Red Bulls,0,Tampa Bay Mutiny
1997-07-04,1997,Columbus Crew,1,Sporting Kansas City,2,Sporting Kansas City
1997-07-04,1997,FC Dallas,2,DC United,3,DC United
1997-07-04,1997,Colorado Rapids,3,San Jose Earthquakes,1,Colorado Rapids
1997-07-04,1997,LA Galaxy,2,New England Revolution,0,LA Galaxy
1997-07-06,1997,DC United,3,Tampa Bay Mutiny,2,DC United
1997-07-06,1997,Sporting Kansas City,1,FC Dallas,3,FC Dallas
1997-07-06,1997,San Jose Earthquakes,3,New England Revolution,2,San Jose Earthquakes
1997-07-12,1997,New England Revolution,2,Sporting Kansas City,0,New England Revolution
1997-07-12,1997,LA Galaxy,3,DC United,1,LA Galaxy
1997-07-13,1997,Columbus Crew,1,FC Dallas,2,FC Dallas
1997-07-13,1997,New York Red Bulls,4,Colorado Rapids,1,New York Red Bulls
1997-07-13,1997,San Jose Earthquakes,2,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1997-07-18,1997,New England Revolution,4,Tampa Bay Mutiny,2,New England Revolution
1997-07-18,1997,FC Dallas,3,San Jose Earthquakes,1,FC Dallas
1997-07-19,1997,Sporting Kansas City,3,DC United,2,Sporting Kansas City
1997-07-20,1997,New York Red Bulls,0,LA Galaxy,4,LA Galaxy
1997-07-20,1997,Columbus Crew,1,New England Revolution,0,Columbus Crew
1997-07-20,1997,Tampa Bay Mutiny,3,San Jose Earthquakes,1,Tampa Bay Mutiny
1997-07-20,1997,Colorado Rapids,2,FC Dallas,4,FC Dallas
1997-07-25,1997,DC United,2,Columbus Crew,1,DC United
1997-07-25,1997,FC Dallas,0,LA Galaxy,3,LA Galaxy
1997-07-25,1997,San Jose Earthquakes,1,Colorado Rapids,2,Colorado Rapids
1997-07-26,1997,Sporting Kansas City,1,New England Revolution,0,Sporting Kansas City
1997-07-27,1997,Columbus Crew,0,Tampa Bay Mutiny,1,Tampa Bay Mutiny
1997-07-27,1997,New York Red Bulls,2,DC United,1,New York Red Bulls
1997-07-27,1997,Colorado Rapids,1,LA Galaxy,2,LA Galaxy
1997-07-30,1997,DC United,4,Columbus Crew,2,DC United
1997-08-02,1997,DC United,2,Colorado Rapids,3,Colorado Rapids
1997-08-02,1997,FC Dallas,1,Sporting Kansas City,2,Sporting Kansas City
1997-08-02,1997,LA Galaxy,1,Columbus Crew,2,Columbus Crew
1997-08-03,1997,New England Revolution,1,San Jose Earthquakes,5,San Jose Earthquakes
1997-08-03,1997,New York Red Bulls,2,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1997-08-09,1997,DC United,4,LA Galaxy,2,DC United
1997-08-09,1997,Tampa Bay Mutiny,0,Sporting Kansas City,2,Sporting Kansas City
1997-08-09,1997,Colorado Rapids,3,New England Revolution,0,Colorado Rapids
1997-08-09,1997,San Jose Earthquakes,2,Columbus Crew,1,San Jose Earthquakes
1997-08-14,1997,New England Revolution,1,LA Galaxy,2,LA Galaxy
1997-08-15,1997,Tampa Bay Mutiny,2,FC Dallas,1,Tampa Bay Mutiny
1997-08-15,1997,Colorado Rapids,2,New York Red Bulls,0,Colorado Rapids
1997-08-16,1997,Columbus Crew,2,DC United,0,Columbus Crew
1997-08-17,1997,Sporting Kansas City,4,New York Red Bulls,3,Sporting Kansas City
1997-08-17,1997,LA Galaxy,2,San Jose Earthquakes,3,San Jose Earthquakes
1997-08-23,1997,Columbus Crew,2,New England Revolution,1,Columbus Crew
1997-08-23,1997,FC Dallas,1,New York Red Bulls,2,New York Red Bulls
1997-08-24,1997,San Jose Earthquakes,2,Sporting Kansas City,3,Sporting Kansas City
1997-08-27,1997,DC United,3,New England Revolution,2,DC United
1997-08-28,1997,Sporting Kansas City,1,Colorado Rapids,0,Sporting Kansas City
1997-08-29,1997,New York Red Bulls,3,San Jose Earthquakes,0,New York Red Bulls
1997-08-30,1997,Columbus Crew,2,LA Galaxy,0,Columbus Crew
1997-08-30,1997,Tampa Bay Mutiny,4,New England Revolution,0,Tampa Bay Mutiny
1997-08-31,1997,DC United,2,Sporting Kansas City,0,DC United
1997-08-31,1997,FC Dallas,4,Colorado Rapids,1,FC Dallas
1997-09-04,1997,LA Galaxy,1,New York Red Bulls,3,New York Red Bulls
1997-09-06,1997,FC Dallas,3,Columbus Crew,0,FC Dallas
1997-09-06,1997,Colorado Rapids,1,Sporting Kansas City,2,Sporting Kansas City
1997-09-06,1997,San Jose Earthquakes,4,New York Red Bulls,0,San Jose Earthquakes
1997-09-07,1997,LA Galaxy,6,Tampa Bay Mutiny,1,LA Galaxy
1997-09-09,1997,New York Red Bulls,3,New England Revolution,1,New York Red Bulls
1997-09-10,1997,LA Galaxy,2,Colorado Rapids,0,LA Galaxy
1997-09-11,1997,San Jose Earthquakes,0,FC Dallas,1,FC Dallas
1997-09-12,1997,New England Revolution,1,Columbus Crew,0,New England Revolution
1997-09-12,1997,Sporting Kansas City,0,New York Red Bulls,1,New York Red Bulls
1997-09-13,1997,Tampa Bay Mutiny,1,DC United,2,DC United
1997-09-14,1997,Columbus Crew,4,Sporting Kansas City,0,Columbus Crew
1997-09-14,1997,FC Dallas,1,LA Galaxy,3,LA Galaxy
1997-09-16,1997,New York Red Bulls,0,FC Dallas,1,FC Dallas
1997-09-16,1997,DC United,3,New England Revolution,2,DC United
1997-09-17,1997,Colorado Rapids,1,San Jose Earthquakes,2,San Jose Earthquakes
1997-09-18,1997,Tampa Bay Mutiny,2,Columbus Crew,1,Tampa Bay Mutiny
1997-09-19,1997,LA Galaxy,2,FC Dallas,1,LA Galaxy
1997-09-20,1997,New England Revolution,3,New York Red Bulls,2,New England Revolution
1997-09-21,1997,DC United,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1997-09-21,1997,San Jose Earthquakes,2,LA Galaxy,3,LA Galaxy
1997-09-25,1997,New York Red Bulls,0,Columbus Crew,1,Columbus Crew
1997-09-25,1997,FC Dallas,1,New England Revolution,2,New England Revolution
1997-09-26,1997,Tampa Bay Mutiny,1,DC United,5,DC United
1997-09-26,1997,Sporting Kansas City,5,Colorado Rapids,2,Sporting Kansas City
1997-09-28,1997,Columbus Crew,2,Tampa Bay Mutiny,1,Columbus Crew
1997-09-28,1997,DC United,1,New York Red Bulls,3,New York Red Bulls
1997-09-28,1997,LA Galaxy,2,Sporting Kansas City,0,LA Galaxy
1997-09-28,1997,San Jose Earthquakes,1,Colorado Rapids,3,Colorado Rapids
1997-10-04,1997,Sporting Kansas City,0,Colorado Rapids,3,Colorado Rapids
1997-10-05,1997,LA Galaxy,0,FC Dallas,0,FC Dallas
1997-10-05,1997,DC United,4,New England Revolution,1,DC United
1997-10-05,1997,Tampa Bay Mutiny,1,Columbus Crew,2,Columbus Crew
1997-10-08,1997,Colorado Rapids,3,Sporting Kansas City,2,Colorado Rapids
1997-10-08,1997,FC Dallas,3,LA Galaxy,0,FC Dallas
1997-10-08,1997,New England Revolution,1,DC United,1,DC United
1997-10-08,1997,Columbus Crew,2,Tampa Bay Mutiny,0,Columbus Crew
1997-10-12,1997,DC United,3,Columbus Crew,2,DC United
1997-10-12,1997,FC Dallas,0,Colorado Rapids,1,Colorado Rapids
1997-10-15,1997,Columbus Crew,0,DC United,1,DC United
1997-10-15,1997,Colorado Rapids,2,FC Dallas,1,Colorado Rapids
1997-10-26,1997,DC United,2,Colorado Rapids,1,DC United
1998-03-14,1998,Miami Fusion,0,DC United,2,DC United
1998-03-20,1998,DC United,3,Sporting Kansas City,2,DC United
1998-03-20,1998,FC Dallas,2,Colorado Rapids,1,FC Dallas
