G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
56,"Fri, Feb 19, 2016",9:30p ET,,Box Score,@,Phoenix Suns,W,,116,100,28,28,W 1,
57,"Tue, Feb 23, 2016",9:00p ET,,Box Score,@,Utah Jazz,L,OT,114,117,28,29,L 1,
58,"Thu, Feb 25, 2016",10:30p ET,,Box Score,@,Portland Trail Blazers,W,,119,105,29,29,W 1,
59,"Sat, Feb 27, 2016",8:00p ET,,Box Score,,San Antonio Spurs,L,,94,104,29,30,L 1,
60,"Mon, Feb 29, 2016",8:00p ET,,Box Score,@,Milwaukee Bucks,L,,121,128,29,31,L 2,
61,"Wed, Mar 2, 2016",8:00p ET,,Box Score,,New Orleans Pelicans,W,,100,95,30,31,W 1,
62,"Sat, Mar 5, 2016",8:30p ET,,Box Score,@,Chicago Bulls,L,,100,108,30,32,L 1,
63,"Sun, Mar 6, 2016",6:30p ET,,Box Score,@,Toronto Raptors,W,,113,107,31,32,W 1,
64,"Wed, Mar 9, 2016",7:00p ET,,Box Score,@,Philadelphia 76ers,W,,118,104,32,32,W 2,
65,"Fri, Mar 11, 2016",7:30p ET,,Box Score,@,Boston Celtics,W,,102,98,33,32,W 3,
66,"Sat, Mar 12, 2016",7:00p ET,,Box Score,@,Charlotte Hornets,L,,109,125,33,33,L 1,
67,"Mon, Mar 14, 2016",8:00p ET,,Box Score,,Memphis Grizzlies,W,,130,81,34,33,W 1,
68,"Wed, Mar 16, 2016",9:30p ET,,Box Score,,Los Angeles Clippers,L,,106,122,34,34,L 1,
69,"Fri, Mar 18, 2016",8:00p ET,,Box Score,,Minnesota Timberwolves,W,,116,111,35,34,W 1,
70,"Sat, Mar 19, 2016",7:30p ET,,Box Score,@,Atlanta Hawks,L,,97,109,35,35,L 1,
71,"Tue, Mar 22, 2016",8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,107,111,35,36,L 2,
72,"Wed, Mar 23, 2016",8:00p ET,,Box Score,,Utah Jazz,L,,87,89,35,37,L 3,
73,"Fri, Mar 25, 2016",8:00p ET,,Box Score,,Toronto Raptors,W,,112,109,36,37,W 1,
74,"Sun, Mar 27, 2016",6:00p ET,,Box Score,@,Indiana Pacers,L,,101,104,36,38,L 1,
75,"Tue, Mar 29, 2016",8:00p ET,,Box Score,@,Cleveland Cavaliers,W,,106,100,37,38,W 1,
76,"Thu, Mar 31, 2016",7:00p ET,,Box Score,,Chicago Bulls,L,,100,103,37,39,L 1,
77,"Sun, Apr 3, 2016",3:30p ET,,Box Score,,Oklahoma City Thunder,W,,118,110,38,39,W 1,
78,"Wed, Apr 6, 2016",9:30p ET,,Box Score,@,Dallas Mavericks,L,,86,88,38,40,L 1,
79,"Thu, Apr 7, 2016",8:00p ET,,Box Score,,Phoenix Suns,L,,115,124,38,41,L 2,
80,"Sun, Apr 10, 2016",3:30p ET,,Box Score,,Los Angeles Lakers,W,,130,110,39,41,W 1,
81,"Mon, Apr 11, 2016",8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,129,105,40,41,W 2,
82,"Wed, Apr 13, 2016",8:00p ET,,Box Score,,Sacramento Kings,W,,116,81,41,41,W 3,
