,attendance,away.alias,away.game_number,away.id,away.name,broadcast.network,broadcast.satellite,entry_mode,home.alias,home.game_number,home.id,home.name,id,number,reference,scheduled,scoring.away_points,scoring.home_points,scoring.periods,status,utc_offset,venue.address,venue.capacity,venue.city,venue.country,venue.id,venue.name,venue.roof_type,venue.state,venue.surface,venue.zip,weather
10,71566,MIA,1,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami Dolphins,CBS,709,INGEST,HOU,1,82d2d380-3834-4938-835f-aec541e5ece7,Houston Texans,a980f016-419a-40ef-ad48-957a12481e06,5,55508,2012-09-09T17:02:56+00:00,10,30,"[{'period_type': 'quarter', 'id': '4220128f-46a4-4686-95d8-e2870be6087c', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '56188e2b-ecba-4d3e-9b86-df2245295c76', 'number': 2, 'sequence': 2, 'home_points': 24, 'away_points': 0}, {'period_type': 'quarter', 'id': 'd30078af-a6ae-43a9-bee8-3f216e39292c', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'bdc6f710-417f-4160-9060-235f72942983', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 0}]",closed,-6,One Reliant Park,71054,Houston,USA,6a72e5ca-33d0-40af-8e6b-b32a4d3d9346,NRG Stadium,retractable_dome,TX,artificial,77054,
11,51533,CAR,1,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,FOX,715,INGEST,TB,1,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay Buccaneers,a9d5654c-7ec2-4865-ad4a-01d16186dfe0,13,55516,2012-09-09T20:26:11+00:00,10,16,"[{'period_type': 'quarter', 'id': 'aea86596-391e-4f87-81a9-85cd24b5fae2', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': 'ee5f46f6-a972-473d-9906-f0f9f14d5ef3', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '72767f80-9056-49a0-b2ef-fb6949f981cb', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '846c8a53-6f52-44b1-b6bd-97f4f102d0d4', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 3}]",closed,-5,4201 North Dale Mabry Highway,65890,Tampa,USA,6fccc39c-80bc-4c81-83d9-2d5a848c8c09,Raymond James Stadium,outdoor,FL,turf,33607,
12,69143,NE,1,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,CBS,712,INGEST,TEN,1,d26a1ca5-722d-4274-8f97-c92e49c96315,Tennessee Titans,ac73c14d-a974-4721-933e-d90d437b12fd,10,55513,2012-09-09T17:03:01+00:00,34,13,"[{'period_type': 'quarter', 'id': '11276507-5257-467e-901f-c0f05e4025d8', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'a9f4cf02-156c-49c7-8eaf-1873bdb79868', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': '8795b45f-12ae-4d98-a18c-0e4c5524b6c0', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': 'bc6ac568-0dc7-4055-a5ab-0bc9c02c08ef', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 6}]",closed,-6,One Titans Way,69143,Nashville,USA,5295c1b7-c85c-49cb-9569-1707c65324e5,Nissan Stadium,outdoor,TN,turf,37213,
13,72180,WAS,1,22052ff7-c065-42ee-bc8f-c4691c50e624,Washington Redskins,FOX,707,INGEST,NO,1,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans Saints,bf9a4d33-9ec9-4349-9f8e-95f1d9c4ab19,8,55511,2012-09-09T17:03:46+00:00,40,32,"[{'period_type': 'quarter', 'id': 'eb6edeaa-0914-4ef0-b4ec-a413a8c9c376', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': '69c1bcff-ced2-412b-93f5-dfb8c5b93d85', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': '39f8d3f5-12d8-4939-9e55-e91df172cc8e', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 10}, {'period_type': 'quarter', 'id': '1e5666f7-ab5a-4309-83a7-aceba0321648', 'number': 4, 'sequence': 4, 'home_points': 15, 'away_points': 10}]",closed,-6,1500 Sugar Bowl Drive,76468,New Orleans,USA,3c85d89a-ec66-4983-acd5-1381d6c8673a,Mercedes-Benz Superdome,dome,LA,artificial,70112,
14,79088,BUF,1,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Buffalo Bills,CBS,711,INGEST,NYJ,1,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,New York Jets,d5c8a042-7689-4526-bc6f-d902bb283e8d,9,55512,2012-09-09T17:03:16+00:00,28,48,"[{'period_type': 'quarter', 'id': 'efbeea06-2c2a-4bd7-ad47-67b5f4b7f3a6', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '71be3b51-944b-4d71-aee1-42644771b286', 'number': 2, 'sequence': 2, 'home_points': 20, 'away_points': 7}, {'period_type': 'quarter', 'id': 'd4572a10-46f7-4b3b-8997-5627c0676d40', 'number': 3, 'sequence': 3, 'home_points': 14, 'away_points': 7}, {'period_type': 'quarter', 'id': '2716d43a-e751-45af-a47b-1a7600c691b3', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 14}]",closed,-5,One MetLife Stadium Drive,82500,East Rutherford,USA,5d4c85c7-d84e-4e10-bd6a-8a15ebecca5c,MetLife Stadium,outdoor,NJ,artificial,07073,
15,61896,SD,1,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego Chargers,ESPN,206,INGEST,OAK,1,1c1cec48-6352-4556-b789-35304c1a6ae1,Oakland Raiders,fadd283f-66b2-4cfe-89d9-ad1036d864f8,16,55519,2012-09-11T02:25:26+00:00,22,14,"[{'period_type': 'quarter', 'id': '344176d9-0a7c-4e23-8c69-568821a6e6d6', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '2f3638dc-1086-428b-a354-27ff54403cc6', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': '85f6b462-125a-4bdb-ad77-3b17a12a6079', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 6}, {'period_type': 'quarter', 'id': '7d285a85-8fc0-471a-913b-86425a85fc5b', 'number': 4, 'sequence': 4, 'home_points': 8, 'away_points': 6}]",closed,-8,7000 Coliseum Way,53200,Oakland,USA,ba1ad00f-9130-462c-93f9-5612a0015117,Oakland Alameda Coliseum,outdoor,CA,turf,94621,
0,69144,BAL,2,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,CBS,712,INGEST,PHI,2,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,004d3292-821f-4093-a1ef-4a10927eaec7,25,55528,2012-09-16T17:03:42+00:00,23,24,"[{'period_type': 'quarter', 'id': '52ce9260-182d-4ed6-bce4-5faf4f3475df', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '535a69fa-eb5d-4d64-b81e-97b0187f86d6', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': '386152f9-a153-457f-b51a-3bbbb2830ff1', 'number': 3, 'sequence': 3, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '25e63327-4796-4aa8-9583-e3dca1f778c3', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 6}]",closed,-5,1020 Pattison Avenue,68532,Philadelphia,USA,4fa8c29c-6626-464c-8540-314ed7535e1b,Lincoln Financial Field,outdoor,PA,turf,19148,
1,68756,ARI,2,de760528-1dc0-416a-a978-b510d20692ff,Arizona Cardinals,FOX,706,INGEST,NE,2,97354895-8c77-4fd4-a860-32e62ea7382a,New England Patriots,05ba0eb5-cc0c-4999-aee8-1ddd197a66a1,23,55526,2012-09-16T17:03:17+00:00,20,18,"[{'period_type': 'quarter', 'id': 'e06b8d72-ddd9-45f3-9c12-d4ce77753899', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 6}, {'period_type': 'quarter', 'id': '3b6e9a3a-dece-467a-85c1-cde2bf76fdcb', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '86b8af80-4078-4372-9e51-b19877a59817', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': '72db5c51-ec85-4e54-8385-4e0287da310b', 'number': 4, 'sequence': 4, 'home_points': 9, 'away_points': 7}]",closed,-5,One Patriot Place,68756,Foxborough,USA,e43310b1-cb82-4df9-8be5-e9b39637031b,Gillette Stadium,outdoor,MA,artificial,02035,
2,62907,HOU,2,82d2d380-3834-4938-835f-aec541e5ece7,Houston Texans,CBS,710,INGEST,JAC,2,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jacksonville Jaguars,2061b908-2cef-4392-98e7-28be8e581c24,22,55525,2012-09-16T17:03:58+00:00,27,7,"[{'period_type': 'quarter', 'id': 'dc3972de-7434-4f1d-97fd-d2ae5aca4b15', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': 'a08f4c38-c1d6-448e-abce-54f33d36b3ce', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '04de4d41-ab60-4ece-a3c9-2976c6c3d9fe', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '319e25f7-7e31-4f83-b24e-8a6c2daa007e', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 3}]",closed,-5,One EverBank Field Drive,67246,Jacksonville,USA,4c5c036d-dd3d-4183-b595-71a43a97560f,EverBank Field,outdoor,FL,turf,32202,
3,72879,NO,2,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans Saints,FOX,704,INGEST,CAR,2,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,37796d82-3be5-4084-83c6-4cf4b2361191,19,55522,2012-09-16T17:03:42+00:00,27,35,"[{'period_type': 'quarter', 'id': '901bcede-bc83-4624-98c1-420823afbcda', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': 'b4ddfc3c-e466-4d8b-a9b4-3ef098ac3e53', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 3}, {'period_type': 'quarter', 'id': '3852df1e-e7fc-4757-b6fc-ec5a4e41b02c', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'f9f52f39-f384-4967-9718-09ab8e762493', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 14}]",closed,-5,800 South Mint Street,73778,Charlotte,USA,39be9ed4-3292-49ac-8699-a381de3a4969,Bank of America Stadium,outdoor,NC,turf,28202,
4,60804,TEN,2,d26a1ca5-722d-4274-8f97-c92e49c96315,Tennessee Titans,CBS,716,INGEST,SD,2,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego Chargers,3cfb5ab2-c319-49f5-8ce5-8b4da14144f6,30,55533,2012-09-16T20:25:58+00:00,10,38,"[{'period_type': 'quarter', 'id': '9401c7e5-2e3d-4ce5-aa95-12ce099f8d68', 'number': 1, 'sequence': 1, 'home_points': 14, 'away_points': 0}, {'period_type': 'quarter', 'id': '7cccad55-2793-48ff-9b90-8825089bd3bd', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '039e0453-e71e-4bff-92b6-892f1f9ac476', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '01e35bad-9416-4226-918a-ec9b08de555e', 'number': 4, 'sequence': 4, 'home_points': 14, 'away_points': 0}]",closed,-8,9449 Friars Road,70561,San Diego,USA,7ca47702-8951-45be-a4f5-3e7d78f8f399,Qualcomm Stadium,outdoor,CA,turf,92108,
5,70543,CHI,2,7b112545-38e6-483c-a55c-96cf6ee49cb8,Chicago Bears,NFL,212,INGEST,GB,2,a20471b4-a8d9-40c7-95ad-90cc30e46932,Green Bay Packers,624f53e3-c31c-4439-ad2b-6269907c49bd,17,55520,2012-09-14T00:29:45+00:00,10,23,"[{'period_type': 'quarter', 'id': '4389a021-fe42-475d-ba28-211fdb7986b7', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': 'a804e84f-f04e-43af-bacf-094ef0db52fe', 'number': 2, 'sequence': 2, 'home_points': 13, 'away_points': 0}, {'period_type': 'quarter', 'id': '91ff4755-ff86-4cae-a3d3-583b8fd1d692', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '41d63680-d48e-4dcc-af60-535346f416cd', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 7}]",closed,-6,1265 Lombardi Avenue,80750,Green Bay,USA,5a60dd3a-302c-41c6-ab0f-dd335c1103c2,Lambeau Field,outdoor,WI,turf,54304,
6,69732,DET,2,c5a59daa-53a7-4de0-851f-fb12be893e9e,Detroit Lions,NBC,11,INGEST,SF,2,f0e724b0-4cbf-495a-be47-013907608da9,San Francisco 49ers,69202002-f224-4c87-a499-ada8775aa19e,31,55534,2012-09-17T00:30:40+00:00,19,27,"[{'period_type': 'quarter', 'id': 'a78323f5-bcaa-41e3-8be4-886d7dd2d0e4', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 6}, {'period_type': 'quarter', 'id': 'e302d605-b790-4356-a4d6-55794b10319b', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '5214b6cf-fe5e-4030-91a6-2db8693c7c24', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '5efe0aee-0f6c-41dc-b01d-1f45ce8d3df3', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 10}]",closed,-8,602 Jamestown Avenue,69732,San Francisco,USA,6701808c-c329-482b-9834-2d29cb3185ff,Candlestick Park,outdoor,CA,turf,94124,
