full_date,home_team,home_score,away_team,away_score,winner,season
2016-10-16,Houston Dynamo,0,LA Galaxy,1,LA Galaxy,reg
2016-10-23,Colorado,1,HOU,1,HOU,reg
2017-03-04,Houston Dynamo,2,Seattle,1,HOU,reg
2017-03-11,Houston Dynamo,3,Columbus,1,HOU,reg
2017-03-18,Portland,4,HOU,2,Portland,reg
2017-04-01,Houston Dynamo,4,NY Red Bulls,1,HOU,reg
2017-04-08,New England,2,HOU,0,New England,reg
2017-04-15,Houston Dynamo,2,Minnesota,2,Minnesota,reg
2017-04-22,Houston Dynamo,2,San Jose,0,HOU,reg
2017-04-28,Toronto FC,2,HOU,0,Toronto FC,reg
2017-05-06,Houston Dynamo,4,Orlando,0,HOU,reg
2017-05-12,Houston Dynamo,2,Vancouver,1,HOU,reg
2017-05-17,Philadelphia,2,HOU,0,Philadelphia,reg
2017-05-20,Atlanta,4,HOU,1,Atlanta,reg
2017-05-28,FC Dallas,0,HOU,0,HOU,reg
2017-05-31,Houston Dynamo,5,Real Salt Lake,1,HOU,reg
2017-06-04,Seattle,1,HOU,0,Seattle,reg
2017-06-17,LA Galaxy,2,HOU,2,HOU,reg
2017-06-23,Houston Dynamo,1,FC Dallas,1,FC Dallas,reg
2017-07-01,Colorado,3,HOU,1,Colorado,reg
2017-07-05,Houston Dynamo,3,Montreal,1,HOU,reg
2017-07-19,Minnesota,0,HOU,0,HOU,reg
2017-07-22,D.C. United,1,HOU,3,HOU,reg
2017-07-29,Houston Dynamo,2,Portland,2,Portland,reg
2017-08-05,Real Salt Lake,0,HOU,0,HOU,reg
2017-08-12,Houston Dynamo,3,San Jose,0,HOU,reg
2017-08-19,Vancouver,2,HOU,1,Vancouver,reg
2017-08-23,FC Dallas,3,HOU,3,HOU,reg
2017-09-09,Houston Dynamo,0,Colorado,1,Colorado,reg
2017-09-16,San Jose,1,HOU,0,San Jose,reg
2017-09-23,NYCFC,1,HOU,1,HOU,reg
2017-09-27,Houston Dynamo,3,LA Galaxy,3,LA Galaxy,reg
2017-09-30,Houston Dynamo,2,Minnesota,1,HOU,reg
2017-10-11,Houston Dynamo,2,Sporting KC,1,HOU,reg
2017-10-15,Sporting KC,0,HOU,0,HOU,reg
2017-10-22,Houston Dynamo,3,Chicago,0,HOU,reg
