Sun,10/30, Philadelphia Union  ,         1-2 ,Houston Dynamo
Thu ,11/3,Houston Dynamo ,          1-0 ,Philadelphia Union
Sun,11/6,Sporting Kansas City ,          0-2, Houston Dynamo
Sun,11/20, Los Angeles Galaxy   ,        1-0, Houston Dynamo
