Thu,10/26,Houston Dynamo ,1-0,Kansas City
Mon,10/30,Houston Dynamo ,0-0,Portland Tumbers
Sun,11/5,Portland Tumbers,1-2,Houston Dynamo 
Tue,11/21,Houston Dynamo ,0-2,Seattle
Thu,11/30,Seattle,3-0,Houston Dynamo 
