,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-03-06,10,0,0,0,0,0,0,1,No Game
2010-03-06,20,0,0,0,0,0,1,0,No Game
2010-03-06,22,1,0,0,0,0,0,0,No Game
2010-03-06,23,0,0,0,0,0,0,1,No Game
2010-03-07,0,0,0,0,0,0,0,1,No Game
2010-03-08,17,0,0,0,0,0,0,1,No Game
2010-03-09,9,0,0,0,0,0,0,1,No Game
2010-03-10,21,0,0,0,0,0,0,1,No Game
2010-03-11,8,0,0,0,0,0,0,1,No Game
2010-03-12,22,0,0,0,0,0,0,1,No Game
2010-03-13,1,0,0,0,0,0,0,1,No Game
2010-03-13,22,1,0,0,0,0,0,0,No Game
2010-03-13,23,0,0,0,0,0,0,1,No Game
2010-03-14,1,0,0,0,0,0,0,1,No Game
2010-03-14,2,0,0,0,0,0,0,1,No Game
2010-03-14,15,0,0,0,0,0,0,1,No Game
2010-03-14,17,0,0,0,0,0,0,1,No Game
2010-03-14,21,0,0,0,0,0,0,1,No Game
2010-03-14,23,0,0,0,0,0,0,1,No Game
2010-03-16,13,1,0,0,0,0,0,0,No Game
2010-03-17,2,0,1,0,0,0,0,0,No Game
2010-03-17,18,0,0,0,0,0,0,1,No Game
2010-03-19,16,0,0,0,0,0,0,1,No Game
2010-03-20,0,0,0,1,0,0,0,0,No Game
2010-03-20,0,0,0,0,0,0,0,1,No Game
2010-03-20,12,0,0,0,0,0,0,1,No Game
2010-03-20,18,0,0,0,0,0,1,0,No Game
2010-03-21,0,0,0,0,0,0,0,1,No Game
2010-03-22,14,0,0,0,0,0,0,1,No Game
2010-03-22,18,0,0,1,0,0,0,0,No Game
2010-03-23,9,0,0,1,0,0,0,0,No Game
2010-03-23,15,0,0,0,0,0,0,1,No Game
2010-03-24,12,0,0,0,0,0,0,1,No Game
2010-03-25,20,0,0,0,0,0,0,1,No Game
2010-03-26,18,0,0,1,0,0,0,0,No Game
2010-03-27,14,0,0,0,0,0,0,1,No Game
2010-03-27,21,0,0,0,0,0,0,1,No Game
2010-03-28,1,0,0,0,0,0,0,1,No Game
2010-03-29,1,0,0,0,0,0,0,1,No Game
2010-03-29,4,0,0,0,0,0,0,1,No Game
2010-03-30,19,0,0,0,0,0,0,1,No Game
2010-03-30,19,0,0,0,0,0,0,1,No Game
2010-03-30,21,0,0,0,0,0,0,1,No Game
2010-03-31,18,0,0,1,0,0,0,0,No Game
2010-04-02,12,0,1,0,0,0,0,0,No Game
2010-04-02,13,0,0,0,0,0,0,1,No Game
2010-04-02,22,0,0,0,0,0,0,1,No Game
2010-04-04,6,0,0,0,0,0,0,1,No Game
2010-04-04,10,0,0,0,0,0,0,1,No Game
2010-04-05,13,0,1,0,0,0,0,0,No Game
2010-04-05,14,0,1,0,0,0,0,0,No Game
2010-04-05,21,0,1,0,0,0,0,0,No Game
2010-04-06,5,0,0,0,0,0,1,0,No Game
2010-04-06,13,0,1,0,0,0,0,0,No Game
2010-04-07,8,0,0,0,0,0,0,1,No Game
2010-04-08,7,0,0,0,0,0,0,1,No Game
2010-04-08,17,0,0,1,0,0,0,0,No Game
2010-04-09,23,0,0,0,0,0,0,1,No Game
2010-04-10,20,0,0,0,0,0,0,1,Lost Game
2010-04-12,21,0,0,0,0,0,0,1,No Game
2010-04-12,21,1,0,0,0,0,0,0,No Game
2010-04-16,16,0,0,1,0,0,0,0,No Game
2010-04-17,1,1,0,0,0,0,0,0,Won Game
2010-04-17,23,0,1,0,0,0,0,0,Won Game
2010-04-19,12,0,0,1,0,0,0,0,No Game
2010-04-20,22,0,0,0,0,0,0,1,No Game
2010-04-20,23,0,0,0,0,0,0,1,No Game
2010-04-21,0,0,0,0,0,0,0,1,No Game
2010-04-21,12,0,0,0,0,0,0,1,No Game
2010-04-22,8,0,1,0,0,0,0,0,No Game
2010-04-22,8,0,0,0,0,0,0,1,No Game
2010-04-24,0,0,0,0,0,0,0,1,No Game
2010-04-24,15,0,1,0,0,0,0,0,No Game
2010-04-24,18,0,1,0,0,0,0,0,No Game
2010-04-25,0,0,0,0,0,0,0,1,No Game
2010-04-25,0,0,0,0,0,0,0,1,No Game
2010-04-25,1,0,0,0,0,0,0,1,No Game
2010-04-25,17,0,0,0,0,0,0,1,No Game
2010-04-25,21,0,0,0,0,0,0,1,No Game
2010-04-27,0,0,0,0,0,0,0,1,No Game
2010-04-27,18,0,0,0,0,0,0,1,No Game
2010-04-27,19,0,0,0,0,0,0,1,No Game
2010-04-28,0,0,0,0,0,0,0,1,No Game
2010-04-30,4,0,0,1,0,0,0,0,No Game
2010-04-30,11,0,0,1,0,0,0,0,No Game
2010-04-30,12,0,1,0,0,0,0,0,No Game
2010-05-01,0,0,0,0,1,0,0,0,Won Game
2010-05-01,23,0,0,0,0,0,0,1,Won Game
2010-05-02,10,0,1,0,0,0,0,0,No Game
2010-05-03,4,0,0,0,0,1,0,0,No Game
2010-05-04,14,0,0,0,0,0,0,1,No Game
2010-05-05,12,0,0,0,0,0,0,1,Lost Game
2010-05-05,18,0,0,0,0,0,0,1,Lost Game
2010-05-05,21,1,0,0,0,0,0,0,Lost Game
2010-05-08,10,0,0,0,0,0,0,1,No Game
2010-05-08,16,0,0,1,0,0,0,0,No Game
2010-05-08,19,0,0,0,0,0,0,1,No Game
2010-05-08,23,0,0,0,0,0,0,1,No Game
2010-05-09,0,0,0,0,0,0,1,0,No Game
2010-05-09,3,0,0,0,0,0,0,1,No Game
2010-05-09,7,0,0,0,0,0,0,1,No Game
2010-05-10,14,0,1,0,0,0,0,0,No Game
2010-05-10,21,0,0,1,0,0,0,0,No Game
2010-05-11,9,0,0,1,0,0,0,0,No Game
2010-05-12,17,0,0,1,0,0,0,0,No Game
2010-05-12,22,0,0,0,0,0,0,1,No Game
2010-05-12,23,0,0,0,0,0,0,1,No Game
