date,team,opponent,tm,opp,win_lost,season
2012-02-03,Houston Rockets,Phoenix Suns,99,81,W,regular
2012-02-15,Houston Rockets,Oklahoma City Thunder,96,95,W,regular
2012-02-17,Houston Rockets,Minnesota Timberwolves,98,111,L,regular
2012-02-19,Houston Rockets,Utah Jazz,101,85,W,regular
2012-02-20,Houston Rockets,Memphis Grizzlies,97,93,W,regular
2012-02-22,Houston Rockets,Philadelphia 76ers,93,87,W,regular
2012-02-28,Houston Rockets,Toronto Raptors,88,85,W,regular
2012-03-02,Houston Rockets,Denver Nuggets,105,117,L,regular
2012-03-04,Houston Rockets,Los Angeles Clippers,103,105,L,regular
2012-03-14,Houston Rockets,Charlotte Bobcats,107,87,W,regular
2012-03-20,Houston Rockets,Los Angeles Lakers,107,104,W,regular
2012-03-22,Houston Rockets,Golden State Warriors,109,83,W,regular
2012-03-24,Houston Rockets,Dallas Mavericks,99,101,L,regular
2012-03-26,Houston Rockets,Sacramento Kings,113,106,W,regular
2012-03-30,Houston Rockets,Memphis Grizzlies,98,89,W,regular
2012-04-01,Houston Rockets,Indiana Pacers,102,104,L,regular
2012-04-11,Houston Rockets,Utah Jazz,91,103,L,regular
2012-04-13,Houston Rockets,Phoenix Suns,105,112,L,regular
2012-04-16,Houston Rockets,Denver Nuggets,102,105,L,regular
2012-04-21,Houston Rockets,Golden State Warriors,99,96,W,regular
2012-04-26,Houston Rockets,New Orleans Hornets,84,77,W,regular
2012-11-03,Houston Rockets,Portland Trail Blazers,85,95,L,regular
2012-11-07,Houston Rockets,Denver Nuggets,87,93,L,regular
2012-11-10,Houston Rockets,Detroit Pistons,96,82,W,regular
2012-11-12,Houston Rockets,Miami Heat,110,113,L,regular
2012-11-14,Houston Rockets,New Orleans Hornets,100,96,W,regular
2012-11-21,Houston Rockets,Chicago Bulls,93,89,W,regular
2012-11-23,Houston Rockets,New York Knicks,131,103,W,regular
2012-11-27,Houston Rockets,Toronto Raptors,117,101,W,regular
2012-12-01,Houston Rockets,Utah Jazz,124,116,W,regular
2012-12-04,Houston Rockets,Los Angeles Lakers,107,105,W,regular
2012-12-08,Houston Rockets,Dallas Mavericks,109,116,L,regular
2012-12-10,Houston Rockets,San Antonio Spurs,126,134,L,regular
2012-12-12,Houston Rockets,Washington Wizards,99,93,W,regular
2012-12-14,Houston Rockets,Boston Celtics,101,89,W,regular
2012-12-19,Houston Rockets,Philadelphia 76ers,125,103,W,regular
2012-12-22,Houston Rockets,Memphis Grizzlies,121,96,W,regular
2012-12-29,Houston Rockets,Oklahoma City Thunder,94,124,L,regular
2012-12-31,Houston Rockets,Atlanta Hawks,123,104,W,regular
2013-01-02,Houston Rockets,New Orleans Hornets,104,92,W,regular
2013-01-08,Houston Rockets,Los Angeles Lakers,125,112,W,regular
2013-01-15,Houston Rockets,Los Angeles Clippers,109,117,L,regular
2013-01-23,Houston Rockets,Denver Nuggets,95,105,L,regular
2013-01-26,Houston Rockets,Brooklyn Nets,119,106,W,regular
2013-02-02,Houston Rockets,Charlotte Bobcats,109,95,W,regular
2013-02-05,Houston Rockets,Golden State Warriors,140,109,W,regular
2013-02-08,Houston Rockets,Portland Trail Blazers,118,103,W,regular
2013-02-20,Houston Rockets,Oklahoma City Thunder,122,119,W,regular
2013-02-27,Houston Rockets,Milwaukee Bucks,107,110,L,regular
2013-03-03,Houston Rockets,Dallas Mavericks,136,103,W,regular
2013-03-13,Houston Rockets,Phoenix Suns,111,81,W,regular
2013-03-15,Houston Rockets,Minnesota Timberwolves,108,100,W,regular
2013-03-17,Houston Rockets,Golden State Warriors,78,108,L,regular
2013-03-20,Houston Rockets,Utah Jazz,100,93,W,regular
2013-03-22,Houston Rockets,Cleveland Cavaliers,116,78,W,regular
2013-03-24,Houston Rockets,San Antonio Spurs,96,95,W,regular
2013-03-27,Houston Rockets,Indiana Pacers,91,100,L,regular
2013-03-30,Houston Rockets,Los Angeles Clippers,98,81,W,regular
2013-04-01,Houston Rockets,Orlando Magic,111,103,W,regular
2013-04-09,Houston Rockets,Phoenix Suns,101,98,W,regular
2013-04-12,Houston Rockets,Memphis Grizzlies,78,82,L,regular
2013-04-14,Houston Rockets,Sacramento Kings,121,100,W,regular
2013-04-27,Houston Rockets,Oklahoma City Thunder,101,104,L,playoffs
2013-04-29,Houston Rockets,Oklahoma City Thunder,105,103,W,playoffs
2013-05-03,Houston Rockets,Oklahoma City Thunder,94,103,L,playoffs
2013-10-30,Houston Rockets,Charlotte Bobcats,96,83,W,regular
2013-11-01,Houston Rockets,Dallas Mavericks,113,105,W,regular
2013-11-07,Houston Rockets,Los Angeles Lakers,98,99,L,regular
2013-11-09,Houston Rockets,Los Angeles Clippers,94,107,L,regular
2013-11-11,Houston Rockets,Toronto Raptors,110,104,W,regular
2013-11-16,Houston Rockets,Denver Nuggets,122,111,W,regular
2013-11-19,Houston Rockets,Boston Celtics,109,85,W,regular
2013-11-23,Houston Rockets,Minnesota Timberwolves,112,101,W,regular
2013-11-27,Houston Rockets,Atlanta Hawks,113,84,W,regular
2013-11-29,Houston Rockets,Brooklyn Nets,114,95,W,regular
2013-12-04,Houston Rockets,Phoenix Suns,88,97,L,regular
2013-12-06,Houston Rockets,Golden State Warriors,105,83,W,regular
2013-12-08,Houston Rockets,Orlando Magic,98,88,W,regular
2013-12-18,Houston Rockets,Chicago Bulls,109,94,W,regular
2013-12-23,Houston Rockets,Dallas Mavericks,104,111,L,regular
2013-12-26,Houston Rockets,Memphis Grizzlies,100,92,W,regular
