,date,team,team_score,home_away,opposing,opp_score,season,beat
835,2015-05-04,HOU,1,HOME,TEX,2,reg,1A10
836,2015-05-05,HOU,1,HOME,TEX,7,reg,1A10
837,2015-05-06,HOU,3,HOME,TEX,11,reg,1A10
842,2015-05-12,HOU,1,HOME,SFG,8,reg,1A10
843,2015-05-13,HOU,4,HOME,SFG,3,reg,1A10
844,2015-05-14,HOU,6,HOME,TOR,4,reg,1A10
845,2015-05-15,HOU,8,HOME,TOR,4,reg,1A10
846,2015-05-16,HOU,6,HOME,TOR,5,reg,1A10
847,2015-05-17,HOU,4,HOME,TOR,2,reg,1A10
848,2015-05-18,HOU,1,HOME,OAK,2,reg,1A10
849,2015-05-19,HOU,6,HOME,OAK,4,reg,1A10
850,2015-05-20,HOU,6,HOME,OAK,1,reg,1A10
858,2015-05-29,HOU,3,HOME,CHW,6,reg,1A10
859,2015-05-30,HOU,3,HOME,CHW,0,reg,1A10
860,2015-05-31,HOU,0,HOME,CHW,6,reg,1A10
861,2015-06-01,HOU,5,HOME,BAL,2,reg,1A10
862,2015-06-02,HOU,6,HOME,BAL,4,reg,1A10
863,2015-06-03,HOU,3,HOME,BAL,1,reg,1A10
864,2015-06-04,HOU,2,HOME,BAL,3,reg,1A10
871,2015-06-12,HOU,10,HOME,SEA,0,reg,1A10
872,2015-06-13,HOU,1,HOME,SEA,8,reg,1A10
873,2015-06-14,HOU,13,HOME,SEA,0,reg,1A10
874,2015-06-15,HOU,6,HOME,COL,3,reg,1A10
875,2015-06-16,HOU,8,HOME,COL,5,reg,1A10
884,2015-06-25,HOU,4,HOME,NYY,0,reg,1A10
885,2015-06-26,HOU,2,HOME,NYY,3,reg,1A10
886,2015-06-27,HOU,6,HOME,NYY,9,reg,1A10
887,2015-06-28,HOU,3,HOME,NYY,1,reg,1A10
888,2015-06-29,HOU,6,HOME,KCR,1,reg,1A10
889,2015-06-30,HOU,4,HOME,KCR,0,reg,1A10
890,2015-07-01,HOU,6,HOME,KCR,5,reg,1A10
901,2015-07-17,HOU,3,HOME,TEX,2,reg,1A10
902,2015-07-18,HOU,6,HOME,TEX,7,reg,1A10
903,2015-07-19,HOU,10,HOME,TEX,0,reg,1A10
904,2015-07-21,HOU,8,HOME,BOS,3,reg,1A10
905,2015-07-22,HOU,4,HOME,BOS,2,reg,1A10
906,2015-07-23,HOU,5,HOME,BOS,4,reg,1A10
910,2015-07-28,HOU,10,HOME,LAA,5,reg,1A10
911,2015-07-29,HOU,6,HOME,LAA,3,reg,1A10
912,2015-07-30,HOU,3,HOME,LAA,0,reg,1A10
913,2015-07-31,HOU,4,HOME,ARI,6,reg,1A10
914,2015-08-01,HOU,9,HOME,ARI,2,reg,1A10
915,2015-08-02,HOU,4,HOME,ARI,1,reg,1A10
925,2015-08-14,HOU,5,HOME,DET,1,reg,1A10
926,2015-08-15,HOU,2,HOME,DET,4,reg,1A10
927,2015-08-16,HOU,6,HOME,DET,5,reg,1A10
928,2015-08-17,HOU,2,HOME,TBR,9,reg,1A10
929,2015-08-18,HOU,3,HOME,TBR,2,reg,1A10
930,2015-08-19,HOU,3,HOME,TBR,2,reg,1A10
931,2015-08-20,HOU,0,HOME,TBR,1,reg,1A10
932,2015-08-21,HOU,3,HOME,LAD,0,reg,1A10
933,2015-08-22,HOU,3,HOME,LAD,1,reg,1A10
934,2015-08-23,HOU,3,HOME,LAD,2,reg,1A10
941,2015-08-31,HOU,8,HOME,SEA,3,reg,1A10
942,2015-09-01,HOU,5,HOME,SEA,7,reg,1A10
943,2015-09-02,HOU,3,HOME,SEA,8,reg,1A10
944,2015-09-04,HOU,8,HOME,MIN,0,reg,1A10
945,2015-09-05,HOU,2,HOME,MIN,3,reg,1A10
946,2015-09-06,HOU,8,HOME,MIN,5,reg,1A10
957,2015-09-18,HOU,3,HOME,OAK,4,reg,1A10
958,2015-09-19,HOU,10,HOME,OAK,6,reg,1A10
959,2015-09-20,HOU,5,HOME,OAK,1,reg,1A10
960,2015-09-21,HOU,6,HOME,LAA,3,reg,1A10
961,2015-09-22,HOU,3,HOME,LAA,4,reg,1A10
962,2015-09-23,HOU,5,HOME,LAA,6,reg,1A10
963,2015-09-25,HOU,2,HOME,TEX,6,reg,1A10
964,2015-09-26,HOU,9,HOME,TEX,7,reg,1A10
965,2015-09-27,HOU,4,HOME,TEX,2,reg,1A10
978,2016-04-11,HOU,8,HOME,KCR,2,reg,1A10
979,2016-04-12,HOU,2,HOME,KCR,3,reg,1A10
980,2016-04-13,HOU,2,HOME,KCR,4,reg,1A10
981,2016-04-14,HOU,2,HOME,KCR,6,reg,1A10
982,2016-04-15,HOU,1,HOME,DET,0,reg,1A10
983,2016-04-16,HOU,3,HOME,DET,5,reg,1A10
984,2016-04-17,HOU,5,HOME,DET,4,reg,1A10
988,2016-04-22,HOU,2,HOME,BOS,6,reg,1A10
989,2016-04-23,HOU,8,HOME,BOS,3,reg,1A10
990,2016-04-24,HOU,5,HOME,BOS,7,reg,1A10
997,2016-05-02,HOU,2,HOME,MIN,6,reg,1A10
998,2016-05-03,HOU,6,HOME,MIN,4,reg,1A10
999,2016-05-04,HOU,16,HOME,MIN,4,reg,1A10
1000,2016-05-05,HOU,3,HOME,SEA,6,reg,1A10
1001,2016-05-06,HOU,6,HOME,SEA,3,reg,1A10
1002,2016-05-07,HOU,2,HOME,SEA,3,reg,1A10
1003,2016-05-08,HOU,5,HOME,SEA,1,reg,1A10
1004,2016-05-09,HOU,7,HOME,CLE,1,reg,1A10
1005,2016-05-10,HOU,0,HOME,CLE,4,reg,1A10
1006,2016-05-11,HOU,5,HOME,CLE,3,reg,1A10
1014,2016-05-20,HOU,1,HOME,TEX,2,reg,1A10
1015,2016-05-21,HOU,1,HOME,TEX,2,reg,1A10
1016,2016-05-22,HOU,2,HOME,TEX,9,reg,1A10
1017,2016-05-24,HOU,3,HOME,BAL,2,reg,1A10
1018,2016-05-25,HOU,4,HOME,BAL,3,reg,1A10
1019,2016-05-26,HOU,4,HOME,BAL,2,reg,1A10
1025,2016-06-01,HOU,5,HOME,ARI,4,reg,1A10
1026,2016-06-02,HOU,0,HOME,ARI,3,reg,1A10
1027,2016-06-03,HOU,12,HOME,OAK,2,reg,1A10
1028,2016-06-04,HOU,6,HOME,OAK,5,reg,1A10
1029,2016-06-05,HOU,5,HOME,OAK,2,reg,1A10
1039,2016-06-17,HOU,2,HOME,CIN,4,reg,1A10
1040,2016-06-18,HOU,5,HOME,CIN,4,reg,1A10
1041,2016-06-19,HOU,6,HOME,CIN,0,reg,1A10
1042,2016-06-20,HOU,10,HOME,LAA,7,reg,1A10
1043,2016-06-21,HOU,3,HOME,LAA,2,reg,1A10
1044,2016-06-22,HOU,3,HOME,LAA,2,reg,1A10
1051,2016-07-01,HOU,5,HOME,CHW,0,reg,1A10
1052,2016-07-02,HOU,6,HOME,CHW,7,reg,1A10
1053,2016-07-03,HOU,1,HOME,CHW,4,reg,1A10
1054,2016-07-04,HOU,2,HOME,SEA,1,reg,1A10
1055,2016-07-05,HOU,5,HOME,SEA,2,reg,1A10
1056,2016-07-06,HOU,9,HOME,SEA,8,reg,1A10
1057,2016-07-07,HOU,1,HOME,OAK,3,reg,1A10
1058,2016-07-08,HOU,10,HOME,OAK,9,reg,1A10
1059,2016-07-09,HOU,2,HOME,OAK,3,reg,1A10
1060,2016-07-10,HOU,2,HOME,OAK,1,reg,1A10
1067,2016-07-22,HOU,2,HOME,LAA,1,reg,1A10
1068,2016-07-23,HOU,7,HOME,LAA,2,reg,1A10
1069,2016-07-24,HOU,13,HOME,LAA,3,reg,1A10
1070,2016-07-25,HOU,1,HOME,NYY,2,reg,1A10
1071,2016-07-26,HOU,3,HOME,NYY,6,reg,1A10
1072,2016-07-27,HOU,4,HOME,NYY,1,reg,1A10
1076,2016-08-01,HOU,2,HOME,TOR,1,reg,1A10
1077,2016-08-02,HOU,1,HOME,TOR,2,reg,1A10
1078,2016-08-03,HOU,1,HOME,TOR,3,reg,1A10
1079,2016-08-04,HOU,1,HOME,TOR,4,reg,1A10
1080,2016-08-05,HOU,5,HOME,TEX,0,reg,1A10
1081,2016-08-06,HOU,2,HOME,TEX,3,reg,1A10
1082,2016-08-07,HOU,3,HOME,TEX,5,reg,1A10
1090,2016-08-16,HOU,5,HOME,STL,8,reg,1A10
1091,2016-08-17,HOU,2,HOME,STL,8,reg,1A10
1099,2016-08-26,HOU,5,HOME,TBR,4,reg,1A10
1100,2016-08-27,HOU,6,HOME,TBR,2,reg,1A10
1101,2016-08-28,HOU,4,HOME,TBR,10,reg,1A10
1102,2016-08-29,HOU,6,HOME,OAK,0,reg,1A10
1103,2016-08-30,HOU,3,HOME,OAK,1,reg,1A10
1104,2016-08-31,HOU,4,HOME,OAK,3,reg,1A10
1112,2016-09-09,HOU,0,HOME,CHC,2,reg,1A10
1113,2016-09-10,HOU,2,HOME,CHC,1,reg,1A10
1114,2016-09-11,HOU,5,HOME,CHC,9,reg,1A10
1115,2016-09-12,HOU,3,HOME,TEX,4,reg,1A10
1116,2016-09-13,HOU,2,HOME,TEX,3,reg,1A10
1117,2016-09-14,HOU,8,HOME,TEX,4,reg,1A10
1124,2016-09-22,HOU,0,HOME,LAA,2,reg,1A10
1125,2016-09-23,HOU,6,HOME,LAA,10,reg,1A10
1126,2016-09-24,HOU,4,HOME,LAA,10,reg,1A10
1127,2016-09-25,HOU,4,HOME,LAA,1,reg,1A10
1128,2016-09-26,HOU,3,HOME,SEA,4,reg,1A10
1129,2016-09-27,HOU,8,HOME,SEA,4,reg,1A10
1130,2016-09-28,HOU,4,HOME,SEA,12,reg,1A10
1134,2017-04-03,HOU,3,HOME,SEA,0,reg,1A10
1135,2017-04-04,HOU,2,HOME,SEA,1,reg,1A10
1136,2017-04-05,HOU,5,HOME,SEA,3,reg,1A10
1137,2017-04-06,HOU,2,HOME,SEA,4,reg,1A10
1138,2017-04-07,HOU,1,HOME,KCR,5,reg,1A10
1139,2017-04-08,HOU,3,HOME,KCR,7,reg,1A10
1140,2017-04-09,HOU,5,HOME,KCR,4,reg,1A10
1146,2017-04-17,HOU,3,HOME,LAA,0,reg,1A10
1147,2017-04-18,HOU,2,HOME,LAA,5,reg,1A10
1148,2017-04-19,HOU,5,HOME,LAA,1,reg,1A10
1149,2017-04-20,HOU,2,HOME,LAA,1,reg,1A10
1156,2017-04-28,HOU,9,HOME,OAK,4,reg,1A10
1157,2017-04-29,HOU,1,HOME,OAK,2,reg,1A10
1158,2017-04-30,HOU,7,HOME,OAK,2,reg,1A10
1159,2017-05-01,HOU,6,HOME,TEX,2,reg,1A10
1160,2017-05-02,HOU,8,HOME,TEX,7,reg,1A10
1161,2017-05-03,HOU,10,HOME,TEX,1,reg,1A10
1162,2017-05-04,HOU,4,HOME,TEX,10,reg,1A10
1166,2017-05-09,HOU,8,HOME,ATL,3,reg,1A10
1167,2017-05-10,HOU,4,HOME,ATL,2,reg,1A10
1175,2017-05-19,HOU,3,HOME,CLE,5,reg,1A10
1176,2017-05-20,HOU,0,HOME,CLE,3,reg,1A10
1177,2017-05-21,HOU,6,HOME,CLE,8,reg,1A10
1178,2017-05-22,HOU,1,HOME,DET,0,reg,1A10
1179,2017-05-23,HOU,6,HOME,DET,2,reg,1A10
1180,2017-05-24,HOU,3,HOME,DET,6,reg,1A10
1181,2017-05-25,HOU,7,HOME,DET,6,reg,1A10
1182,2017-05-26,HOU,2,HOME,BAL,0,reg,1A10
1183,2017-05-27,HOU,5,HOME,BAL,2,reg,1A10
1184,2017-05-28,HOU,8,HOME,BAL,4,reg,1A10
1195,2017-06-09,HOU,4,HOME,LAA,9,reg,1A10
1196,2017-06-10,HOU,3,HOME,LAA,1,reg,1A10
1197,2017-06-11,HOU,6,HOME,LAA,12,reg,1A10
1198,2017-06-12,HOU,1,HOME,TEX,6,reg,1A10
1199,2017-06-13,HOU,2,HOME,TEX,4,reg,1A10
1200,2017-06-14,HOU,13,HOME,TEX,2,reg,1A10
1201,2017-06-16,HOU,1,HOME,BOS,2,reg,1A10
1202,2017-06-17,HOU,7,HOME,BOS,1,reg,1A10
1203,2017-06-18,HOU,5,HOME,BOS,6,reg,1A10
1211,2017-06-27,HOU,4,HOME,OAK,6,reg,1A10
1212,2017-06-28,HOU,11,HOME,OAK,8,reg,1A10
1213,2017-06-29,HOU,6,HOME,OAK,1,reg,1A10
1214,2017-06-30,HOU,4,HOME,NYY,13,reg,1A10
1215,2017-07-01,HOU,7,HOME,NYY,6,reg,1A10
1216,2017-07-02,HOU,8,HOME,NYY,1,reg,1A10
1223,2017-07-14,HOU,10,HOME,MIN,5,reg,1A10
1224,2017-07-15,HOU,2,HOME,MIN,4,reg,1A10
1225,2017-07-16,HOU,5,HOME,MIN,3,reg,1A10
1226,2017-07-17,HOU,7,HOME,SEA,9,reg,1A10
1227,2017-07-18,HOU,6,HOME,SEA,2,reg,1A10
1228,2017-07-19,HOU,1,HOME,SEA,4,reg,1A10
1238,2017-07-31,HOU,14,HOME,TBR,7,reg,1A10
1239,2017-08-01,HOU,4,HOME,TBR,6,reg,1A10
1240,2017-08-02,HOU,0,HOME,TBR,3,reg,1A10
1241,2017-08-03,HOU,3,HOME,TBR,5,reg,1A10
1242,2017-08-04,HOU,16,HOME,TOR,7,reg,1A10
1243,2017-08-05,HOU,3,HOME,TOR,4,reg,1A10
1244,2017-08-06,HOU,7,HOME,TOR,6,reg,1A10
1253,2017-08-16,HOU,9,HOME,ARI,5,reg,1A10
1254,2017-08-17,HOU,0,HOME,ARI,4,reg,1A10
1255,2017-08-18,HOU,3,HOME,OAK,1,reg,1A10
1256,2017-08-19,HOU,3,HOME,OAK,0,reg,1A10
1257,2017-08-20,HOU,2,HOME,OAK,3,reg,1A10
1258,2017-08-22,HOU,3,HOME,WSN,4,reg,1A10
1259,2017-08-23,HOU,6,HOME,WSN,1,reg,1A10
1260,2017-08-24,HOU,4,HOME,WSN,5,reg,1A10
1264,2017-08-29,HOU,2,HOME,TEX,12,reg,1A10
1265,2017-08-30,HOU,1,HOME,TEX,8,reg,1A10
1266,2017-08-31,HOU,5,HOME,TEX,1,reg,1A10
1267,2017-09-02,HOU,12,HOME,NYM,8,reg,1A10
1268,2017-09-02,HOU,4,HOME,NYM,1,reg,1A10
1269,2017-09-03,HOU,8,HOME,NYM,6,reg,1A10
1280,2017-09-15,HOU,5,HOME,SEA,2,reg,1A10
1281,2017-09-16,HOU,8,HOME,SEA,6,reg,1A10
1282,2017-09-17,HOU,7,HOME,SEA,1,reg,1A10
1283,2017-09-19,HOU,3,HOME,CHW,1,reg,1A10
1284,2017-09-20,HOU,4,HOME,CHW,3,reg,1A10
1285,2017-09-21,HOU,1,HOME,CHW,3,reg,1A10
1286,2017-09-22,HOU,3,HOME,LAA,0,reg,1A10
1287,2017-09-23,HOU,6,HOME,LAA,2,reg,1A10
1288,2017-09-24,HOU,5,HOME,LAA,7,reg,1A10
