Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01,10H10,1900-1999,runnels,Theft,street,1.0,20,1,Friday,Jan,2010
2010-01-01,10H10,2300-2399,sperber,Rape,house,1.0,6,1,Friday,Jan,2010
2010-01-01,10H10,500-599,eastwood,Burglary,store,1.0,0,1,Friday,Jan,2010
2010-01-01,10H10,500-599,eastwood,Burglary,store,1.0,0,1,Friday,Jan,2010
2010-01-01,10H10,1900-1999,runnels,Burglary,apartment,1.0,17,1,Friday,Jan,2010
2010-01-01,10H10,1900-1999,runnels,Burglary,apartment,1.0,17,1,Friday,Jan,2010
2010-01-01,10H10,2300-2399,sperber,Rape,house,1.0,6,1,Friday,Jan,2010
2010-01-01,10H10,1900-1999,runnels,Theft,street,1.0,20,1,Friday,Jan,2010
2010-01-02,10H10,0-99,york,Burglary,house,1.0,19,2,Saturday,Jan,2010
2010-01-02,10H10,0-99,york,Burglary,house,1.0,19,2,Saturday,Jan,2010
2010-01-03,10H10,200-299,grace,Auto Theft,apartment prk,1.0,0,3,Sunday,Jan,2010
2010-01-03,10H10,500-599,bryan,Burglary,auto repair,1.0,12,3,Sunday,Jan,2010
2010-01-03,10H10,200-299,grace,Auto Theft,apartment prk,1.0,0,3,Sunday,Jan,2010
2010-01-03,10H10,500-599,bryan,Burglary,auto repair,1.0,12,3,Sunday,Jan,2010
2010-01-04,10H10,1900-1999,runnels,Burglary,apartment,1.0,14,4,Monday,Jan,2010
2010-01-04,10H10,400-499,hunt,Theft,comm prk,1.0,8,4,Monday,Jan,2010
2010-01-04,10H10,1900-1999,runnels,Burglary,apartment,1.0,14,4,Monday,Jan,2010
2010-01-04,10H10,400-499,hunt,Theft,comm prk,1.0,8,4,Monday,Jan,2010
2010-01-05,10H10,3300-3399,canal,Burglary,store,1.0,2,5,Tuesday,Jan,2010
2010-01-05,10H10,3300-3399,canal,Burglary,store,1.0,2,5,Tuesday,Jan,2010
2010-01-07,10H10,600-699,navigation,Robbery,street,1.0,17,7,Thursday,Jan,2010
2010-01-07,10H10,600-699,navigation,Robbery,street,1.0,17,7,Thursday,Jan,2010
2010-01-08,10H10,3300-3399,canal,Theft,store,1.0,18,8,Friday,Jan,2010
2010-01-08,10H10,3300-3399,canal,Theft,store,1.0,18,8,Friday,Jan,2010
2010-01-09,10H10,5300-5399,ave j,Burglary,house,1.0,13,9,Saturday,Jan,2010
2010-01-09,10H10,5300-5399,ave j,Burglary,house,1.0,13,9,Saturday,Jan,2010
2010-01-09,10H10,300-399,sidney,Theft,street,1.0,5,9,Saturday,Jan,2010
2010-01-09,10H10,5300-5399,ave j,Burglary,house,1.0,13,9,Saturday,Jan,2010
2010-01-09,10H10,300-399,sidney,Theft,street,1.0,5,9,Saturday,Jan,2010
2010-01-09,10H10,5300-5399,ave j,Burglary,house,1.0,13,9,Saturday,Jan,2010
2010-01-10,10H10,5200-5299,sherman,Theft,driveway,1.0,22,10,Sunday,Jan,2010
2010-01-10,10H10,4700-4799,canal,Auto Theft,unk,1.0,2,10,Sunday,Jan,2010
2010-01-10,10H10,5300-5399,sherman,Theft,street,1.0,22,10,Sunday,Jan,2010
2010-01-10,10H10,4700-4799,canal,Auto Theft,unk,1.0,2,10,Sunday,Jan,2010
2010-01-10,10H10,5200-5299,sherman,Theft,driveway,1.0,22,10,Sunday,Jan,2010
2010-01-10,10H10,5300-5399,sherman,Theft,street,1.0,22,10,Sunday,Jan,2010
2010-01-12,10H10,4400-4499,harrisburg,Robbery,store,1.0,23,12,Tuesday,Jan,2010
2010-01-12,10H10,4400-4499,harrisburg,Robbery,store,1.0,23,12,Tuesday,Jan,2010
2010-01-13,10H10,3200-3299,garrow,Theft,comm prk,1.0,22,13,Wednesday,Jan,2010
2010-01-13,10H10,6200-6299,harrisburg,Robbery,check cashing places,1.0,10,13,Wednesday,Jan,2010
2010-01-13,10H10,2800-2899,canal,Theft,apartment,1.0,11,13,Wednesday,Jan,2010
2010-01-13,10H10,3200-3299,garrow,Theft,comm prk,1.0,22,13,Wednesday,Jan,2010
2010-01-13,10H10,6200-6299,harrisburg,Robbery,check cashing places,1.0,10,13,Wednesday,Jan,2010
2010-01-13,10H10,2800-2899,canal,Theft,apartment,1.0,11,13,Wednesday,Jan,2010
2010-01-15,10H10,200-299,stiles,Auto Theft,driveway,1.0,17,15,Friday,Jan,2010
2010-01-15,10H10,0-99,norwood,Theft,apartment,1.0,1,15,Friday,Jan,2010
2010-01-15,10H10,1900-1999,runnels,Theft,apartment prk,1.0,22,15,Friday,Jan,2010
2010-01-15,10H10,200-299,stiles,Auto Theft,driveway,1.0,17,15,Friday,Jan,2010
2010-01-15,10H10,0-99,norwood,Theft,apartment,1.0,1,15,Friday,Jan,2010
2010-01-15,10H10,1900-1999,runnels,Theft,apartment prk,1.0,22,15,Friday,Jan,2010
2010-01-16,10H10,2900-2999,navigation,Theft,highway freeway,1.0,22,16,Saturday,Jan,2010
2010-01-16,10H10,4200-4299,crites,Aggravated Assault,house,1.0,20,16,Saturday,Jan,2010
2010-01-16,10H10,2900-2999,navigation,Theft,highway freeway,1.0,22,16,Saturday,Jan,2010
2010-01-16,10H10,4200-4299,crites,Aggravated Assault,house,1.0,20,16,Saturday,Jan,2010
2010-01-17,10H10,4300-4399,navigation,Aggravated Assault,street,1.0,1,17,Sunday,Jan,2010
2010-01-17,10H10,1900-1999,runnels,Burglary,apartment,1.0,23,17,Sunday,Jan,2010
2010-01-17,10H10,4300-4399,navigation,Aggravated Assault,street,1.0,1,17,Sunday,Jan,2010
2010-01-17,10H10,1900-1999,runnels,Burglary,apartment,1.0,23,17,Sunday,Jan,2010
2010-01-18,10H10,3400-3499,canal,Aggravated Assault,street,1.0,10,18,Monday,Jan,2010
